Welcome Back!,மீண்டும் வரவேற்கிறோம்!
There was an error:,பிழை ஏற்பட்டது:
This tracking link has expired,இந்தக் கண்காணிப்பு இணைப்பு காலாவதியாகிவிட்டது
This tracking link is no longer valid,இந்தக் கண்காணிப்பு இணைப்பு இனி செல்லுபடியாகாது
Thumbnail,சிறுபடம்
Time must be after ${min},நேரம் ${min} க்குப் பிறகு இருக்க வேண்டும்
Time must be before ${max},நேரம் ${max} க்கு முன் இருக்க வேண்டும்
Toggle Sidebar,பக்கப் பட்டியை நிலைமாற்று
Token is invalid or expired,டோக்கன் செல்லாதது அல்லது காலாவதியானது
Too many items requested,அதிக உருப்படிகள் கோரப்பட்டன
Track,கண்காணி
Track shipment →,அனுப்புகையைக் கண்காணி →
Track your order,உங்கள் ஆர்டரைக் கண்காணியுங்கள்
Tracking info updated,கண்காணிப்புத் தகவல் புதுப்பிக்கப்பட்டது
Tracking link,கண்காணிப்பு இணைப்பு
Tracking links are good for a limited time. Sign in to your account to see the current status of your order.,கண்காணிப்பு இணைப்புகள் வரையறுக்கப்பட்ட காலத்திற்கு மட்டுமே செல்லும். உங்கள் ஆர்டரின் தற்போதைய நிலையைப் பார்க்க உங்கள் கணக்கில் உள்நுழையவும்.
Tracking number,கண்காணிப்பு எண்
Type,வகை
Type / to see the available blocks,கிடைக்கும் தொகுதிகளைப் பார்க்க / தட்டச்சு செய்யவும்
UPDATE PASSWORD,கடவுச்சொல்லைப் புதுப்பிக்கவும்
Update address API not available,முகவரி புதுப்பிப்பு API கிடைக்கவில்லை
Update field,புலத்தைப் புதுப்பிக்கவும்
Upload,பதிவேற்று
Validation,சரிபார்ப்பு
Value,மதிப்பு
Value must be a whole number,மதிப்பு முழு எண்ணாக இருக்க வேண்டும்
Value must be at least ${min},மதிப்பு குறைந்தது ${min} ஆக இருக்க வேண்டும்
Value must be at most ${max},மதிப்பு அதிகபட்சம் ${max} ஆக இருக்க வேண்டும்
View All Products,அனைத்து தயாரிப்புகளையும் காண்க
View JSON,JSON ஐக் காண்க
View all customers,அனைத்து வாடிக்கையாளர்களையும் காண்க
Visible to customer,வாடிக்கையாளருக்குத் தெரியும்
Void Label,லேபிளை செல்லாததாக்கு
Void label,லேபிளை செல்லாததாக்கு
Void this shipping label?,இந்த அனுப்புகை லேபிளை செல்லாததாக்கவா?
"We could not find this order. It may have been removed, or it may belong to a different account.",இந்த ஆர்டரைக் கண்டுபிடிக்க முடியவில்லை. அது அகற்றப்பட்டிருக்கலாம் அல்லது வேறு கணக்கிற்குச் சொந்தமானதாக இருக்கலாம்.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","இந்த இணைப்பைச் சரிபார்க்க முடியவில்லை. எங்களிடமிருந்து மின்னஞ்சலில் இதைப் பெற்றிருந்தால், சமீபத்திய செய்தியிலிருந்து மீண்டும் முயற்சிக்கவும் அல்லது உங்கள் கணக்கில் உள்நுழையவும்."
We have sent you an email with a link to reset your password. Please check your inbox.,உங்கள் கடவுச்சொல்லை மீட்டமைக்க ஒரு இணைப்புடன் கூடிய மின்னஞ்சலை உங்களுக்கு அனுப்பியுள்ளோம். உங்கள் இன்பாக்ஸைச் சரிபார்க்கவும்.
Weekly,வாராந்திரம்
Welcome to our store!,எங்கள் கடைக்கு வரவேற்கிறோம்!
"Where you ship, shipping methods and delivery fee","நீங்கள் எங்கு அனுப்புகிறீர்கள், அனுப்புகை முறைகள் மற்றும் டெலிவரி கட்டணம்"
White,வெள்ளை
Yes,ஆம்
You are already logged in,நீங்கள் ஏற்கனவே உள்நுழைந்துள்ளீர்கள்
You are here:,நீங்கள் இங்கே இருக்கிறீர்கள்:
You have no attribute groups to display,காண்பிக்க பண்புக் குழுக்கள் எதுவும் இல்லை
You have no categories to display,காண்பிக்க பிரிவுகள் எதுவும் இல்லை
You have no collections to display,காண்பிக்க தொகுப்புகள் எதுவும் இல்லை
You have no products to display,காண்பிக்க தயாரிப்புகள் எதுவும் இல்லை
You have not placed any orders yet.,நீங்கள் இன்னும் எந்த ஆர்டரும் வழங்கவில்லை.
You paid for,நீங்கள் செலுத்தியது
You will be redirected to PayPal for payment processing.,கட்டணச் செயலாக்கத்திற்காக நீங்கள் PayPal க்கு திருப்பிவிடப்படுவீர்கள்.
Your Orders,உங்கள் ஆர்டர்கள்
Your order #${number} has been delivered,உங்கள் ஆர்டர் #${number} டெலிவரி செய்யப்பட்டது
Your order #${number} is on the way,உங்கள் ஆர்டர் #${number} வழியில் உள்ளது
Your order has been confirmed!,உங்கள் ஆர்டர் உறுதிப்படுத்தப்பட்டது!
Your password has been updated successfully.,உங்கள் கடவுச்சொல் வெற்றிகரமாகப் புதுப்பிக்கப்பட்டது.
across,முழுவதும்
available to ship,அனுப்புவதற்குக் கிடைக்கிறது
breadcrumb,வழிச்சுவடு
e.g. Care instructions,எ.கா. பராமரிப்பு வழிமுறைகள்
"e.g. New, Sale, Limited","எ.கா. புதியது, விற்பனை, வரம்பு"
e.g. Question,எ.கா. கேள்வி
e.g. care_instructions,எ.கா. care_instructions
e.g. question,எ.கா. question
item,உருப்படி
items,உருப்படிகள்
left to ship,அனுப்ப மீதம்
of,இல்
of ${count},${count} இல்
unit,அலகு
units,அலகுகள்
${count} changes published.,${count} மாற்றங்கள் வெளியிடப்பட்டன.
${count} child widgets,${count} துணை விட்ஜெட்டுகள்
${count} countries,${count} நாடுகள்
${count} on ${route},${route} இல் ${count}
${count} ops total,மொத்தம் ${count} செயல்பாடுகள்
${count} pending ops,${count} நிலுவையிலுள்ள செயல்பாடுகள்
${count} pending ops on,இதில் ${count} நிலுவையிலுள்ள செயல்பாடுகள்
${count} routes,${count} வழிகள்
${direction} failed,${direction} தோல்வியடைந்தது
${method} — ${zone} rate,${method} — ${zone} கட்டணம்
${method} — new rate,${method} — புதிய கட்டணம்
${name} attached to ${zone},${name} ${zone} உடன் இணைக்கப்பட்டது
${name} configuration for ${zone},${zone} க்கான ${name} கட்டமைப்பு
${name} configuration for this zone,இந்த மண்டலத்திற்கான ${name} கட்டமைப்பு
${name} configuration saved for ${zone},${zone} க்கான ${name} கட்டமைப்பு சேமிக்கப்பட்டது
${name} detached,${name} பிரிக்கப்பட்டது
${name} is required,${name} தேவை
${title} settings,${title} அமைப்புகள்
${total} changes will go live immediately.,${total} மாற்றங்கள் உடனடியாகச் செயல்படத் தொடங்கும்.
${total} items,${total} உருப்படிகள்
(envelope),(உறை)
+ Add Line,+ வரியைச் சேர்
+ Add Method,+ முறையைச் சேர்
+ Add Rate,+ கட்டணத்தைச் சேர்
+ Add placement,+ இடம் சேர்
+ Attach Provider,+ வழங்குநரை இணை
+ New package,+ புதிய தொகுப்பு
+${count} more,+${count} மேலும்
", +${count} more",", +${count} மேலும்"
", last updated",", கடைசியாகப் புதுப்பிக்கப்பட்டது"
0 for flat envelopes,தட்டையான உறைகளுக்கு 0
1 change published.,1 மாற்றம் வெளியிடப்பட்டது.
1 change will go live immediately.,1 மாற்றம் உடனடியாகச் செயல்படத் தொடங்கும்.
1 child widget,1 துணை விட்ஜெட்
1 op total,மொத்தம் 1 செயல்பாடு
1 pending op,1 நிலுவையிலுள்ள செயல்பாடு
1 pending op on,இதில் 1 நிலுவையிலுள்ள செயல்பாடு
A package is required for shippable products,அனுப்பக்கூடிய தயாரிப்புகளுக்கு ஒரு தொகுப்பு தேவை
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,"ஒரு ரோல்அவுட் திட்டம் உங்கள் தற்போதைய திருத்தங்களை ஒரு ஸ்னாப்ஷாட்டாகச் சேமித்து, திட்டமிடப்பட்ட நேரத்தில் தானாகவே அவற்றைப் பயன்படுத்துகிறது."
Action,செயல்
Actions,செயல்கள்
Add,சேர்
Add Products,தயாரிப்புகளைச் சேர்
Add Rate,கட்டணத்தைச் சேர்
Add Shipping Method,அனுப்புகை முறையைச் சேர்
Add Tax Rate,வரி விகிதத்தைச் சேர்
Add Variant,மாறுபாட்டைச் சேர்
Add products to this category by selecting them from the list below.,கீழே உள்ள பட்டியலிலிருந்து தேர்ந்தெடுத்து இந்தப் பிரிவில் தயாரிப்புகளைச் சேர்க்கவும்.
Add rate,கட்டணத்தைச் சேர்
Added,சேர்க்கப்பட்டது
Adding to Column ${number},நெடுவரிசை ${number} இல் சேர்க்கப்படுகிறது
Additional languages,கூடுதல் மொழிகள்
Admin panel language,நிர்வாகப் பலகை மொழி
Affects ${count} pages,${count} பக்கங்களைப் பாதிக்கிறது
Affects 1 page,1 பக்கத்தைப் பாதிக்கிறது
All pages,அனைத்து பக்கங்களும்
All registered providers are already attached to this zone.,பதிவுசெய்யப்பட்ட அனைத்து வழங்குநர்களும் ஏற்கனவே இந்த மண்டலத்துடன் இணைக்கப்பட்டுள்ளனர்.
All routes,அனைத்து வழித்தடங்களும்
Also shown on ${routes},${routes} இலும் காட்டப்படுகிறது
Also shown on ${routes} +${count},${routes} +${count} இலும் காட்டப்படுகிறது
Amount must be greater than or equal to 0,தொகை 0 ஐ விட பெரியதாகவோ அல்லது சமமாகவோ இருக்க வேண்டும்
Amount must be less than or equal to ${value} ${currency},தொகை ${value} ${currency} ஐ விட சிறியதாகவோ அல்லது சமமாகவோ இருக்க வேண்டும்
Apply a condition?,ஒரு நிபந்தனையைப் பயன்படுத்தவா?
Area,பகுதி
Area is required,பகுதி தேவை
At least one country is required,குறைந்தது ஒரு நாடு தேவை
Attach,இணைக்கவும்
Attach Provider to ${zone},${zone} உடன் வழங்குநரை இணைக்கவும்
Attached Providers,இணைக்கப்பட்ட வழங்குநர்கள்
Attribute Name,பண்புக்கூறு பெயர்
Attribute code is required,பண்புக்கூறு குறியீடு தேவை
Attribute created successfully!,பண்புக்கூறு வெற்றிகரமாக உருவாக்கப்பட்டது!
Attribute group,பண்புக்கூறு குழு
Attribute name is required,பண்புக்கூறு பெயர் தேவை
Authorize only,அங்கீகரிக்க மட்டும்
Auto-saves while you edit,நீங்கள் திருத்தும்போது தானாகச் சேமிக்கிறது
Back To Dashboard,டாஷ்போர்டுக்குத் திரும்பு
Base calculation address,அடிப்படை கணக்கீட்டு முகவரி
Based on cart subtotal,கூடை துணைத்தொகையின் அடிப்படையில்
Based on cart weight,கூடை எடையின் அடிப்படையில்
Basic configuration,அடிப்படை அமைப்பு
Boolean,பூலியன்
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,ஒவ்வொரு மண்டலத்திற்கும் கட்டணங்களைக் கொண்ட உள்ளமைந்த அனுப்பீட்டு முறைகள். முதலில் அமைப்புகள் → அனுப்பீடு என்பதன் கீழ் Core ஐ ஒரு மண்டலத்துடன் இணைக்கவும்; பின்னர் இங்கே முறைகளைச் சேர்த்து ஒவ்வொரு மண்டலத்திற்கும் அவற்றின் கட்டணங்களை அமைக்கவும்.
Buy X get Y,X வாங்கினால் Y பெறுங்கள்
CMS,CMS
Calculation type,கணக்கீட்டு வகை
Can not change the attribute group of a product that is already in a variant group.,ஏற்கனவே மாறுபாட்டுக் குழுவில் உள்ள ஒரு பொருளின் பண்புக்கூறு குழுவை மாற்ற முடியாது.
Cancel rollout,வெளியீட்டை ரத்துசெய்
Cancel rollout plan?,வெளியீட்டுத் திட்டத்தை ரத்துசெய்யவா?
Canvas device width,கேன்வாஸ் சாதன அகலம்
Capture,கைப்பற்று
Capture Payment,கட்டணத்தைக் கைப்பற்று
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,நிறைவேற்றத்திற்கான கேரியர் குறிப்பு — செக்அவுட்டில் ஒருபோதும் காட்டப்படாது. NewShipmentDialog இதைப் பயன்படுத்தி கேரியரை முன்கூட்டியே தேர்ந்தெடுக்கிறது.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,லேபிளை வாங்கும்போது பயன்படுத்தப்படும் கேரியர்-குறிப்பிட்ட சேவைக் குறியீடு (CreateLabelInput.serviceCode). சுதந்திர வடிவம் — கேரியரின் API ஆவணங்களில் சரியான டோக்கனைச் சரிபார்க்கவும். கேரியர் அதன் இயல்புநிலை சேவையைத் தேர்ந்தெடுக்க அனுமதிக்க வெறுமையாக விடவும்.
Cash On Delivery Payment,டெலிவரியில் பணம் செலுத்துதல்
"Catalog, Search","பட்டியல், தேடல்"
Category Image,வகை படம்
Category Name,வகை பெயர்
Category created successfully!,வகை வெற்றிகரமாக உருவாக்கப்பட்டது!
Category name is required,வகை பெயர் தேவை
Choose Attribute Groups,பண்புக்கூறு குழுக்களைத் தேர்ந்தெடுக்கவும்
Choose Categories,வகைகளைத் தேர்ந்தெடுக்கவும்
Choose Collections,தொகுப்புகளைத் தேர்ந்தெடுக்கவும்
Choose SKUs,SKU களைத் தேர்ந்தெடுக்கவும்
Choose how much of your unpublished work to discard. The published storefront is not affected.,வெளியிடப்படாத உங்கள் வேலையில் எவ்வளவு நிராகரிக்க வேண்டும் என்பதைத் தேர்ந்தெடுக்கவும். வெளியிடப்பட்ட கடைமுகம் பாதிக்கப்படாது.
Choose where you ship and how much you charge for shipping.,"நீங்கள் எங்கு அனுப்புகிறீர்கள், அனுப்பீட்டிற்கு எவ்வளவு கட்டணம் வசூலிக்கிறீர்கள் என்பதைத் தேர்ந்தெடுக்கவும்."
Clear filter,வடிப்பானை அழி
Clear filters,வடிப்பான்களை அழி
Client ID,கிளையன்ட் ID
Client Secret,கிளையன்ட் சீக்ரெட்
Close,மூடு
Close settings,அமைப்புகளை மூடு
Close — continue draft,மூடு — வரைவைத் தொடரவும்
Cms Pages,CMS பக்கங்கள்
Collapse left rail,இடது பட்டையைச் சுருக்கு
Collapse panel,பலகத்தைச் சுருக்கு
Collection Code,தொகுப்புக் குறியீடு
Collection Name,தொகுப்புப் பெயர்
Collection code is required,தொகுப்புக் குறியீடு தேவை
Collection code must be alphanumeric and can include underscores or dashes.,"தொகுப்புக் குறியீடு எழுத்து-எண்ணாக இருக்க வேண்டும், அடிக்கோடுகள் அல்லது கோடுகளை உள்ளடக்கலாம்."
Collection created successfully!,தொகுப்பு வெற்றிகரமாக உருவாக்கப்பட்டது!
Color,நிறம்
Commerce,வணிகம்
Compound,கூட்டு
Condition,நிபந்தனை
Configure,அமைக்கவும்
Configure cost and conditions per zone. Zones without a rate don't offer this method.,ஒவ்வொரு மண்டலத்திற்கும் செலவு மற்றும் நிபந்தனைகளை அமைக்கவும். கட்டணம் இல்லாத மண்டலங்கள் இந்த முறையை வழங்காது.
Configure rate,கட்டணத்தை அமைக்கவும்
Configure the available payment methods,கிடைக்கும் கட்டண முறைகளை அமைக்கவும்
Configure the settings for the ${name} widget.,${name} விட்ஜெட்டிற்கான அமைப்புகளை அமைக்கவும்.
Configure the tax classes that will be available to your customers at checkout.,செக்அவுட்டில் உங்கள் வாடிக்கையாளர்களுக்குக் கிடைக்கும் வரி வகுப்புகளை அமைக்கவும்.
Configure your Cash On Delivery payment gateway settings,டெலிவரியில் பணம் செலுத்தும் கட்டண நுழைவாயில் அமைப்புகளை அமைக்கவும்
Configure your Paypal payment gateway settings,உங்கள் Paypal கட்டண நுழைவாயில் அமைப்புகளை அமைக்கவும்
Configure your Stripe payment gateway settings,உங்கள் Stripe கட்டண நுழைவாயில் அமைப்புகளை அமைக்கவும்
Configure your store information,உங்கள் கடை தகவலை அமைக்கவும்
"Conflicts with ${plan1}, ${plan2}","${plan1}, ${plan2} உடன் முரண்படுகிறது"
Conflicts with ${plan},${plan} உடன் முரண்படுகிறது
Conflicts with ${plan} +${count},${plan} +${count} உடன் முரண்படுகிறது
Conflicts with:,இதனுடன் முரண்படுகிறது:
Content,உள்ளடக்கம்
Continue a saved rollout plan,சேமிக்கப்பட்ட வெளியீட்டுத் திட்டத்தைத் தொடரவும்
Continue your draft,உங்கள் வரைவைத் தொடரவும்
Core Shipping,Core அனுப்பீடு
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core இன்னும் எந்த மண்டலத்துடனும் இணைக்கப்படவில்லை. முதலில் அமைப்புகள் → அனுப்பீடு என்பதன் கீழ் அதை இணைக்கவும்.
Cost,செலவு
Cost is required,செலவு தேவை
Could not start fresh,புதிதாகத் தொடங்க முடியவில்லை
Countries,நாடுகள்
"Country code (e.g., ""US""). Use ""*"" for all countries.","நாட்டுக் குறியீடு (எ.கா., ""US""). அனைத்து நாடுகளுக்கும் ""*"" ஐப் பயன்படுத்தவும்."
Coupon Code,கூப்பன் குறியீடு
"Coupon code can only contain letters, numbers, underscores, and hyphens","கூப்பன் குறியீடு எழுத்துகள், எண்கள், அடிக்கோடுகள் மற்றும் கோடுகளை மட்டுமே கொண்டிருக்கலாம்"
Coupon created successfully!,கூப்பன் வெற்றிகரமாக உருவாக்கப்பட்டது!
Coupons,கூப்பன்கள்
Create A New Customer,புதிய வாடிக்கையாளரை உருவாக்கவும்
Create New Package,புதிய தொகுப்பை உருவாக்கவும்
Create New Tax Class,புதிய வரி வகுப்பை உருவாக்கவும்
Create New Zone,புதிய மண்டலத்தை உருவாக்கவும்
Create a new category,புதிய வகையை உருவாக்கவும்
Create a new collection,புதிய தொகுப்பை உருவாக்கவும்
Create a new coupon,புதிய கூப்பனை உருவாக்கவும்
Create a new page,புதிய பக்கத்தை உருவாக்கவும்
Create a new product,புதிய பொருளை உருவாக்கவும்
Create a new variant for this product.,இந்த பொருளுக்கு புதிய மாறுபாட்டை உருவாக்கவும்.
Create a new widget,புதிய விட்ஜெட்டை உருவாக்கவும்
Create a variant group,மாறுபாட்டுக் குழுவை உருவாக்கவும்
Create method,முறையை உருவாக்கவும்
Create new tax class,புதிய வரி வகுப்பை உருவாக்கவும்
Create rollout plan,வெளியீட்டுத் திட்டத்தை உருவாக்கவும்
Created At,உருவாக்கப்பட்ட நேரம்
Current,தற்போதைய
Customer,வாடிக்கையாளர்
Customer Email,வாடிக்கையாளர் மின்னஞ்சல்
Customer conditions,வாடிக்கையாளர் நிபந்தனைகள்
Customer emails,வாடிக்கையாளர் மின்னஞ்சல்கள்
Customer groups,வாடிக்கையாளர் குழுக்கள்
Customer's purchase,வாடிக்கையாளரின் கொள்முதல்
Customers,வாடிக்கையாளர்கள்
Customers (${count}),வாடிக்கையாளர்கள் (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,${zone} இல் உள்ள வாடிக்கையாளர்கள் இனி செக்அவுட்டில் ${name} இன் முறைகளைக் காண மாட்டார்கள். பின்னர் அதை மீண்டும் இணைக்கலாம்.
Dashboard,டாஷ்போர்டு
Date,தேதி
Decrease,குறை
Default carrier,இயல்புநிலை கேரியர்
Default language,இயல்புநிலை மொழி
Default package,இயல்புநிலை தொகுப்பு
Default service code,இயல்புநிலை சேவைக் குறியீடு
"Delete ""${name}""?","""${name}"" ஐ நீக்கவா?"
Delete ${count} attributes,${count} பண்புக்கூறுகளை நீக்கு
Delete ${count} categories,${count} வகைகளை நீக்கு
Delete ${count} collections,${count} தொகுப்புகளை நீக்கு
Delete ${count} pages,${count} பக்கங்களை நீக்கு
Delete ${count} widgets,${count} விட்ஜெட்களை நீக்கு
Delete container widget?,கன்டெய்னர் விட்ஜெட்டை நீக்கவா?
Delete image,படத்தை நீக்கு
"Delete package ""${name}""?","""${name}"" தொகுப்பை நீக்கவா?"
Delete this,இதை நீக்கு
Delete this widget? This will be saved as a pending change you can publish or discard.,இந்த விட்ஜெட்டை நீக்கவா? இது வெளியிடவோ அல்லது நிராகரிக்கவோ கூடிய நிலுவையிலுள்ள மாற்றமாகச் சேமிக்கப்படும்.
Delete widget?,விட்ஜெட்டை நீக்கவா?
Delete zone,மண்டலத்தை நீக்கு
"Delete zone ""${name}""?","""${name}"" மண்டலத்தை நீக்கவா?"
Deleted ${name},${name} நீக்கப்பட்டது
Deleting this,இதை நீக்குகிறது
Deleting this container will also hide,இந்தக் கொள்கலனை நீக்குவது இதையும் மறைக்கும்
Description is required,விளக்கம் தேவை
Desktop,டெஸ்க்டாப்
Detach,பிரி
Detach ${name}?,${name} ஐப் பிரிக்கவா?
Disable ${count} pages,${count} பக்கங்களை முடக்கு
Disable ${count} widgets,${count} விட்ஜெட்களை முடக்கு
Disabled products will not be visible in the store and cannot be purchased.,"முடக்கப்பட்ட பொருட்கள் கடையில் தெரியாது, வாங்கவும் முடியாது."
Discard changes on this page only,இந்தப் பக்கத்தில் மட்டும் மாற்றங்களை நிராகரி
Discard everything,அனைத்தையும் நிராகரி
Discard everything in this draft,இந்த வரைவில் உள்ள அனைத்தையும் நிராகரி
Discard failed,நிராகரிப்பு தோல்வியடைந்தது
Discard pending changes?,நிலுவையில் உள்ள மாற்றங்களை நிராகரிக்கவா?
Discard this page,இந்தப் பக்கத்தை நிராகரி
Discarding…,நிராகரிக்கிறது…
Discount Type,தள்ளுபடி வகை
Discount amount,தள்ளுபடி தொகை
Discount amount is required,தள்ளுபடி தொகை தேவை
Discount type is required,தள்ளுபடி வகை தேவை
Dislay Name,காட்சிப் பெயர்
Display Name,காட்சிப் பெயர்
Draft,வரைவு
Draft — not scheduled,வரைவு — திட்டமிடப்படவில்லை
Drag to resize,அளவை மாற்ற இழுக்கவும்
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","ஒவ்வொரு வரிசையும் இந்த விட்ஜெட்டை ஒரு பக்கத்தில், ஒரு பகுதியில், அதன் சொந்த வரிசை வரிசையுடன் வைக்கிறது. குறைந்த எண்கள் முதலில் தோன்றும்."
Edit ${name},${name} ஐத் திருத்து
Edit Shipping Zone,அனுப்புதல் மண்டலத்தைத் திருத்து
Edit Tax Rate,வரி விகிதத்தைத் திருத்து
Edit Variant,மாறுபாட்டைத் திருத்து
Edit Zone,மண்டலத்தைத் திருத்து
Edit against the live storefront. Publish immediately or save as a rollout plan.,நேரடி கடைமுகத்திற்கு எதிராகத் திருத்தவும். உடனடியாக வெளியிடவும் அல்லது வெளியீட்டுத் திட்டமாக சேமிக்கவும்.
Edit rollout schedule,வெளியீட்டு அட்டவணையைத் திருத்து
Editable routes,திருத்தக்கூடிய பாதைகள்
Editing ${coupon},${coupon} ஐத் திருத்துகிறது
Editing ${fullName},${fullName} ஐத் திருத்துகிறது
Editing widget ${name},${name} விட்ஜெட்டைத் திருத்துகிறது
Edits to a shared widget update every route it appears on.,பகிரப்பட்ட விட்ஜெட்டில் செய்யும் திருத்தங்கள் அது தோன்றும் ஒவ்வொரு பாதையையும் புதுப்பிக்கும்.
Empty package weight,வெறும் தொகுப்பு எடை
Empty weight,வெறும் எடை
Enable ${count} pages,${count} பக்கங்களை இயக்கு
Enable ${count} widgets,${count} விட்ஜெட்களை இயக்கு
Enable this page to make it visible on the frontend.,இந்தப் பக்கத்தை முகப்பில் தெரியும்படி இயக்கவும்.
Enable?,இயக்கவா?
End,முடிவு
End Date,முடிவு தேதி
End date,முடிவு தேதி
End time is invalid.,முடிவு நேரம் தவறானது.
End time must be after start time.,முடிவு நேரம் தொடக்க நேரத்திற்குப் பிறகு இருக்க வேண்டும்.
Enter Category Name,வகைப் பெயரை உள்ளிடவும்
Enter Collection Name,தொகுப்புப் பெயரை உள்ளிடவும்
Enter Meta Description,Meta விளக்கத்தை உள்ளிடவும்
Enter Meta Title,Meta தலைப்பை உள்ளிடவும்
Enter Meta description,Meta விளக்கத்தை உள்ளிடவும்
Enter Meta title,Meta தலைப்பை உள்ளிடவும்
Enter SKU,SKU ஐ உள்ளிடவும்
Enter URL Key,URL விசையை உள்ளிடவும்
Enter URL key,URL விசையை உள்ளிடவும்
Enter customer emails,வாடிக்கையாளர் மின்னஞ்சல்களை உள்ளிடவும்
Enter description,விளக்கத்தை உள்ளிடவும்
Enter group name,குழுப் பெயரை உள்ளிடவும்
Enter meta description,Meta விளக்கத்தை உள்ளிடவும்
Enter meta title,Meta தலைப்பை உள்ளிடவும்
Enter page name,பக்கப் பெயரை உள்ளிடவும்
Enter price,விலையை உள்ளிடவும்
Enter product name,பொருளின் பெயரை உள்ளிடவும்
Enter purchased amount,வாங்கிய தொகையை உள்ளிடவும்
Enter quantity,அளவை உள்ளிடவும்
Enter tax class name,வரி வகுப்புப் பெயரை உள்ளிடவும்
Enter the quantity,அளவை உள்ளிடவும்
Enter weight,எடையை உள்ளிடவும்
Environment,சூழல்
Error loading countries,நாடுகளை ஏற்றுவதில் பிழை
Error loading methods,முறைகளை ஏற்றுவதில் பிழை
Error loading packages,தொகுப்புகளை ஏற்றுவதில் பிழை
Error loading providers,வழங்குநர்களை ஏற்றுவதில் பிழை
Error loading zones,மண்டலங்களை ஏற்றுவதில் பிழை
EverShop · Back to page builder,EverShop · பக்க கட்டமைப்பாளருக்குத் திரும்பு
Every page rolls back to the rollout’s saved state.,ஒவ்வொரு பக்கமும் வெளியீட்டின் சேமிக்கப்பட்ட நிலைக்குத் திரும்புகிறது.
Every page rolls back to what the rollout had saved.,ஒவ்வொரு பக்கமும் வெளியீடு சேமித்திருந்த நிலைக்குத் திரும்புகிறது.
Existing rollout plan: ${plan},இருக்கும் வெளியீட்டுத் திட்டம்: ${plan}
Expand,விரிவாக்கு
Expand left rail,இடது பட்டியை விரிவாக்கு
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.",இயல்புநிலைக்கு மேலதிகமாக வாங்குபவர்கள் மாறக்கூடிய கூடுதல் மொழிகள். இயல்புநிலை மொழி எப்போதும் கிடைக்கும் — அதை இங்கே சேர்க்க வேண்டாம்.
Failed to attach provider,வழங்குநரை இணைக்க முடியவில்லை
Failed to delete ${name},${name} ஐ நீக்க முடியவில்லை
Failed to detach ${name},${name} ஐப் பிரிக்க முடியவில்லை
Failed to remove rate,விகிதத்தை அகற்ற முடியவில்லை
Failed to remove zone,மண்டலத்தை அகற்ற முடியவில்லை
Failed to save change,மாற்றத்தைச் சேமிக்க முடியவில்லை
Failed to save rate,விகிதத்தைச் சேமிக்க முடியவில்லை
Failed to save zone,மண்டலத்தைச் சேமிக்க முடியவில்லை
Failed to update rollout schedule,வெளியீட்டு அட்டவணையைப் புதுப்பிக்க முடியவில்லை
Fixed discount to entire order,முழு ஆர்டருக்கும் நிலையான தள்ளுபடி
Fixed discount to specific products,குறிப்பிட்ட பொருட்களுக்கு நிலையான தள்ளுபடி
Flat rate,நிலையான விகிதம்
"Flat rate in cart currency, tax-exclusive.","வண்டி நாணயத்தில் நிலையான விகிதம், வரி தவிர்த்து."
Free shipping?,இலவச அனுப்புதலா?
General Information,பொதுவான தகவல்
Give Feedback,கருத்து தெரிவிக்கவும்
Global,உலகளாவிய
Globals,உலகளாவியவை
Group,குழு
Group Name,குழுப் பெயர்
Group name is required,குழுப் பெயர் தேவை
Groups,குழுக்கள்
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,அரை-திறந்த இடைவெளி — சரியாக Max இல் உள்ள வண்டி விலக்கப்படுகிறது (அடுத்த அடுக்கின் Min அந்தப் புள்ளியை உரிமை கொள்கிறது).
Has conflicts,முரண்பாடுகள் உள்ளன
Heads up — ,கவனிக்கவும் — 
Height,உயரம்
Height is required (0 for envelopes),உயரம் தேவை (உறைகளுக்கு 0)
Height must be 0 or greater,உயரம் 0 அல்லது அதற்கு மேல் இருக்க வேண்டும்
Hide global areas,உலகளாவிய பகுதிகளை மறை
Higest tax rate based on cart items,வண்டி உருப்படிகளின் அடிப்படையில் அதிக வரி விகிதம்
Highlight global areas on canvas,கேன்வாஸில் உலகளாவிய பகுதிகளை சிறப்பிக்கவும்
Image,படம்
Include In Menu,மெனுவில் சேர்
Include in Store Menu?,கடை மெனுவில் சேர்க்கவா?
Increase,அதிகரி
Insert image,படத்தைச் செருகு
Integer,முழு எண்
Invalid folder name,தவறான கோப்புறை பெயர்
