Welcome Back!,Καλώς ήρθατε ξανά!
Tracking number,Αριθμός παρακολούθησης
Type,Τύπος
Type / to see the available blocks,Πληκτρολογήστε / για να δείτε τα διαθέσιμα μπλοκ
UPDATE PASSWORD,ΕΝΗΜΕΡΩΣΗ ΚΩΔΙΚΟΥ
Update address API not available,Το API ενημέρωσης διεύθυνσης δεν είναι διαθέσιμο
Update field,Ενημέρωση πεδίου
Upload,Μεταφόρτωση
Validation,Επικύρωση
Value,Τιμή
Value must be a whole number,Η τιμή πρέπει να είναι ακέραιος αριθμός
Value must be at least ${min},Η τιμή πρέπει να είναι τουλάχιστον ${min}
Value must be at most ${max},Η τιμή πρέπει να είναι το πολύ ${max}
View All Products,Προβολή όλων των προϊόντων
View JSON,Προβολή JSON
View all customers,Προβολή όλων των πελατών
Visible to customer,Ορατό στον πελάτη
Void Label,Ακύρωση ετικέτας
Void label,Ακύρωση ετικέτας
Void this shipping label?,Ακύρωση αυτής της ετικέτας αποστολής;
"We could not find this order. It may have been removed, or it may belong to a different account.",Δεν μπορέσαμε να βρούμε αυτή την παραγγελία. Ίσως έχει αφαιρεθεί ή ανήκει σε διαφορετικό λογαριασμό.
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","Δεν μπορέσαμε να επαληθεύσουμε αυτόν τον σύνδεσμο. Αν τον λάβατε σε email από εμάς, δοκιμάστε ξανά από το πιο πρόσφατο μήνυμα ή συνδεθείτε στον λογαριασμό σας."
We have sent you an email with a link to reset your password. Please check your inbox.,Σας στείλαμε ένα email με σύνδεσμο για επαναφορά του κωδικού σας. Ελέγξτε τα εισερχόμενά σας.
Weekly,Εβδομαδιαία
Welcome to our store!,Καλώς ήρθατε στο κατάστημά μας!
"Where you ship, shipping methods and delivery fee","Πού αποστέλλετε, μέθοδοι αποστολής και τέλος παράδοσης"
White,Λευκό
Yes,Ναι
You are already logged in,Είστε ήδη συνδεδεμένοι
You are here:,Βρίσκεστε εδώ:
You have no attribute groups to display,Δεν έχετε ομάδες χαρακτηριστικών για εμφάνιση
You have no categories to display,Δεν έχετε κατηγορίες για εμφάνιση
You have no collections to display,Δεν έχετε συλλογές για εμφάνιση
You have no products to display,Δεν έχετε προϊόντα για εμφάνιση
You have not placed any orders yet.,Δεν έχετε κάνει ακόμη καμία παραγγελία.
You paid for,Πληρώσατε για
You will be redirected to PayPal for payment processing.,Θα ανακατευθυνθείτε στο PayPal για την επεξεργασία της πληρωμής.
Your Orders,Οι παραγγελίες σας
Your order #${number} has been delivered,Η παραγγελία σας #${number} παραδόθηκε
Your order #${number} is on the way,Η παραγγελία σας #${number} είναι καθ' οδόν
Your order has been confirmed!,Η παραγγελία σας επιβεβαιώθηκε!
Your password has been updated successfully.,Ο κωδικός σας ενημερώθηκε με επιτυχία.
across,σε
available to ship,διαθέσιμα για αποστολή
breadcrumb,διαδρομή πλοήγησης
e.g. Care instructions,π.χ. Οδηγίες φροντίδας
"e.g. New, Sale, Limited","π.χ. Νέο, Έκπτωση, Περιορισμένο"
e.g. Question,π.χ. Ερώτηση
e.g. care_instructions,π.χ. care_instructions
e.g. question,π.χ. question
item,στοιχείο
items,στοιχεία
left to ship,απομένουν για αποστολή
of,από
of ${count},από ${count}
unit,μονάδα
units,μονάδες
${count} changes published.,${count} αλλαγές δημοσιεύθηκαν.
${count} child widgets,${count} θυγατρικά widget
${count} countries,${count} χώρες
${count} on ${route},${count} στο ${route}
${count} ops total,${count} λειτουργίες συνολικά
${count} pending ops,${count} εκκρεμείς λειτουργίες
${count} pending ops on,${count} εκκρεμείς λειτουργίες στο
${count} routes,${count} διαδρομές
${direction} failed,${direction} απέτυχε
${method} — ${zone} rate,${method} — τιμή ${zone}
${method} — new rate,${method} — νέα τιμή
${name} attached to ${zone},${name} συνδέθηκε στη ${zone}
${name} configuration for ${zone},Διαμόρφωση ${name} για ${zone}
${name} configuration for this zone,Διαμόρφωση ${name} για αυτή τη ζώνη
${name} configuration saved for ${zone},Η διαμόρφωση ${name} αποθηκεύτηκε για ${zone}
${name} detached,${name} αποσυνδέθηκε
${name} is required,Το ${name} είναι υποχρεωτικό
${title} settings,Ρυθμίσεις ${title}
${total} changes will go live immediately.,${total} αλλαγές θα τεθούν σε ισχύ αμέσως.
${total} items,${total} στοιχεία
(envelope),(φάκελος)
+ Add Line,+ Προσθήκη γραμμής
+ Add Method,+ Προσθήκη μεθόδου
+ Add Rate,+ Προσθήκη τιμής
+ Add placement,+ Προσθήκη τοποθέτησης
+ Attach Provider,+ Σύνδεση παρόχου
+ New package,+ Νέο πακέτο
+${count} more,+${count} ακόμη
", +${count} more",", +${count} ακόμη"
", last updated",", τελευταία ενημέρωση"
0 for flat envelopes,0 για επίπεδους φακέλους
1 change published.,1 αλλαγή δημοσιεύθηκε.
1 change will go live immediately.,1 αλλαγή θα τεθεί σε ισχύ αμέσως.
1 child widget,1 θυγατρικό widget
1 op total,1 λειτουργία συνολικά
1 pending op,1 εκκρεμής λειτουργία
1 pending op on,1 εκκρεμής λειτουργία στο
A package is required for shippable products,Απαιτείται πακέτο για τα προϊόντα που μπορούν να αποσταλούν
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,Ένα σχέδιο ανάπτυξης αποθηκεύει τις τρέχουσες επεξεργασίες σας ως στιγμιότυπο και τις εφαρμόζει αυτόματα κατά τη διάρκεια ενός προγραμματισμένου παραθύρου.
Action,Ενέργεια
Actions,Ενέργειες
Add,Προσθήκη
Add Products,Προσθήκη προϊόντων
Add Rate,Προσθήκη τιμής
Add Shipping Method,Προσθήκη μεθόδου αποστολής
Add Tax Rate,Προσθήκη φορολογικού συντελεστή
Add Variant,Προσθήκη παραλλαγής
Add products to this category by selecting them from the list below.,Προσθέστε προϊόντα σε αυτή την κατηγορία επιλέγοντάς τα από την παρακάτω λίστα.
Add rate,Προσθήκη τιμής
Added,Προστέθηκε
Adding to Column ${number},Προσθήκη στη στήλη ${number}
Additional languages,Επιπλέον γλώσσες
Admin panel language,Γλώσσα πίνακα διαχείρισης
Affects ${count} pages,Επηρεάζει ${count} σελίδες
Affects 1 page,Επηρεάζει 1 σελίδα
All pages,Όλες οι σελίδες
All registered providers are already attached to this zone.,Όλοι οι καταχωρημένοι πάροχοι είναι ήδη συνδεδεμένοι με αυτή τη ζώνη.
All routes,Όλες οι διαδρομές
Also shown on ${routes},Εμφανίζεται επίσης στο ${routes}
Also shown on ${routes} +${count},Εμφανίζεται επίσης στο ${routes} +${count}
Amount must be greater than or equal to 0,Το ποσό πρέπει να είναι μεγαλύτερο ή ίσο με 0
Amount must be less than or equal to ${value} ${currency},Το ποσό πρέπει να είναι μικρότερο ή ίσο με ${value} ${currency}
Apply a condition?,Εφαρμογή προϋπόθεσης;
Area,Περιοχή
Area is required,Η περιοχή είναι υποχρεωτική
At least one country is required,Απαιτείται τουλάχιστον μία χώρα
Attach,Σύνδεση
Attach Provider to ${zone},Σύνδεση παρόχου στη ζώνη ${zone}
Attached Providers,Συνδεδεμένοι πάροχοι
Attribute Name,Όνομα χαρακτηριστικού
Attribute code is required,Ο κωδικός χαρακτηριστικού είναι υποχρεωτικός
Attribute created successfully!,Το χαρακτηριστικό δημιουργήθηκε με επιτυχία!
Attribute group,Ομάδα χαρακτηριστικών
Attribute name is required,Το όνομα χαρακτηριστικού είναι υποχρεωτικό
Authorize only,Μόνο εξουσιοδότηση
Auto-saves while you edit,Αυτόματη αποθήκευση κατά την επεξεργασία
Back To Dashboard,Επιστροφή στον πίνακα ελέγχου
Base calculation address,Διεύθυνση βάσης υπολογισμού
Based on cart subtotal,Με βάση το μερικό σύνολο του καλαθιού
Based on cart weight,Με βάση το βάρος του καλαθιού
Basic configuration,Βασική διαμόρφωση
Boolean,Boolean
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Ενσωματωμένες μέθοδοι αποστολής με χρεώσεις ανά ζώνη. Συνδέστε πρώτα το Core σε μια ζώνη από τις Ρυθμίσεις → Αποστολή· έπειτα προσθέστε εδώ τις μεθόδους και διαμορφώστε τις χρεώσεις τους ανά ζώνη.
Buy X get Y,Αγοράζεις X παίρνεις Y
CMS,CMS
Calculation type,Τύπος υπολογισμού
Can not change the attribute group of a product that is already in a variant group.,Δεν είναι δυνατή η αλλαγή της ομάδας χαρακτηριστικών ενός προϊόντος που βρίσκεται ήδη σε ομάδα παραλλαγών.
Cancel rollout,Ακύρωση κυκλοφορίας
Cancel rollout plan?,Ακύρωση σχεδίου κυκλοφορίας;
Canvas device width,Πλάτος συσκευής καμβά
Capture,Δέσμευση
Capture Payment,Δέσμευση πληρωμής
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Υπόδειξη μεταφορέα για την εκτέλεση παραγγελιών — δεν εμφανίζεται ποτέ στο ταμείο. Το NewShipmentDialog το χρησιμοποιεί για την προεπιλογή του μεταφορέα.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Κωδικός υπηρεσίας ειδικός για τον μεταφορέα που χρησιμοποιείται κατά την αγορά ετικέτας (CreateLabelInput.serviceCode). Ελεύθερη μορφή — επαληθεύστε το ακριβές token στην τεκμηρίωση API του μεταφορέα. Αφήστε το κενό για να επιλέξει ο μεταφορέας την προεπιλεγμένη υπηρεσία του.
Cash On Delivery Payment,Πληρωμή με αντικαταβολή
"Catalog, Search","Κατάλογος, Αναζήτηση"
Category Image,Εικόνα κατηγορίας
Category Name,Όνομα κατηγορίας
Category created successfully!,Η κατηγορία δημιουργήθηκε με επιτυχία!
Category name is required,Το όνομα κατηγορίας είναι υποχρεωτικό
Choose Attribute Groups,Επιλογή ομάδων χαρακτηριστικών
Choose Categories,Επιλογή κατηγοριών
Choose Collections,Επιλογή συλλογών
Choose SKUs,Επιλογή SKU
Choose how much of your unpublished work to discard. The published storefront is not affected.,Επιλέξτε πόση από τη μη δημοσιευμένη εργασία σας θα απορρίψετε. Το δημοσιευμένο κατάστημα δεν επηρεάζεται.
Choose where you ship and how much you charge for shipping.,Επιλέξτε πού αποστέλλετε και πόσο χρεώνετε για την αποστολή.
Clear filter,Καθαρισμός φίλτρου
Clear filters,Καθαρισμός φίλτρων
Client ID,Client ID
Client Secret,Client Secret
Close,Κλείσιμο
Close settings,Κλείσιμο ρυθμίσεων
Close — continue draft,Κλείσιμο — συνέχεια προσχεδίου
Cms Pages,Σελίδες CMS
Collapse left rail,Σύμπτυξη αριστερής στήλης
Collapse panel,Σύμπτυξη πίνακα
Collection Code,Κωδικός συλλογής
Collection Name,Όνομα συλλογής
Collection code is required,Ο κωδικός συλλογής είναι υποχρεωτικός
Collection code must be alphanumeric and can include underscores or dashes.,Ο κωδικός συλλογής πρέπει να είναι αλφαριθμητικός και μπορεί να περιλαμβάνει κάτω παύλες ή παύλες.
Collection created successfully!,Η συλλογή δημιουργήθηκε με επιτυχία!
Color,Χρώμα
Commerce,Εμπόριο
Compound,Σύνθετος
Condition,Προϋπόθεση
Configure,Διαμόρφωση
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Διαμορφώστε το κόστος και τις προϋποθέσεις ανά ζώνη. Οι ζώνες χωρίς χρέωση δεν προσφέρουν αυτή τη μέθοδο.
Configure rate,Διαμόρφωση χρέωσης
Configure the available payment methods,Διαμορφώστε τις διαθέσιμες μεθόδους πληρωμής
Configure the settings for the ${name} widget.,Διαμορφώστε τις ρυθμίσεις για το widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Διαμορφώστε τις φορολογικές κλάσεις που θα είναι διαθέσιμες στους πελάτες σας στο ταμείο.
Configure your Cash On Delivery payment gateway settings,Διαμορφώστε τις ρυθμίσεις της πύλης πληρωμής με αντικαταβολή
Configure your Paypal payment gateway settings,Διαμορφώστε τις ρυθμίσεις της πύλης πληρωμής Paypal
Configure your Stripe payment gateway settings,Διαμορφώστε τις ρυθμίσεις της πύλης πληρωμής Stripe
Configure your store information,Διαμορφώστε τις πληροφορίες του καταστήματός σας
"Conflicts with ${plan1}, ${plan2}","Έρχεται σε σύγκρουση με ${plan1}, ${plan2}"
Conflicts with ${plan},Έρχεται σε σύγκρουση με ${plan}
Conflicts with ${plan} +${count},Έρχεται σε σύγκρουση με ${plan} +${count}
Conflicts with:,Έρχεται σε σύγκρουση με:
Content,Περιεχόμενο
Continue a saved rollout plan,Συνέχεια αποθηκευμένου σχεδίου κυκλοφορίας
Continue your draft,Συνέχεια του προσχεδίου σας
Core Shipping,Αποστολή Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Το Core δεν είναι ακόμη συνδεδεμένο σε καμία ζώνη. Συνδέστε το πρώτα από τις Ρυθμίσεις → Αποστολή.
Cost,Κόστος
Cost is required,Το κόστος είναι υποχρεωτικό
Could not start fresh,Δεν ήταν δυνατή η εκκίνηση από την αρχή
Countries,Χώρες
"Country code (e.g., ""US""). Use ""*"" for all countries.","Κωδικός χώρας (π.χ. ""US""). Χρησιμοποιήστε ""*"" για όλες τις χώρες."
Coupon Code,Κωδικός κουπονιού
"Coupon code can only contain letters, numbers, underscores, and hyphens","Ο κωδικός κουπονιού μπορεί να περιέχει μόνο γράμματα, αριθμούς, κάτω παύλες και παύλες"
Coupon created successfully!,Το κουπόνι δημιουργήθηκε με επιτυχία!
Coupons,Κουπόνια
Create A New Customer,Δημιουργία νέου πελάτη
Create New Package,Δημιουργία νέου πακέτου
Create New Tax Class,Δημιουργία νέας φορολογικής κλάσης
Create New Zone,Δημιουργία νέας ζώνης
Create a new category,Δημιουργία νέας κατηγορίας
Create a new collection,Δημιουργία νέας συλλογής
Create a new coupon,Δημιουργία νέου κουπονιού
Create a new page,Δημιουργία νέας σελίδας
Create a new product,Δημιουργία νέου προϊόντος
Create a new variant for this product.,Δημιουργία νέας παραλλαγής για αυτό το προϊόν.
Create a new widget,Δημιουργία νέου widget
Create a variant group,Δημιουργία ομάδας παραλλαγών
Create method,Δημιουργία μεθόδου
Create new tax class,Δημιουργία νέας φορολογικής κλάσης
Create rollout plan,Δημιουργία σχεδίου κυκλοφορίας
Created At,Δημιουργήθηκε στις
Current,Τρέχον
Customer,Πελάτης
Customer Email,Email πελάτη
Customer conditions,Προϋποθέσεις πελάτη
Customer emails,Email πελατών
Customer groups,Ομάδες πελατών
Customer's purchase,Αγορά του πελάτη
Customers,Πελάτες
Customers (${count}),Πελάτες (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Οι πελάτες στη ζώνη ${zone} δεν θα βλέπουν πλέον τις μεθόδους του ${name} στο ταμείο. Μπορείτε να το συνδέσετε ξανά αργότερα.
Dashboard,Πίνακας ελέγχου
Date,Ημερομηνία
Decrease,Μείωση
Default carrier,Προεπιλεγμένος μεταφορέας
Default language,Προεπιλεγμένη γλώσσα
Default package,Προεπιλεγμένο πακέτο
Default service code,Προεπιλεγμένος κωδικός υπηρεσίας
"Delete ""${name}""?","Διαγραφή ""${name}"";"
Delete ${count} attributes,Διαγραφή ${count} χαρακτηριστικών
Delete ${count} categories,Διαγραφή ${count} κατηγοριών
Delete ${count} collections,Διαγραφή ${count} συλλογών
Delete ${count} pages,Διαγραφή ${count} σελίδων
Delete ${count} widgets,Διαγραφή ${count} widgets
Delete container widget?,Διαγραφή widget κοντέινερ;
Delete image,Διαγραφή εικόνας
"Delete package ""${name}""?","Διαγραφή πακέτου ""${name}"";"
Delete this,Διαγραφή αυτού
Delete this widget? This will be saved as a pending change you can publish or discard.,Διαγραφή αυτού του widget; Θα αποθηκευτεί ως εκκρεμής αλλαγή που μπορείτε να δημοσιεύσετε ή να απορρίψετε.
Delete widget?,Διαγραφή widget;
Delete zone,Διαγραφή ζώνης
"Delete zone ""${name}""?","Διαγραφή ζώνης ""${name}"";"
Deleted ${name},Διαγράφηκε το ${name}
Deleting this,Διαγραφή αυτού
Deleting this container will also hide,Η διαγραφή αυτού του κοντέινερ θα αποκρύψει επίσης
Description is required,Η περιγραφή είναι υποχρεωτική
Desktop,Επιτραπέζιος υπολογιστής
Detach,Αποσύνδεση
Detach ${name}?,Αποσύνδεση του ${name};
Disable ${count} pages,Απενεργοποίηση ${count} σελίδων
Disable ${count} widgets,Απενεργοποίηση ${count} widget
Disabled products will not be visible in the store and cannot be purchased.,Τα απενεργοποιημένα προϊόντα δεν θα είναι ορατά στο κατάστημα και δεν μπορούν να αγοραστούν.
Discard changes on this page only,Απόρριψη αλλαγών μόνο σε αυτή τη σελίδα
Discard everything,Απόρριψη όλων
Discard everything in this draft,Απόρριψη όλων σε αυτό το πρόχειρο
Discard failed,Η απόρριψη απέτυχε
Discard pending changes?,Απόρριψη εκκρεμών αλλαγών;
Discard this page,Απόρριψη αυτής της σελίδας
Discarding…,Απόρριψη…
Discount Type,Τύπος έκπτωσης
Discount amount,Ποσό έκπτωσης
Discount amount is required,Το ποσό έκπτωσης είναι υποχρεωτικό
Discount type is required,Ο τύπος έκπτωσης είναι υποχρεωτικός
Dislay Name,Εμφανιζόμενο όνομα
Display Name,Εμφανιζόμενο όνομα
Draft,Πρόχειρο
Draft — not scheduled,Πρόχειρο — δεν έχει προγραμματιστεί
Drag to resize,Σύρετε για αλλαγή μεγέθους
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Κάθε γραμμή τοποθετεί αυτό το widget σε μία σελίδα, σε μία περιοχή, με τη δική του σειρά ταξινόμησης. Οι μικρότεροι αριθμοί εμφανίζονται πρώτοι."
Edit ${name},Επεξεργασία του ${name}
Edit Shipping Zone,Επεξεργασία ζώνης αποστολής
Edit Tax Rate,Επεξεργασία φορολογικού συντελεστή
Edit Variant,Επεξεργασία παραλλαγής
Edit Zone,Επεξεργασία ζώνης
Edit against the live storefront. Publish immediately or save as a rollout plan.,Επεξεργαστείτε με βάση το ζωντανό κατάστημα. Δημοσιεύστε άμεσα ή αποθηκεύστε ως πλάνο ανάπτυξης.
Edit rollout schedule,Επεξεργασία προγράμματος ανάπτυξης
Editable routes,Επεξεργάσιμες διαδρομές
Editing ${coupon},Επεξεργασία του ${coupon}
Editing ${fullName},Επεξεργασία του ${fullName}
Editing widget ${name},Επεξεργασία widget ${name}
Edits to a shared widget update every route it appears on.,Οι επεξεργασίες σε ένα κοινόχρηστο widget ενημερώνουν κάθε διαδρομή στην οποία εμφανίζεται.
Empty package weight,Βάρος άδειου δέματος
Empty weight,Βάρος χωρίς περιεχόμενο
Enable ${count} pages,Ενεργοποίηση ${count} σελίδων
Enable ${count} widgets,Ενεργοποίηση ${count} widget
Enable this page to make it visible on the frontend.,Ενεργοποιήστε αυτή τη σελίδα για να γίνει ορατή στο frontend.
Enable?,Ενεργοποίηση;
End,Λήξη
End Date,Ημερομηνία λήξης
End date,Ημερομηνία λήξης
End time is invalid.,Η ώρα λήξης δεν είναι έγκυρη.
End time must be after start time.,Η ώρα λήξης πρέπει να είναι μετά την ώρα έναρξης.
Enter Category Name,Εισαγάγετε όνομα κατηγορίας
Enter Collection Name,Εισαγάγετε όνομα συλλογής
Enter Meta Description,Εισαγάγετε Meta Description
Enter Meta Title,Εισαγάγετε Meta Title
Enter Meta description,Εισαγάγετε Meta description
Enter Meta title,Εισαγάγετε Meta title
Enter SKU,Εισαγάγετε SKU
Enter URL Key,Εισαγάγετε κλειδί URL
Enter URL key,Εισαγάγετε κλειδί URL
Enter customer emails,Εισαγάγετε email πελατών
Enter description,Εισαγάγετε περιγραφή
Enter group name,Εισαγάγετε όνομα ομάδας
Enter meta description,Εισαγάγετε meta description
Enter meta title,Εισαγάγετε meta title
Enter page name,Εισαγάγετε όνομα σελίδας
Enter price,Εισαγάγετε τιμή
Enter product name,Εισαγάγετε όνομα προϊόντος
Enter purchased amount,Εισαγάγετε αγορασμένη ποσότητα
Enter quantity,Εισαγάγετε ποσότητα
Enter tax class name,Εισαγάγετε όνομα φορολογικής κλάσης
Enter the quantity,Εισαγάγετε την ποσότητα
Enter weight,Εισαγάγετε βάρος
Environment,Περιβάλλον
Error loading countries,Σφάλμα φόρτωσης χωρών
Error loading methods,Σφάλμα φόρτωσης μεθόδων
Error loading packages,Σφάλμα φόρτωσης δεμάτων
Error loading providers,Σφάλμα φόρτωσης παρόχων
Error loading zones,Σφάλμα φόρτωσης ζωνών
EverShop · Back to page builder,EverShop · Επιστροφή στον page builder
Every page rolls back to the rollout’s saved state.,Κάθε σελίδα επανέρχεται στην αποθηκευμένη κατάσταση της ανάπτυξης.
Every page rolls back to what the rollout had saved.,"Κάθε σελίδα επανέρχεται σε ό,τι είχε αποθηκεύσει η ανάπτυξη."
Existing rollout plan: ${plan},Υπάρχον πλάνο ανάπτυξης: ${plan}
Expand,Ανάπτυξη
Expand left rail,Ανάπτυξη αριστερής στήλης
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Επιπλέον γλώσσες στις οποίες μπορούν να μεταβούν οι αγοραστές, πέραν της προεπιλεγμένης. Η προεπιλεγμένη γλώσσα είναι πάντα διαθέσιμη — δεν την προσθέτετε εδώ."
Failed to attach provider,Αποτυχία σύνδεσης παρόχου
Failed to delete ${name},Αποτυχία διαγραφής του ${name}
Failed to detach ${name},Αποτυχία αποσύνδεσης του ${name}
Failed to remove rate,Αποτυχία αφαίρεσης συντελεστή
Failed to remove zone,Αποτυχία αφαίρεσης ζώνης
Failed to save change,Αποτυχία αποθήκευσης αλλαγής
Failed to save rate,Αποτυχία αποθήκευσης συντελεστή
Failed to save zone,Αποτυχία αποθήκευσης ζώνης
Failed to update rollout schedule,Αποτυχία ενημέρωσης προγράμματος ανάπτυξης
Fixed discount to entire order,Σταθερή έκπτωση σε ολόκληρη την παραγγελία
Fixed discount to specific products,Σταθερή έκπτωση σε συγκεκριμένα προϊόντα
Flat rate,Σταθερή χρέωση
"Flat rate in cart currency, tax-exclusive.","Σταθερή χρέωση στο νόμισμα του καλαθιού, χωρίς φόρο."
Free shipping?,Δωρεάν αποστολή;
General Information,Γενικές πληροφορίες
Give Feedback,Αφήστε σχόλια
Global,Καθολικό
Globals,Καθολικά
Group,Ομάδα
Group Name,Όνομα ομάδας
Group name is required,Το όνομα ομάδας είναι υποχρεωτικό
Groups,Ομάδες
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Ημιανοιχτό διάστημα — ένα καλάθι ακριβώς στο Max εξαιρείται (το Min της επόμενης βαθμίδας κατέχει αυτό το σημείο).
Has conflicts,Έχει διενέξεις
Heads up — ,Προσοχή — 
Height,Ύψος
Height is required (0 for envelopes),Το ύψος είναι υποχρεωτικό (0 για φακέλους)
Height must be 0 or greater,Το ύψος πρέπει να είναι 0 ή μεγαλύτερο
Hide global areas,Απόκρυψη καθολικών περιοχών
Higest tax rate based on cart items,Υψηλότερος φορολογικός συντελεστής βάσει των ειδών του καλαθιού
Highlight global areas on canvas,Επισήμανση καθολικών περιοχών στον καμβά
Image,Εικόνα
Include In Menu,Συμπερίληψη στο μενού
Include in Store Menu?,Συμπερίληψη στο μενού καταστήματος;
Increase,Αύξηση
Insert image,Εισαγωγή εικόνας
Integer,Ακέραιος
Invalid folder name,Μη έγκυρο όνομα φακέλου
Invalid start,Μη έγκυρη έναρξη
Invalid window,Μη έγκυρο χρονικό παράθυρο
Inventory,Απόθεμα
Is compound,Είναι σύνθετος
Its rates will be removed too. This cannot be undone.,Οι συντελεστές της θα αφαιρεθούν επίσης. Αυτό δεν μπορεί να αναιρεθεί.
Languages,Γλώσσες
Layers,Επίπεδα
Layout,Διάταξη
Leave,Αποχώρηση
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Αφήστε τη λίστα μιας χώρας κενή για να καλύψετε ολόκληρη τη χώρα. Προσθέστε επαρχίες για να περιορίσετε την αποστολή σε συγκεκριμένες περιοχές.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Η αποχώρηση τώρα ενδέχεται να απορρίψει τις πιο πρόσφατες επεξεργασίες που δεν έχουν φτάσει ακόμη στον διακομιστή.
Length,Μήκος
Length is required,Το μήκος είναι υποχρεωτικό
Length must be greater than 0,Το μήκος πρέπει να είναι μεγαλύτερο από 0
Live,Ζωντανό
Loading...,Φόρτωση...
Long text,Μεγάλο κείμενο
Lower values appear first.,Οι μικρότερες τιμές εμφανίζονται πρώτες.
Manage Stock,Διαχείριση αποθέματος
Manage general information about the collection.,Διαχειριστείτε γενικές πληροφορίες σχετικά με τη συλλογή.
Manage product images and gallery. Drag and drop to reorder images.,Διαχειριστείτε τις εικόνες και τη συλλογή φωτογραφιών του προϊόντος. Σύρετε και αποθέστε για αναδιάταξη των εικόνων.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Διαχειριστείτε τις ενσωματώσεις αποστολής και τις μεθόδους τους (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Διαχειριστείτε φορολογικές κλάσεις και φορολογικούς συντελεστές για διαφορετικές περιοχές.
Manage the SEO settings of the category.,Διαχειριστείτε τις ρυθμίσεις SEO της κατηγορίας.
Manage the SEO settings.,Διαχειριστείτε τις ρυθμίσεις SEO.
Manage the attributes.,Διαχειριστείτε τα χαρακτηριστικά.
Manage the collections associated with this product.,Διαχειριστείτε τις συλλογές που σχετίζονται με αυτό το προϊόν.
Manage the general information of the category.,Διαχειριστείτε τις γενικές πληροφορίες της κατηγορίας.
Manage the general information of the product.,Διαχειριστείτε τις γενικές πληροφορίες του προϊόντος.
Manage the inventory settings of the product.,Διαχειριστείτε τις ρυθμίσεις αποθέματος του προϊόντος.
Manage the products assigned to this category.,Διαχειριστείτε τα προϊόντα που έχουν αντιστοιχιστεί σε αυτή την κατηγορία.
Manage the products assigned to this collection.,Διαχειριστείτε τα προϊόντα που έχουν αντιστοιχιστεί σε αυτή τη συλλογή.
Manage the shipping settings of the product.,Διαχειριστείτε τις ρυθμίσεις αποστολής του προϊόντος.
Manage the status settings of the category.,Διαχειριστείτε τις ρυθμίσεις κατάστασης της κατηγορίας.
Manage the variant group of the product.,Διαχειριστείτε την ομάδα παραλλαγών του προϊόντος.
Marketing,Μάρκετινγκ
Max ${unit},Μέγ. ${unit}
Max is required,Το μέγιστο είναι υποχρεωτικό
Maximum,Μέγιστο
Maximum amount is ${value} ${currency},Το μέγιστο ποσό είναι ${value} ${currency}
Maximum quantity is required,Η μέγιστη ποσότητα είναι υποχρεωτική
Maximum quantity must be greater than or equal to 0,Η μέγιστη ποσότητα πρέπει να είναι μεγαλύτερη ή ίση με 0
Media,Πολυμέσα
Meta Description,Meta Περιγραφή
Meta Title,Meta Τίτλος
Meta Title is required,Ο Meta Τίτλος είναι υποχρεωτικός
Meta description,Meta περιγραφή
Meta description is required,Η Meta περιγραφή είναι υποχρεωτική
Meta title,Meta τίτλος
Meta title is required,Ο Meta τίτλος είναι υποχρεωτικός
Method,Μέθοδος
Method created,Η μέθοδος δημιουργήθηκε
Method name,Όνομα μεθόδου
Method name is required,Το όνομα μεθόδου είναι υποχρεωτικό
Method updated,Η μέθοδος ενημερώθηκε
Methods →,Μέθοδοι →
Min ${unit},Ελάχ. ${unit}
Min Price,Ελάχ. Τιμή
Min Weight,Ελάχ. Βάρος
Min is required,Το ελάχιστο είναι υποχρεωτικό
Min price is required,Η ελάχιστη τιμή είναι υποχρεωτική
Min weight is required,Το ελάχιστο βάρος είναι υποχρεωτικό
Minimum purchase amount,Ελάχιστο ποσό αγοράς
Minimum purchase qty,Ελάχ. ποσότητα αγοράς
Minimum purchase quantity,Ελάχιστη ποσότητα αγοράς
Minimum purchased amount. This only applies to registered customers.,Ελάχιστο ποσό αγοράς. Αυτό ισχύει μόνο για εγγεγραμμένους πελάτες.
Minimum quantity is required,Η ελάχιστη ποσότητα είναι υποχρεωτική
