"Blog category","Danh mục blog"
"Don't have keys? If EverShop runs on a server that already has access to the bucket — for example an AWS IAM role, or AWS keys set up as environment variables on the server — leave both fields empty and the server's own credentials are used automatically. The connection is tested when you save, so a wrong or missing setup cannot be saved.","Không có khóa? Nếu EverShop chạy trên máy chủ đã có quyền truy cập bucket — ví dụ vai trò AWS IAM, hoặc khóa AWS được đặt làm biến môi trường trên máy chủ — hãy để trống cả hai trường và thông tin xác thực của chính máy chủ sẽ được dùng tự động. Kết nối được kiểm tra khi bạn lưu, nên cấu hình sai hoặc thiếu sẽ không thể lưu được."
"Don't have a key? If EverShop runs on Google Cloud (Compute Engine, GKE, Cloud Run) with a service account attached, or the GOOGLE_APPLICATION_CREDENTIALS environment variable is set on the server, leave this field empty and the server's own credentials are used automatically. The connection is tested when you save, so a wrong or missing setup cannot be saved.","Không có khóa? Nếu EverShop chạy trên Google Cloud (Compute Engine, GKE, Cloud Run) với tài khoản dịch vụ được gắn kèm, hoặc biến môi trường GOOGLE_APPLICATION_CREDENTIALS đã được đặt trên máy chủ, hãy để trống trường này và thông tin xác thực của chính máy chủ sẽ được dùng tự động. Kết nối được kiểm tra khi bạn lưu, nên cấu hình sai hoặc thiếu sẽ không thể lưu được."
"Optional CDN (e.g. Cloud CDN) serving the bucket — lets the bucket stay private. Without it, objects must be publicly readable: grant ""allUsers"" the Storage Object Viewer role on the bucket (blocked when Public Access Prevention is enforced on your organization). Example: https://cdn.mystore.com, a load balancer domain with this bucket as its backend bucket.","CDN tùy chọn (ví dụ Cloud CDN) phục vụ bucket — cho phép bucket luôn riêng tư. Nếu không có, các đối tượng phải đọc được công khai: cấp cho “allUsers” vai trò Storage Object Viewer trên bucket (bị chặn khi tổ chức của bạn áp dụng Public Access Prevention). Ví dụ: https://cdn.mystore.com, một tên miền load balancer có bucket này làm backend bucket."
Local storage is not recommended for production,Không khuyến nghị dùng lưu trữ cục bộ cho môi trường production
"Files stored on this server can be lost when it is updated, moved, or fails. For a live store, use S3 or Azure Blob Storage instead.","Tệp lưu trên máy chủ này có thể bị mất khi máy chủ được cập nhật, di chuyển hoặc gặp sự cố. Với cửa hàng đang hoạt động, hãy dùng S3 hoặc Azure Blob Storage."
Upload rules,Quy tắc tải lên
What can be uploaded and how big it can be — applies on every storage provider.,Những gì có thể tải lên và dung lượng tối đa — áp dụng cho mọi nhà cung cấp lưu trữ.
Allowed file types,Loại tệp được phép
Select at least one file type,Hãy chọn ít nhất một loại tệp
Files with other types are rejected at upload. SVG is not offered on purpose — SVG files can contain scripts and are a security risk when served.,Tệp thuộc loại khác sẽ bị từ chối khi tải lên. SVG cố ý không được cung cấp — tệp SVG có thể chứa script và gây rủi ro bảo mật khi được phục vụ.
Also allowed via server configuration: ${types},Cũng được phép qua cấu hình máy chủ: ${types}
Maximum file size,Kích thước tệp tối đa
"Per file, in megabytes (MB). Leave empty for the default of 10 MB. Applies to every upload in the admin panel — product images, banners, media.","Trên mỗi tệp, tính bằng megabyte (MB). Để trống để dùng mặc định 10 MB. Áp dụng cho mọi lần tải lên trong bảng quản trị — ảnh sản phẩm, banner, media."
Per-type overrides,Ghi đè theo loại
"Overrides the maximum size for matching file types — for example a smaller limit for images and a bigger one for videos. An exact type (video/mp4) wins over a family (video/*); anything without a match uses the maximum file size above. Overrides do not allow new types: the file type itself must be enabled in ""Allowed file types"".",Ghi đè kích thước tối đa cho các loại tệp khớp — ví dụ giới hạn nhỏ hơn cho ảnh và lớn hơn cho video. Loại chính xác (video/mp4) được ưu tiên hơn một họ (video/*); những gì không khớp sẽ dùng kích thước tệp tối đa ở trên. Ghi đè không cho phép loại mới: bản thân loại tệp phải được bật trong “Loại tệp được phép”.
Every product in the store,Mọi sản phẩm trong cửa hàng
