${count} orders,${count} đơn hàng
Close,Đóng
Close settings,Đóng cài đặt
Close — continue draft,Đóng — tiếp tục nháp
Cms Pages,Trang CMS
Collapse left rail,Thu thanh trái
Collapse panel,Thu bảng
Collection Code,Mã bộ sưu tập
Collection Name,Tên bộ sưu tập
Collection code is required,Mã bộ sưu tập là bắt buộc
Collection code must be alphanumeric and can include underscores or dashes.,"Mã bộ sưu tập phải là chữ và số, có thể chứa gạch dưới hoặc gạch ngang."
Collection created successfully!,Đã tạo bộ sưu tập!
Color,Màu sắc
Commerce,Thương mại
Compound,Lũy kế
Condition,Điều kiện
Configure,Cấu hình
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Cấu hình chi phí và điều kiện cho từng khu vực. Khu vực không có mức sẽ không cung cấp phương thức này.
Configure rate,Cấu hình mức
Configure the available payment methods,Cấu hình các phương thức thanh toán
Configure the settings for the ${name} widget.,Cấu hình cài đặt cho tiện ích ${name}.
Configure the tax classes that will be available to your customers at checkout.,Cấu hình các lớp thuế khả dụng cho khách khi thanh toán.
Configure your Cash On Delivery payment gateway settings,Cấu hình cài đặt cổng thanh toán khi nhận hàng
Configure your Paypal payment gateway settings,Cấu hình cài đặt cổng thanh toán PayPal
Configure your Stripe payment gateway settings,Cấu hình cài đặt cổng thanh toán Stripe
Configure your store information,Cấu hình thông tin cửa hàng
"Conflicts with ${plan1}, ${plan2}","Xung đột với ${plan1}, ${plan2}"
Conflicts with ${plan},Xung đột với ${plan}
Conflicts with ${plan} +${count},Xung đột với ${plan} +${count}
Conflicts with:,Xung đột với:
Content,Nội dung
Continue a saved rollout plan,Tiếp tục kế hoạch triển khai đã lưu
Continue your draft,Tiếp tục bản nháp
Core Shipping,Giao hàng Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core chưa gắn vào khu vực nào. Hãy gắn trong Cài đặt → Giao hàng trước.
Cost,Chi phí
Cost is required,Chi phí là bắt buộc
Could not start fresh,Không thể bắt đầu mới
Countries,Quốc gia
"Country code (e.g., ""US""). Use ""*"" for all countries.","Mã quốc gia (vd: ""US""). Dùng ""*"" cho mọi quốc gia."
Coupon Code,Mã giảm giá
"Coupon code can only contain letters, numbers, underscores, and hyphens","Mã giảm giá chỉ gồm chữ, số, gạch dưới và gạch nối"
Coupon created successfully!,Tạo mã giảm giá thành công!
Coupons,Mã giảm giá
Create A New Customer,Tạo khách hàng mới
Create New Package,Tạo gói mới
Create New Tax Class,Tạo lớp thuế mới
Create New Zone,Tạo khu vực mới
Create a new category,Tạo danh mục mới
Create a new collection,Tạo bộ sưu tập mới
Create a new coupon,Tạo mã giảm giá mới
Create a new page,Tạo trang mới
Create a new product,Tạo sản phẩm mới
Create a new variant for this product.,Tạo biến thể mới cho sản phẩm này.
Create a new widget,Tạo tiện ích mới
Create a variant group,Tạo nhóm biến thể
Create method,Tạo phương thức
Create new tax class,Tạo lớp thuế mới
Create rollout plan,Tạo kế hoạch triển khai
Created At,Tạo lúc
Current,Hiện tại
Customer,Khách hàng
Customer Email,Email khách hàng
Customer conditions,Điều kiện khách hàng
Customer emails,Email khách hàng
Customer groups,Nhóm khách hàng
Customer's purchase,Đơn mua của khách
Customers,Khách hàng
Customers (${count}),Khách hàng (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Khách ở ${zone} sẽ không còn thấy phương thức của ${name} khi thanh toán. Bạn có thể gắn lại sau.
Dashboard,Bảng điều khiển
Date,Ngày
Decrease,Giảm
Default carrier,Hãng vận chuyển mặc định
Default language,Ngôn ngữ mặc định
Default package,Gói mặc định
Default service code,Mã dịch vụ mặc định
"Delete ""${name}""?","Xóa ""${name}""?"
Delete ${count} attributes,Xóa ${count} thuộc tính
Delete ${count} categories,Xóa ${count} danh mục
Delete ${count} collections,Xóa ${count} bộ sưu tập
Delete ${count} pages,Xóa ${count} trang
Delete ${count} widgets,Xóa ${count} tiện ích
Delete container widget?,Xóa tiện ích chứa?
Delete image,Xóa hình ảnh
"Delete package ""${name}""?","Xóa gói ""${name}""?"
Delete this,Xóa cái này
Delete this widget? This will be saved as a pending change you can publish or discard.,Xóa tiện ích này? Sẽ được lưu thành thay đổi chờ để bạn đăng hoặc loại bỏ.
Delete widget?,Xóa tiện ích?
Delete zone,Xóa khu vực
"Delete zone ""${name}""?","Xóa khu vực ""${name}""?"
Deleted ${name},Đã xóa ${name}
Deleting this,Việc xóa này
Deleting this container will also hide,Xóa vùng chứa này cũng sẽ ẩn
Description is required,Mô tả là bắt buộc
Desktop,Máy tính
Detach,Gỡ
Detach ${name}?,Gỡ ${name}?
Disable ${count} pages,Tắt ${count} trang
Disable ${count} widgets,Tắt ${count} tiện ích
Disabled products will not be visible in the store and cannot be purchased.,Sản phẩm đã tắt sẽ không hiện trong cửa hàng và không thể mua.
Discard changes on this page only,Bỏ thay đổi chỉ trên trang này
Discard everything,Bỏ tất cả
Discard everything in this draft,Bỏ tất cả trong bản nháp này
Discard failed,Bỏ thất bại
Discard pending changes?,Bỏ thay đổi chờ?
Discard this page,Bỏ trang này
Discarding…,Đang bỏ…
Discount,Giảm giá
Discount Type,Loại giảm giá
Discount amount,Số tiền giảm
Discount amount is required,Bắt buộc nhập số tiền giảm
Discount type is required,Bắt buộc chọn loại giảm giá
Dislay Name,Tên hiển thị
Display Name,Tên hiển thị
Draft,Bản nháp
Draft — not scheduled,Bản nháp — chưa lên lịch
Drag to resize,Kéo để chỉnh cỡ
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Mỗi dòng đặt tiện ích này lên một trang, một khu vực, với thứ tự riêng. Số nhỏ hiện trước."
Edit ${name},Sửa ${name}
Edit Shipping Zone,Sửa khu vực giao hàng
Edit Tax Rate,Sửa mức thuế
Edit Variant,Sửa biến thể
Edit Zone,Sửa khu vực
Edit against the live storefront. Publish immediately or save as a rollout plan.,Sửa trực tiếp trên storefront. Đăng ngay hoặc lưu thành kế hoạch triển khai.
Edit rollout schedule,Sửa lịch triển khai
Editable routes,Tuyến có thể sửa
Editing ${coupon},Đang sửa ${coupon}
Editing ${fullName},Đang sửa ${fullName}
Editing widget ${name},Đang sửa tiện ích ${name}
Edits to a shared widget update every route it appears on.,Sửa tiện ích dùng chung sẽ cập nhật mọi tuyến có nó.
Empty package weight,Cân nặng gói rỗng
Empty weight,Cân nặng rỗng
Enable ${count} pages,Bật ${count} trang
Enable ${count} widgets,Bật ${count} tiện ích
Enable this page to make it visible on the frontend.,Bật trang này để hiển thị ở giao diện người dùng.
Enable?,Bật?
End,Kết thúc
End Date,Ngày kết thúc
End date,Ngày kết thúc
End time is invalid.,Giờ kết thúc không hợp lệ.
End time must be after start time.,Giờ kết thúc phải sau giờ bắt đầu.
Enter Category Name,Nhập tên danh mục
Enter Collection Name,Nhập tên bộ sưu tập
Enter Meta Description,Nhập Mô tả Meta
Enter Meta Title,Nhập Tiêu đề Meta
Enter Meta description,Nhập Meta description
Enter Meta title,Nhập Meta title
Enter SKU,Nhập SKU
Enter URL Key,Nhập URL Key
Enter URL key,Nhập Đường dẫn URL
Enter customer emails,Nhập email khách hàng
Enter description,Nhập mô tả
Enter group name,Nhập tên nhóm
Enter meta description,Nhập meta description
Enter meta title,Nhập meta title
Enter page name,Nhập tên trang
Enter price,Nhập giá
Enter product name,Nhập tên sản phẩm
Enter purchased amount,Nhập số tiền mua
Enter quantity,Nhập số lượng
Enter tax class name,Nhập tên lớp thuế
Enter the quantity,Nhập số lượng
Enter weight,Nhập cân nặng
Environment,Môi trường
Error loading countries,Lỗi tải quốc gia
Error loading methods,Lỗi tải phương thức
Error loading packages,Lỗi tải gói
Error loading providers,Lỗi tải nhà cung cấp
Error loading zones,Lỗi tải khu vực
EverShop · Back to page builder,EverShop · Về trình tạo trang
Every page rolls back to the rollout’s saved state.,Mọi trang quay về trạng thái đã lưu của bản triển khai.
Every page rolls back to what the rollout had saved.,Mọi trang quay về trạng thái bản triển khai đã lưu.
Existing rollout plan: ${plan},Kế hoạch triển khai hiện có: ${plan}
Expand,Mở rộng
Expand left rail,Mở rộng thanh trái
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Ngôn ngữ phụ người mua có thể chuyển sang, ngoài mặc định. Ngôn ngữ mặc định luôn có sẵn — không thêm ở đây."
Failed to attach provider,Gắn nhà cung cấp thất bại
Failed to delete ${name},Xóa ${name} thất bại
Failed to detach ${name},Gỡ ${name} thất bại
Failed to remove rate,Bỏ mức thất bại
Failed to remove zone,Bỏ khu vực thất bại
Failed to save change,Lưu thay đổi thất bại
Failed to save rate,Lưu mức thất bại
Failed to save zone,Lưu khu vực thất bại
Failed to update rollout schedule,Cập nhật lịch triển khai thất bại
Fixed discount to entire order,Giảm cố định cho cả đơn
Fixed discount to specific products,Giảm cố định cho sản phẩm cụ thể
Flat rate,Mức cố định
"Flat rate in cart currency, tax-exclusive.","Mức cố định theo tiền giỏ hàng, chưa thuế."
Free shipping?,Giao hàng miễn phí?
General Information,Thông tin chung
Give Feedback,Góp ý
Global,Toàn cục
Globals,Toàn cục
Group,Nhóm
Group Name,Tên nhóm
Group name is required,Tên nhóm bắt buộc
Groups,Nhóm
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Khoảng nửa mở — giỏ đúng Max bị loại (điểm đó thuộc Min của bậc kế).
Has conflicts,Có xung đột
Heads up — ,Lưu ý — 
Height,Chiều cao
Height is required (0 for envelopes),Chiều cao bắt buộc (0 cho phong bì)
Height must be 0 or greater,Chiều cao phải từ 0 trở lên
Hide global areas,Ẩn vùng toàn cục
Higest tax rate based on cart items,Thuế cao nhất theo mặt hàng trong giỏ
Highlight global areas on canvas,Tô sáng vùng toàn cục trên canvas
Image,Hình ảnh
Include In Menu,Thêm vào menu
Include in Store Menu?,Thêm vào menu cửa hàng?
Increase,Tăng
Insert image,Chèn hình ảnh
Integer,Số nguyên
Invalid folder name,Tên thư mục không hợp lệ
Invalid start,Thời điểm bắt đầu không hợp lệ
Invalid window,Khung giờ không hợp lệ
Inventory,Kho
Is compound,Là thuế ghép
Its rates will be removed too. This cannot be undone.,Các mức của nó cũng bị xóa. Không thể hoàn tác.
Languages,Ngôn ngữ
Layers,Lớp
Layout,Bố cục
Leave,Rời đi
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Để trống danh sách quốc gia để phủ cả nước. Thêm tỉnh để giới hạn giao hàng theo vùng.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Rời đi lúc này có thể mất các sửa đổi mới nhất chưa lên server.
Length,Chiều dài
Length is required,Chiều dài bắt buộc
Length must be greater than 0,Chiều dài phải lớn hơn 0
Live,Trực tiếp
Loading...,Đang tải...
Long text,Văn bản dài
Lower values appear first.,Giá trị nhỏ hiện trước.
Manage Stock,Quản lý tồn kho
Manage general information about the collection.,Quản lý thông tin chung của bộ sưu tập.
Manage product images and gallery. Drag and drop to reorder images.,Quản lý hình ảnh và thư viện sản phẩm. Kéo thả để sắp xếp lại.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Quản lý tích hợp giao hàng và phương thức (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Quản lý lớp thuế và mức thuế cho các vùng khác nhau.
Manage the SEO settings of the category.,Quản lý cài đặt SEO của danh mục.
Manage the SEO settings.,Quản lý cài đặt SEO.
Manage the attributes.,Quản lý thuộc tính.
Manage the collections associated with this product.,Quản lý bộ sưu tập gắn với sản phẩm này.
Manage the general information of the category.,Quản lý thông tin chung của danh mục.
Manage the general information of the product.,Quản lý thông tin chung của sản phẩm.
Manage the inventory settings of the product.,Quản lý cài đặt kho của sản phẩm.
Manage the products assigned to this category.,Quản lý sản phẩm gán vào danh mục này.
Manage the products assigned to this collection.,Quản lý sản phẩm gán vào bộ sưu tập này.
Manage the shipping settings of the product.,Quản lý cài đặt giao hàng của sản phẩm.
Manage the status settings of the category.,Quản lý cài đặt trạng thái của danh mục.
Manage the variant group of the product.,Quản lý nhóm biến thể của sản phẩm.
Marketing,Tiếp thị
Max ${unit},Tối đa ${unit}
Max is required,Tối đa bắt buộc
Maximum,Tối đa
Maximum amount is ${value} ${currency},Số tiền tối đa là ${value} ${currency}
Maximum quantity is required,Số lượng tối đa bắt buộc
Maximum quantity must be greater than or equal to 0,Số lượng tối đa phải từ 0 trở lên
Media,Media
Meta Description,Mô tả Meta
Meta Title,Tiêu đề Meta
Meta Title is required,Meta Title là bắt buộc
Meta description,Mô tả Meta
Meta description is required,Meta description là bắt buộc
Meta title,Tiêu đề Meta
Meta title is required,Meta title là bắt buộc
Method,Phương thức
Method created,Đã tạo phương thức
Method name,Tên phương thức
Method name is required,Tên phương thức là bắt buộc
Method updated,Đã cập nhật phương thức
Methods →,Phương thức →
Min ${unit},Tối thiểu ${unit}
Min Price,Giá tối thiểu
Min Weight,Cân nặng tối thiểu
Min is required,Min là bắt buộc
Min price is required,Giá tối thiểu là bắt buộc
Min weight is required,Cân nặng tối thiểu là bắt buộc
Minimum purchase amount,Số tiền mua tối thiểu
Minimum purchase qty,SL mua tối thiểu
Minimum purchase quantity,Số lượng mua tối thiểu
Minimum purchased amount. This only applies to registered customers.,Số tiền mua tối thiểu. Chỉ áp dụng cho khách đã đăng ký.
Minimum quantity is required,Số lượng tối thiểu là bắt buộc
Missing name,Thiếu tên
Money,Tiền tệ
Name is required.,Tên là bắt buộc.
Navigation,Điều hướng
New Attribute,Thuộc tính mới
New Category,Danh mục mới
New Collection,Bộ sưu tập mới
New Coupon,Mã giảm giá mới
New Page,Trang mới
New Variant,Biến thể mới
New coupon,Mã giảm giá mới
New rate,Mức mới
No collections,Không có bộ sưu tập
No editable routes.,Không có tuyến sửa được.
No file selected,Chưa chọn tệp
No methods yet — add one to start offering Core shipping.,Chưa có phương thức — thêm một cái để bắt đầu cung cấp Core shipping.
No packages yet. Create one — shippable products require a package.,Chưa có gói. Tạo một gói — sản phẩm cần giao hàng phải có gói.
No product to display.,Không có sản phẩm để hiển thị.
"No providers attached. Click ""Attach Provider"" to add one.","Chưa gắn nhà cung cấp. Nhấn ""Attach Provider"" để thêm."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Chưa có mức — nhấn ""Add Rate"" để cung cấp phương thức này trong khu vực."
"No results for ""${keyword}""","Không có kết quả cho ""${keyword}"""
No routes have opted into page-builder editing yet.,Chưa tuyến nào bật chỉnh sửa page-builder.
No shipping required?,Không cần giao hàng?
No subdivisions available — whole country is covered.,Không có vùng — toàn quốc được phủ.
No widgets available.,Không có tiện ích.
"No widgets match ""${query}"".","Không tiện ích nào khớp ""${query}""."
No widgets on this route yet.,Chưa có tiện ích trên tuyến này.
No zones,Không có khu vực
No zones found,Không tìm thấy khu vực
Not visible individually,Không hiển thị riêng lẻ
Nothing to publish,Không có gì để xuất bản
Nothing to redo on this page,Không có gì để làm lại trên trang này
Nothing to undo on this page,Không có gì để hoàn tác trên trang này
Number,Số
Option text is required,Văn bản tùy chọn là bắt buộc
Optional. Added to the shipping weight for quotes and labels.,Tùy chọn. Thêm vào cân nặng giao hàng cho báo giá và nhãn.
Order Number,Số đơn hàng
Order conditions,Điều kiện đơn hàng
Orders (${count}),Đơn hàng (${count})
Other,Khác
Other pages keep their pending changes.,Các trang khác giữ thay đổi đang chờ.
Overlaps with existing rollout: ${plans}.,Trùng với rollout hiện có: ${plans}.
Overlaps with existing rollouts: ${plans}.,Trùng với các rollout hiện có: ${plans}.
Package,Gói
Package created,Đã tạo gói
Package deleted,Đã xóa gói
Package saved,Đã lưu gói
Packages,Gói
Page Name,Tên trang
Page Not Found,Không tìm thấy trang
Page builder,Trình tạo trang
Page builder canvas,Khung trình tạo trang
Page created successfully!,Đã tạo trang thành công!
Page is required,Trang là bắt buộc
Page name is required,Tên trang là bắt buộc
Pages,Trang
Parent category,Danh mục cha
Payment Setting,Cài đặt thanh toán
Payment mode,Chế độ thanh toán
Payment setting saved,Đã lưu cài đặt thanh toán
Paypal Payment,Thanh toán PayPal
Pending start time,Giờ bắt đầu chờ
Percentage discount to entire order,Giảm % cho toàn đơn hàng
Percentage discount to specific products,Giảm % cho sản phẩm cụ thể
Phone,Điện thoại
Pick a start time to schedule this rollout.,Chọn giờ bắt đầu để lên lịch triển khai này.
Pick a widget below to insert as a child.,Chọn tiện ích bên dưới để chèn làm con.
Pick up where you left off — ${count} pending changes,Tiếp tục từ chỗ đã dừng — ${count} thay đổi chờ xử lý
Pick up where you left off — 1 pending change,Tiếp tục từ chỗ đã dừng — 1 thay đổi chờ xử lý
Pin drawer open,Ghim ngăn kéo mở
Pin — keep drawer open across canvas clicks,Ghim — giữ ngăn kéo mở khi nhấp vào khung
Placed on: ${routes},Đặt trên: ${routes}
Placements,Vị trí đặt
Postal Code,Mã bưu chính
"Postcode (e.g., ""90210""). Empty for all postcodes.","Mã bưu chính (vd: ""90210""). Để trống cho tất cả."
Preselected for new products. Exactly one package is the default.,Chọn sẵn cho sản phẩm mới. Đúng một gói là mặc định.
Preview,Xem trước
Price-based tiers,Bậc theo giá
Priority,Ưu tiên
Priority is required,Ưu tiên là bắt buộc
Product Name,Tên sản phẩm
Product Status,Trạng thái sản phẩm
Product created successfully,Đã tạo sản phẩm thành công
Product updated successfully,Đã cập nhật sản phẩm thành công
Products (${count}),Sản phẩm (${count})
Promotion,Khuyến mãi
Proportional allocation based on cart items,Phân bổ tỷ lệ theo mục trong giỏ
Provide the SEO details for the CMS page.,Cung cấp chi tiết SEO cho trang CMS.
Provide the basic information for the CMS page.,Cung cấp thông tin cơ bản cho trang CMS.
Provider,Nhà cung cấp
Province Restrictions,Giới hạn tỉnh/thành
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Mã tỉnh (vd: ""CA""). Dùng ""*"" cho tất cả tỉnh."
Provinces,Tỉnh/thành
Provinces is required,Tỉnh/thành là bắt buộc
Provinces:,Tỉnh/thành:
Publish failed,Xuất bản thất bại
Publish now,Xuất bản ngay
Publish to the live storefront,Xuất bản lên cửa hàng trực tiếp
Publishable Key,Khóa công khai
Publishing…,Đang xuất bản…
Qty is required,SL là bắt buộc
Quick links,Liên kết nhanh
Rate,Mức
Rate added,Đã thêm mức
Rate is required,Mức là bắt buộc
Rate removed,Đã bỏ mức
Rate status,Trạng thái mức
Rate updated,Đã cập nhật mức
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Làm lại (⇧⌘Z) — áp lại sửa đổi vừa hoàn tác trên trang này
Redo last undone change on this page,Làm lại thay đổi vừa hoàn tác trên trang này
Reference,Tham chiếu
Refund,Hoàn tiền
Refund amount,Số tiền hoàn
Remove Zone,Bỏ khu vực
Remove placement,Bỏ vị trí đặt
Remove rate,Bỏ mức
Remove this rate?,Bỏ mức này?
Removed,Đã bỏ
Resize settings drawer,Đổi cỡ ngăn cài đặt
"Results for ""${keyword}""","Kết quả cho ""${keyword}"""
Revert all pages to saved state,Hoàn nguyên mọi trang về trạng thái đã lưu
Revert everything,Hoàn nguyên tất cả
Revert this page,Hoàn nguyên trang này
Revert this page only,Chỉ hoàn nguyên trang này
Revert to saved state?,Hoàn nguyên về trạng thái đã lưu?
Reverting…,Đang hoàn nguyên…
Rich text,Văn bản định dạng
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Hoàn tác các thay đổi bạn đã thực hiện kể từ lần lưu triển khai gần nhất. Cửa hàng trực tiếp không bị ảnh hưởng — nó đã phản ánh trạng thái đã lưu.
SEO,SEO
SEO Information,Thông tin SEO
SKU is required,SKU là bắt buộc
Sale,Bán hàng
Sandbox,Sandbox
Save Settings,Lưu cài đặt
Save as rollout plan,Lưu thành kế hoạch triển khai
Save as rollout plan and leave,Lưu thành kế hoạch triển khai và rời đi
Save changes,Lưu thay đổi
Save failed,Lưu thất bại
Save method,Lưu phương thức
Save rate,Lưu mức
Saving…,Đang lưu…
Schedule failed,Lên lịch thất bại
Scheduled,Đã lên lịch
Search engine optimize,Tối ưu công cụ tìm kiếm
Search widgets,Tìm tiện ích
Secret Key,Khóa bí mật
Select Category,Chọn danh mục
Select Parent Category,Chọn danh mục cha
Select Products by SKU,Chọn sản phẩm theo SKU
Select a provider first,Chọn nhà cung cấp trước
Select a provider…,Chọn nhà cung cấp…
Select an option,Chọn một mục
Select category,Chọn danh mục
Select countries,Chọn quốc gia
Select operator,Chọn toán tử
Select options,Chọn mục
Select page,Chọn trang
Select products to add to this collection.,Chọn sản phẩm để thêm vào bộ sưu tập này.
Select the list of attribute,Chọn danh sách thuộc tính
Select this option if the product is a digital product or service that does not require shipping.,Chọn mục này nếu sản phẩm là sản phẩm số hoặc dịch vụ không cần giao hàng.
Set a start time to schedule.,Đặt thời gian bắt đầu để lên lịch.
Set the status and visibility of the product.,Đặt trạng thái và hiển thị của sản phẩm.
Share,Chia sẻ
Shipping Cost,Phí giao hàng
Shipping Providers,Nhà cung cấp giao hàng
Shipping address,Địa chỉ giao hàng
Shipping cost is required,Phí giao hàng là bắt buộc
Shipping provider setting saved,Đã lưu cài đặt nhà cung cấp giao hàng
Shipping tax class,Lớp thuế giao hàng
Short text,Văn bản ngắn
Show global areas,Hiện vùng toàn cục
Show on routes,Hiện trên các route
Show products?,Hiện sản phẩm?
Show this widget on every page,Hiện tiện ích này trên mọi trang
Size (L × W × H),Kích thước (D × R × C)
Sort,Sắp xếp
Sort order is required,Thứ tự sắp xếp là bắt buộc
Sort order must be a positive number,Thứ tự sắp xếp phải là số dương
Start,Bắt đầu
Start a page-builder session,Bắt đầu phiên trình tạo trang
Start date,Ngày bắt đầu
Start new changeset,Bắt đầu tập thay đổi mới
Start time is invalid.,Thời gian bắt đầu không hợp lệ.
State Date,Ngày bắt đầu
Status is required,Trạng thái là bắt buộc
Stay,Ở lại
Stay on this page,Ở lại trang này
Stock Availability,Tình trạng tồn kho
Stop highlighting global areas,Ngừng làm nổi vùng toàn cục
Store Address,Địa chỉ cửa hàng
Store Description,Mô tả cửa hàng
Store Email,Email cửa hàng
Store Name,Tên cửa hàng
Store Phone Number,Số điện thoại cửa hàng
Store Setting,Cài đặt cửa hàng
Store Settings,Cài đặt cửa hàng
Store address,Địa chỉ cửa hàng
Storefront,Cửa hàng
Stripe Payment,Thanh toán Stripe
Tablet,Máy tính bảng
Take our survey,Làm khảo sát
Target Products,Sản phẩm mục tiêu
Tax Class,Lớp thuế
Tax calculation configuration,Cấu hình tính thuế
Tax class name,Tên lớp thuế
Tax class name is required,Tên lớp thuế là bắt buộc
Tax classes,Lớp thuế
Tax rate has been saved successfully!,Đã lưu mức thuế thành công!
Tax setting has been saved successfully!,Đã lưu cài đặt thuế thành công!
The box or envelope this product ships in. Applies to all variants of this product.,Hộp hoặc bao thư dùng để gửi sản phẩm này. Áp dụng cho mọi biến thể của sản phẩm này.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Các hộp và bao thư bạn dùng để gửi hàng. Mọi sản phẩm cần giao đều tham chiếu một gói — kích thước và cân nặng rỗng của nó quyết định báo giá và nhãn giao hàng.
The conditions related to the customer for the coupon to be applied.,Các điều kiện liên quan đến khách hàng để áp dụng mã giảm giá.
The conditions related to the order for the coupon to be applied.,Các điều kiện liên quan đến đơn hàng để áp dụng mã giảm giá.
The default package cannot be deleted,Không thể xóa gói mặc định
The draft holds ${count} saved changes you can publish later.,Bản nháp giữ ${count} thay đổi đã lưu mà bạn có thể đăng sau.
The draft holds 1 saved change you can publish later.,Bản nháp giữ 1 thay đổi đã lưu mà bạn có thể đăng sau.
The draft is deleted.,Bản nháp đã bị xóa.
The draft itself is deleted.,Chính bản nháp đã bị xóa.
The general information about the coupon.,Thông tin chung về mã giảm giá.
"The language of the admin panel, independent of the storefront.","Ngôn ngữ của bảng quản trị, độc lập với cửa hàng."
The method will no longer apply to this zone.,Phương thức sẽ không còn áp dụng cho khu vực này.
The minimum quantity of items required in the order to qualify for this coupon.,Số lượng mục tối thiểu cần có trong đơn để đủ điều kiện dùng mã này.
The minimum total amount required for the order to qualify for this coupon.,Tổng tiền tối thiểu cần có để đơn đủ điều kiện dùng mã này.
The rollout plan,Kế hoạch triển khai
The storefront's primary language. Pages in this language have no URL prefix.,Ngôn ngữ chính của cửa hàng. Trang dùng ngôn ngữ này không có tiền tố URL.
The type of discount applied by the coupon.,Loại giảm giá mà mã áp dụng.
The zone this rate applies to.,Khu vực mà mức này áp dụng.
"There is no ""Select"" attribute available.","Không có thuộc tính ""Select"" nào khả dụng."
There is no attribute to display,Không có thuộc tính để hiển thị
There is no category to display,Không có danh mục để hiển thị
There is no collections to display,Không có bộ sưu tập để hiển thị
There is no coupon to display,Không có mã giảm giá để hiển thị
There is no customer to display,Không có khách hàng để hiển thị
There is no order to display,Không có đơn hàng để hiển thị
There is no page to display,Không có trang để hiển thị
There is no widget to display,Không có tiện ích để hiển thị
There was an error fetching attribute groups.,Lỗi khi tải nhóm thuộc tính.
There was an error fetching categories.,Lỗi khi tải danh mục.
There was an error fetching collections.,Lỗi khi tải bộ sưu tập.
There was an error fetching file browser APIs.,Lỗi khi tải API trình duyệt tệp.
There was an error fetching products.,Lỗi khi tải sản phẩm.
This cannot be undone. Packages still assigned to products can't be removed.,Không thể hoàn tác. Gói vẫn gán cho sản phẩm thì không thể xóa.
This changeset has no operations yet.,Bộ thay đổi này chưa có thao tác nào.
This field is required,Trường này là bắt buộc
This is the URL path for the CMS page.,Đây là đường dẫn URL cho trang CMS.
This is the address used to calculate tax rates.,Đây là địa chỉ dùng để tính mức thuế.
This is the meta title for the CMS page.,Đây là meta title cho trang CMS.
This is the name of the CMS page that will be displayed in the admin panel.,Đây là tên trang CMS hiển thị trong bảng quản trị.
This is the tax class applied to shipping costs.,Đây là lớp thuế áp dụng cho phí giao hàng.
This product has some variants like color or size?,Sản phẩm này có biến thể như màu hay kích cỡ không?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Nhà cung cấp này không có cấu hình theo khu vực. Phương thức và mức theo khu vực được quản lý trong khu vực quản trị riêng của nhà cung cấp.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Thao tác này xóa khu vực cùng các nhà cung cấp gắn kèm và mức của nó. Không thể hoàn tác.
This route has unpublished changes in your draft,Tuyến này có thay đổi chưa đăng trong bản nháp của bạn
This will be saved as a pending change you can publish or discard.,Việc này sẽ được lưu thành thay đổi chờ mà bạn có thể đăng hoặc bỏ.
Tiered,Theo bậc
Type is required,Loại là bắt buộc
URL Key,Đường dẫn URL
URL Key is required,URL Key là bắt buộc
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","URL Key phải viết thường và chỉ chứa chữ, số và dấu gạch ngang"
URL key,Đường dẫn URL
URL key is required,URL key là bắt buộc
URL key must be lowercase and can only contain alphanumeric characters and hyphens,URL key phải viết thường và chỉ chứa chữ số và dấu gạch ngang
Unassign,Bỏ gán
Undo (⌘Z) — undoes your last edit on this page,Hoàn tác (⌘Z) — hoàn tác chỉnh sửa cuối trên trang này
Undo / Redo,Hoàn tác / Làm lại
Undo last change on this page,Hoàn tác thay đổi cuối trên trang này
Unknown,Không rõ
Unlink,Bỏ liên kết
Unpin drawer,Bỏ ghim ngăn
Unpin — drawer will close when you click empty canvas,Bỏ ghim — ngăn sẽ đóng khi bạn nhấp vùng canvas trống
Unpublished changes,Thay đổi chưa đăng
Unsaved changes,Thay đổi chưa lưu
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Cập nhật tên và khung thời gian hoạt động cho kế hoạch triển khai này. Chỉnh sửa nội dung được quản lý riêng trong trình soạn thảo.
Update the variant details and attributes here.,Cập nhật chi tiết và thuộc tính biến thể tại đây.
Updated,Đã cập nhật
Upload an image for the category.,Tải lên hình ảnh cho danh mục.
Used Times,Số lần dùng
