Welcome Back!,Добро дошли назад!
Collection code must be alphanumeric and can include underscores or dashes.,Код колекције мора бити алфанумерички и може садржати доње црте или цртице.
Collection created successfully!,Колекција је успешно креирана!
Color,Боја
Commerce,Трговина
Compound,Сложено
Condition,Услов
Configure,Подеси
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Подесите трошак и услове по зони. Зоне без тарифе не нуде овај начин.
Configure rate,Подеси тарифу
Configure the available payment methods,Подесите доступне начине плаћања
Configure the settings for the ${name} widget.,Подесите подешавања за виџет ${name}.
Configure the tax classes that will be available to your customers at checkout.,Подесите пореске класе које ће бити доступне вашим купцима при наплати.
Configure your Cash On Delivery payment gateway settings,Подесите подешавања мрежног пролаза за плаћање поузећем
Configure your Paypal payment gateway settings,Подесите подешавања Paypal мрежног пролаза за плаћање
Configure your Stripe payment gateway settings,Подесите подешавања Stripe мрежног пролаза за плаћање
Configure your store information,Подесите информације о продавници
"Conflicts with ${plan1}, ${plan2}","У сукобу са ${plan1}, ${plan2}"
Conflicts with ${plan},У сукобу са ${plan}
Conflicts with ${plan} +${count},У сукобу са ${plan} +${count}
Conflicts with:,У сукобу са:
Content,Садржај
Continue a saved rollout plan,Настави сачувани план објаве
Continue your draft,Настави нацрт
Core Shipping,Core испорука
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core још није додат ниједној зони. Прво га додајте под Подешавања → Испорука.
Cost,Трошак
Cost is required,Трошак је обавезан
Could not start fresh,Није могуће почети изнова
Countries,Државе
"Country code (e.g., ""US""). Use ""*"" for all countries.","Код државе (нпр. ""US""). Користите ""*"" за све државе."
Coupon Code,Код купона
"Coupon code can only contain letters, numbers, underscores, and hyphens","Код купона може садржати само слова, бројеве, доње црте и цртице"
Coupon created successfully!,Купон је успешно креиран!
Coupons,Купони
Create A New Customer,Креирај новог купца
Create New Package,Креирај нови пакет
Create New Tax Class,Креирај нову пореску класу
Create New Zone,Креирај нову зону
Create a new category,Креирај нову категорију
Create a new collection,Креирај нову колекцију
Create a new coupon,Креирај нови купон
Create a new page,Креирај нову страницу
Create a new product,Креирај нови производ
Create a new variant for this product.,Креирај нову варијанту за овај производ.
Create a new widget,Креирај нови виџет
Create a variant group,Креирај групу варијанти
Create method,Креирај начин
Create new tax class,Креирај нову пореску класу
Create rollout plan,Креирај план објаве
Created At,Креирано
Current,Тренутно
Customer,Купац
Customer Email,Имејл купца
Customer conditions,Услови купца
Customer emails,Имејлови купаца
Customer groups,Групе купаца
Customer's purchase,Куповина купца
Customers,Купци
Customers (${count}),Купци (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Купци у зони ${zone} више неће видети начине провајдера ${name} при наплати. Можете га поново додати касније.
Dashboard,Контролна табла
Date,Датум
Decrease,Смањи
Default carrier,Подразумевани превозник
Default language,Подразумевани језик
Default package,Подразумевани пакет
Default service code,Подразумевани код услуге
"Delete ""${name}""?","Избрисати ""${name}""?"
Delete ${count} attributes,Избриши ${count} атрибута
Delete ${count} categories,Избриши ${count} категорија
Delete ${count} collections,Избриши ${count} колекција
Delete ${count} pages,Избриши ${count} страница
Delete ${count} widgets,Избриши ${count} виџета
Delete container widget?,Избрисати виџет контејнера?
Delete image,Избриши слику
"Delete package ""${name}""?","Избрисати пакет ""${name}""?"
Delete this,Избриши ово
Delete this widget? This will be saved as a pending change you can publish or discard.,Избрисати овај виџет? Ово ће бити сачувано као измена на чекању коју можете објавити или одбацити.
Delete widget?,Избрисати виџет?
Delete zone,Избриши зону
"Delete zone ""${name}""?","Избрисати зону ""${name}""?"
Deleted ${name},Избрисано ${name}
Deleting this,Брисање овог
Deleting this container will also hide,Брисање овог контејнера ће такође сакрити
Description is required,Опис је обавезан
Desktop,Десктоп
Detach,Откачи
Detach ${name}?,Откачити ${name}?
Disable ${count} pages,Онемогући ${count} страница
Disable ${count} widgets,Онемогући ${count} виџета
Disabled products will not be visible in the store and cannot be purchased.,Онемогућени производи неће бити видљиви у продавници и не могу се купити.
Discard changes on this page only,Одбаци измене само на овој страници
Discard everything,Одбаци све
Discard everything in this draft,Одбаци све у овом нацрту
Discard failed,Одбацивање није успело
Discard pending changes?,Одбацити измене на чекању?
Discard this page,Одбаци ову страницу
Discarding…,Одбацивање…
Discount Type,Тип попуста
Discount amount,Износ попуста
Discount amount is required,Износ попуста је обавезан
Discount type is required,Тип попуста је обавезан
Dislay Name,Приказно име
Display Name,Приказно име
Draft,Нацрт
Draft — not scheduled,Нацрт — није заказан
Drag to resize,Превуците за промену величине
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Сваки ред поставља овај виџет на једну страницу, у једну област, са сопственим редоследом. Мањи бројеви се приказују први."
Edit ${name},Уреди ${name}
Edit Shipping Zone,Уреди зону испоруке
Edit Tax Rate,Уреди пореску стопу
Edit Variant,Уреди варијанту
Edit Zone,Уреди зону
Edit against the live storefront. Publish immediately or save as a rollout plan.,Уређујте у односу на активну продавницу. Објавите одмах или сачувајте као план објаве.
Edit rollout schedule,Уреди распоред објаве
Editable routes,Руте које се могу уређивати
Editing ${coupon},Уређивање ${coupon}
Editing ${fullName},Уређивање ${fullName}
Editing widget ${name},Уређивање виџета ${name}
Edits to a shared widget update every route it appears on.,Измене дељеног виџета ажурирају сваку руту на којој се појављује.
Empty package weight,Тежина празног пакета
Empty weight,Празна тежина
Enable ${count} pages,Омогући ${count} страница
Enable ${count} widgets,Омогући ${count} виџета
Enable this page to make it visible on the frontend.,Омогућите ову страницу да би била видљива на сајту.
Enable?,Омогућити?
End,Крај
End Date,Датум завршетка
End date,Датум завршетка
End time is invalid.,Време завршетка је неисправно.
End time must be after start time.,Време завршетка мора бити после времена почетка.
Enter Category Name,Унесите назив категорије
Enter Collection Name,Унесите назив колекције
Enter Meta Description,Унесите Meta опис
Enter Meta Title,Унесите Meta наслов
Enter Meta description,Унесите Meta опис
Enter Meta title,Унесите Meta наслов
Enter SKU,Унесите SKU
Enter URL Key,Унесите URL кључ
Enter URL key,Унесите URL кључ
Enter customer emails,Унесите имејлове купаца
Enter description,Унесите опис
Enter group name,Унесите назив групе
Enter meta description,Унесите Meta опис
Enter meta title,Унесите Meta наслов
Enter page name,Унесите назив странице
Enter price,Унесите цену
Enter product name,Унесите назив производа
Enter purchased amount,Унесите купљени износ
Enter quantity,Унесите количину
Enter tax class name,Унесите назив пореске класе
Enter the quantity,Унесите количину
Enter weight,Унесите тежину
Environment,Окружење
Error loading countries,Грешка при учитавању држава
Error loading methods,Грешка при учитавању метода
Error loading packages,Грешка при учитавању пакета
Error loading providers,Грешка при учитавању провајдера
Error loading zones,Грешка при учитавању зона
EverShop · Back to page builder,EverShop · Назад на градитељ страница
Every page rolls back to the rollout’s saved state.,Свака страница се враћа на сачувано стање објаве.
Every page rolls back to what the rollout had saved.,Свака страница се враћа на оно што је објава сачувала.
Existing rollout plan: ${plan},Постојећи план објаве: ${plan}
Expand,Прошири
Expand left rail,Прошири леву траку
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Додатни језици на које купци могу да пређу, поред подразумеваног. Подразумевани језик је увек доступан — њега не додајете овде."
Failed to attach provider,Качење провајдера није успело
Failed to delete ${name},Брисање ${name} није успело
Failed to detach ${name},Откачивање ${name} није успело
Failed to remove rate,Уклањање стопе није успело
Failed to remove zone,Уклањање зоне није успело
Failed to save change,Чување измене није успело
Failed to save rate,Чување стопе није успело
Failed to save zone,Чување зоне није успело
Failed to update rollout schedule,Ажурирање распореда објаве није успело
Fixed discount to entire order,Фиксни попуст на целу поруџбину
Fixed discount to specific products,Фиксни попуст на одређене производе
Flat rate,Фиксна тарифа
"Flat rate in cart currency, tax-exclusive.","Фиксна тарифа у валути корпе, без пореза."
Free shipping?,Бесплатна испорука?
General Information,Опште информације
Give Feedback,Оставите повратну информацију
Global,Глобално
Globals,Глобални елементи
Group,Група
Group Name,Назив групе
Group name is required,Назив групе је обавезан
Groups,Групе
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Полуотворени интервал — корпа тачно на Max је искључена (Min следећег нивоа поседује ту тачку).
Has conflicts,Има конфликте
Heads up — ,Напомена — 
Height,Висина
Height is required (0 for envelopes),Висина је обавезна (0 за коверте)
Height must be 0 or greater,Висина мора бити 0 или већа
Hide global areas,Сакриј глобалне области
Higest tax rate based on cart items,Највиша пореска стопа на основу ставки у корпи
Highlight global areas on canvas,Истакни глобалне области на платну
Image,Слика
Include In Menu,Укључи у мени
Include in Store Menu?,Укључити у мени продавнице?
Increase,Повећај
Insert image,Уметни слику
Integer,Цео број
Invalid folder name,Неисправан назив фасцикле
Invalid start,Неисправан почетак
Invalid window,Неисправан временски опсег
Inventory,Залихе
Is compound,Сложен
Its rates will be removed too. This cannot be undone.,И њене стопе ће бити уклоњене. Ово се не може опозвати.
Languages,Језици
Layers,Слојеви
Layout,Распоред
Leave,Напусти
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Оставите листу државе празном да бисте покрили целу државу. Додајте покрајине да бисте ограничили испоруку на одређене регионе.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Напуштање сада може одбацити најновије измене које још нису стигле до сервера.
Length,Дужина
Length is required,Дужина је обавезна
Length must be greater than 0,Дужина мора бити већа од 0
Live,Уживо
Loading...,Учитавање...
Long text,Дугачак текст
Lower values appear first.,Мање вредности се приказују прве.
Manage Stock,Управљај залихама
Manage general information about the collection.,Управљајте општим информацијама о колекцији.
Manage product images and gallery. Drag and drop to reorder images.,Управљајте сликама и галеријом производа. Превуците и пустите да промените редослед слика.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Управљајте интеграцијама испоруке и њиховим методама (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Управљајте пореским класама и пореским стопама за различите регионе.
Manage the SEO settings of the category.,Управљајте SEO подешавањима категорије.
Manage the SEO settings.,Управљајте SEO подешавањима.
Manage the attributes.,Управљајте атрибутима.
Manage the collections associated with this product.,Управљајте колекцијама повезаним са овим производом.
Manage the general information of the category.,Управљајте општим информацијама о категорији.
Manage the general information of the product.,Управљајте општим информацијама о производу.
Manage the inventory settings of the product.,Управљајте подешавањима залиха производа.
Manage the products assigned to this category.,Upravljajte proizvodima dodeljenim ovoj kategoriji.
Manage the products assigned to this collection.,Upravljajte proizvodima dodeljenim ovoj kolekciji.
Manage the shipping settings of the product.,Upravljajte podešavanjima dostave proizvoda.
Manage the status settings of the category.,Upravljajte podešavanjima statusa kategorije.
Manage the variant group of the product.,Upravljajte grupom varijanti proizvoda.
Marketing,Marketing
Max ${unit},Maks ${unit}
Max is required,Maksimum je obavezan
Maximum,Maksimum
Maximum amount is ${value} ${currency},Maksimalni iznos je ${value} ${currency}
Maximum quantity is required,Maksimalna količina je obavezna
Maximum quantity must be greater than or equal to 0,Maksimalna količina mora biti veća ili jednaka 0
Media,Medija
Meta Description,Meta opis
Meta Title,Meta naslov
Meta Title is required,Meta naslov je obavezan
Meta description,Meta opis
Meta description is required,Meta opis je obavezan
Meta title,Meta naslov
Meta title is required,Meta naslov je obavezan
Method,Metoda
Method created,Metoda je kreirana
Method name,Naziv metode
Method name is required,Naziv metode je obavezan
Method updated,Metoda je ažurirana
Methods →,Metode →
Min ${unit},Min ${unit}
Min Price,Min cena
Min Weight,Min težina
Min is required,Minimum je obavezan
Min price is required,Min cena je obavezna
Min weight is required,Min težina je obavezna
Minimum purchase amount,Minimalni iznos kupovine
Minimum purchase qty,Min količina kupovine
Minimum purchase quantity,Minimalna količina kupovine
Minimum purchased amount. This only applies to registered customers.,Minimalni iznos kupovine. Ovo se odnosi samo na registrovane kupce.
Minimum quantity is required,Minimalna količina je obavezna
Missing name,Nedostaje naziv
Money,Novac
Name is required.,Naziv je obavezan.
Navigation,Navigacija
New Attribute,Novi atribut
New Category,Nova kategorija
New Collection,Nova kolekcija
New Coupon,Novi kupon
New Page,Nova stranica
New Variant,Nova varijanta
New coupon,Novi kupon
New rate,Nova tarifa
No collections,Nema kolekcija
No editable routes.,Nema putanja koje se mogu uređivati.
No file selected,Nijedan fajl nije izabran
No methods yet — add one to start offering Core shipping.,Još uvek nema metoda — dodajte jednu da biste počeli da nudite Core dostavu.
No packages yet. Create one — shippable products require a package.,Još uvek nema paketa. Kreirajte jedan — proizvodi za dostavu zahtevaju paket.
No product to display.,Nema proizvoda za prikaz.
"No providers attached. Click ""Attach Provider"" to add one.",Nijedan provajder nije priložen. Kliknite „Priloži provajdera“ da biste ga dodali.
"No rates yet — click ""Add Rate"" to offer this method in a zone.",Još uvek nema tarifa — kliknite „Dodaj tarifu“ da biste ponudili ovu metodu u zoni.
"No results for ""${keyword}""",Nema rezultata za „${keyword}“
No routes have opted into page-builder editing yet.,Nijedna putanja se još nije uključila u uređivanje pomoću alata za izradu stranica.
No shipping required?,Dostava nije potrebna?
No subdivisions available — whole country is covered.,Nema dostupnih podregiona — cela država je pokrivena.
No widgets available.,Nema dostupnih vidžeta.
"No widgets match ""${query}"".",Nijedan vidžet ne odgovara „${query}“.
No widgets on this route yet.,Još uvek nema vidžeta na ovoj putanji.
No zones,Nema zona
No zones found,Nije pronađena nijedna zona
Not visible individually,Nije vidljivo pojedinačno
Nothing to publish,Nema ničega za objavljivanje
Nothing to redo on this page,Nema ničega za ponavljanje na ovoj stranici
Nothing to undo on this page,Nema ničega za poništavanje na ovoj stranici
Number,Broj
Option text is required,Tekst opcije je obavezan
Optional. Added to the shipping weight for quotes and labels.,Opciono. Dodaje se težini za dostavu radi ponuda i nalepnica.
Order Number,Broj porudžbine
Order conditions,Uslovi porudžbine
Orders (${count}),Porudžbine (${count})
Other,Ostalo
Other pages keep their pending changes.,Ostale stranice zadržavaju svoje neobjavljene izmene.
Overlaps with existing rollout: ${plans}.,Preklapa se sa postojećim uvođenjem: ${plans}.
Overlaps with existing rollouts: ${plans}.,Preklapa se sa postojećim uvođenjima: ${plans}.
Package,Paket
Package created,Paket je kreiran
Package deleted,Paket je obrisan
Package saved,Paket je sačuvan
Packages,Paketi
Page Name,Naziv stranice
Page Not Found,Stranica nije pronađena
Page builder,Alat za izradu stranica
Page builder canvas,Platno alata za izradu stranica
Page created successfully!,Stranica je uspešno kreirana!
Page is required,Stranica je obavezna
Page name is required,Naziv stranice je obavezan
Pages,Stranice
Parent category,Nadređena kategorija
Payment Setting,Podešavanje plaćanja
Payment mode,Režim plaćanja
Payment setting saved,Podešavanje plaćanja je sačuvano
Paypal Payment,Paypal plaćanje
Pending start time,Vreme početka na čekanju
Percentage discount to entire order,Procentualni popust na celu porudžbinu
Percentage discount to specific products,Procentualni popust na određene proizvode
Phone,Telefon
Pick a start time to schedule this rollout.,Izaberite vreme početka da biste zakazali ovo uvođenje.
Pick a widget below to insert as a child.,Izaberite vidžet ispod da biste ga umetnuli kao podstavku.
Pick up where you left off — ${count} pending changes,Nastavite gde ste stali — ${count} neobjavljenih izmena
Pick up where you left off — 1 pending change,Nastavite gde ste stali — 1 neobjavljena izmena
Pin drawer open,Zakači fioku kao otvorenu
Pin — keep drawer open across canvas clicks,Zakači — drži fioku otvorenu pri klikovima na platno
Placed on: ${routes},Postavljeno na: ${routes}
Placements,Postavljanja
Postal Code,Poštanski broj
"Postcode (e.g., ""90210""). Empty for all postcodes.",Poštanski broj (npr. „90210“). Prazno za sve poštanske brojeve.
Preselected for new products. Exactly one package is the default.,Unapred izabrano za nove proizvode. Tačno jedan paket je podrazumevani.
Preview,Pregled
Price-based tiers,Nivoi na osnovu cene
Priority,Prioritet
Priority is required,Prioritet je obavezan
Product Name,Naziv proizvoda
Product Status,Status proizvoda
Product created successfully,Proizvod je uspešno kreiran
Product updated successfully,Proizvod je uspešno ažuriran
Products (${count}),Proizvodi (${count})
Promotion,Promocija
Proportional allocation based on cart items,Proporcionalna raspodela na osnovu stavki u korpi
Provide the SEO details for the CMS page.,Unesite SEO detalje za CMS stranicu.
Provide the basic information for the CMS page.,Unesite osnovne informacije za CMS stranicu.
Provider,Provajder
Province Restrictions,Ograničenja pokrajina
"Province code (e.g., ""CA""). Use ""*"" for all provinces.",Šifra pokrajine (npr. „CA“). Koristite „*“ za sve pokrajine.
Provinces,Pokrajine
Provinces is required,Pokrajine su obavezne
Provinces:,Pokrajine:
Publish failed,Objavljivanje nije uspelo
Publish now,Objavi sada
Publish to the live storefront,Objavi na aktivnu prodavnicu
Publishable Key,Ključ za objavljivanje
Publishing…,Objavljivanje…
Qty is required,Količina je obavezna
Quick links,Brze veze
Rate,Tarifa
Rate added,Tarifa je dodata
Rate is required,Tarifa je obavezna
Rate removed,Tarifa je uklonjena
Rate status,Status tarife
Rate updated,Tarifa je ažurirana
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Ponovi (⇧⌘Z) — ponovo primenjuje poslednju poništenu izmenu na ovoj stranici
Redo last undone change on this page,Ponovi poslednju poništenu izmenu na ovoj stranici
Reference,Referenca
Refund,Povraćaj sredstava
Refund amount,Iznos povraćaja
Remove Zone,Ukloni zonu
Remove placement,Ukloni postavku
Remove rate,Ukloni tarifu
Remove this rate?,Ukloniti ovu tarifu?
Removed,Uklonjeno
Resize settings drawer,Promeni veličinu panela podešavanja
"Results for ""${keyword}""","Rezultati za ""${keyword}"""
Revert all pages to saved state,Vrati sve stranice na sačuvano stanje
Revert everything,Vrati sve
Revert this page,Vrati ovu stranicu
Revert this page only,Vrati samo ovu stranicu
Revert to saved state?,Vratiti na sačuvano stanje?
Reverting…,Vraćanje…
Rich text,Obogaćeni tekst
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Poništite izmene koje ste načinili otkako je ovaj plan objave poslednji put sačuvan. Aktivna prodavnica nije pogođena — već odražava sačuvano stanje.
SEO,SEO
SEO Information,SEO informacije
SKU is required,SKU je obavezan
Sale,Rasprodaja
Sandbox,Sandbox
Save Settings,Sačuvaj podešavanja
Save as rollout plan,Sačuvaj kao plan objave
Save as rollout plan and leave,Sačuvaj kao plan objave i izađi
Save changes,Sačuvaj izmene
Save failed,Čuvanje nije uspelo
Save method,Sačuvaj metodu
Save rate,Sačuvaj tarifu
Saving…,Čuvanje…
Schedule failed,Zakazivanje nije uspelo
Scheduled,Zakazano
Search engine optimize,Optimizacija za pretraživače
Search widgets,Pretraži vidžete
Secret Key,Tajni ključ
Select Category,Izaberi kategoriju
Select Parent Category,Izaberi nadređenu kategoriju
Select Products by SKU,Izaberi proizvode po SKU
Select a provider first,Prvo izaberite provajdera
Select a provider…,Izaberite provajdera…
Select an option,Izaberite opciju
Select category,Izaberi kategoriju
Select countries,Izaberi zemlje
Select operator,Izaberi operator
Select options,Izaberi opcije
Select page,Izaberi stranicu
Select products to add to this collection.,Izaberite proizvode za dodavanje u ovu kolekciju.
Select the list of attribute,Izaberite listu atributa
Select this option if the product is a digital product or service that does not require shipping.,Izaberite ovu opciju ako je proizvod digitalni proizvod ili usluga koja ne zahteva isporuku.
Set a start time to schedule.,Postavite vreme početka za zakazivanje.
Set the status and visibility of the product.,Postavite status i vidljivost proizvoda.
Share,Podeli
Shipping Cost,Troškovi isporuke
Shipping Providers,Provajderi isporuke
Shipping address,Adresa isporuke
Shipping cost is required,Troškovi isporuke su obavezni
Shipping provider setting saved,Podešavanje provajdera isporuke je sačuvano
Shipping tax class,Poreska klasa isporuke
Short text,Kratak tekst
Show global areas,Prikaži globalne oblasti
Show on routes,Prikaži na rutama
Show products?,Prikazati proizvode?
Show this widget on every page,Prikaži ovaj vidžet na svakoj stranici
Size (L × W × H),Dimenzije (D × Š × V)
Sort,Sortiraj
Sort order is required,Redosled sortiranja je obavezan
Sort order must be a positive number,Redosled sortiranja mora biti pozitivan broj
Start,Početak
Start a page-builder session,Pokreni sesiju graditelja stranica
Start date,Datum početka
Start new changeset,Pokreni novi skup izmena
Start time is invalid.,Vreme početka nije ispravno.
State Date,Datum stanja
Status is required,Status je obavezan
Stay,Ostani
Stay on this page,Ostani na ovoj stranici
Stock Availability,Dostupnost zaliha
Stop highlighting global areas,Prestani da isticeš globalne oblasti
Store Address,Adresa prodavnice
Store Description,Opis prodavnice
Store Email,Email prodavnice
Store Name,Naziv prodavnice
Store Phone Number,Broj telefona prodavnice
Store Setting,Podešavanje prodavnice
Store Settings,Podešavanja prodavnice
Store address,Adresa prodavnice
Storefront,Prodavnica
Stripe Payment,Stripe plaćanje
Tablet,Tablet
Take our survey,Popunite našu anketu
Target Products,Ciljni proizvodi
Tax Class,Poreska klasa
Tax calculation configuration,Konfiguracija obračuna poreza
Tax class name,Naziv poreske klase
Tax class name is required,Naziv poreske klase je obavezan
Tax classes,Poreske klase
Tax rate has been saved successfully!,Poreska stopa je uspešno sačuvana!
Tax setting has been saved successfully!,Podešavanje poreza je uspešno sačuvano!
The box or envelope this product ships in. Applies to all variants of this product.,Kutija ili koverta u kojoj se ovaj proizvod isporučuje. Primenjuje se na sve varijante ovog proizvoda.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Kutije i koverte koje koristite za isporuku. Svaki proizvod koji se isporučuje referencira jednu — njene dimenzije i prazna težina određuju procene troškova i nalepnice za isporuku.
The conditions related to the customer for the coupon to be applied.,Uslovi vezani za kupca koji moraju biti ispunjeni da bi se kupon primenio.
The conditions related to the order for the coupon to be applied.,Uslovi vezani za porudžbinu koji moraju biti ispunjeni da bi se kupon primenio.
The default package cannot be deleted,Podrazumevani paket ne može biti obrisan
The draft holds ${count} saved changes you can publish later.,Nacrt sadrži ${count} sačuvanih izmena koje možete kasnije objaviti.
The draft holds 1 saved change you can publish later.,Nacrt sadrži 1 sačuvanu izmenu koju možete kasnije objaviti.
The draft is deleted.,Nacrt je obrisan.
The draft itself is deleted.,Sam nacrt je obrisan.
The general information about the coupon.,Opšte informacije o kuponu.
"The language of the admin panel, independent of the storefront.","Jezik administratorskog panela, nezavisan od prodavnice."
The method will no longer apply to this zone.,Metoda se više neće primenjivati na ovu zonu.
The minimum quantity of items required in the order to qualify for this coupon.,Minimalna količina artikala u porudžbini potrebna za primenu ovog kupona.
The minimum total amount required for the order to qualify for this coupon.,Minimalan ukupan iznos porudžbine potreban za primenu ovog kupona.
The rollout plan,Plan objave
The storefront's primary language. Pages in this language have no URL prefix.,Primarni jezik prodavnice. Stranice na ovom jeziku nemaju URL prefiks.
The type of discount applied by the coupon.,Vrsta popusta koji kupon primenjuje.
The zone this rate applies to.,Zona na koju se ova tarifa primenjuje.
"There is no ""Select"" attribute available.","Nema dostupnog ""Select"" atributa."
There is no attribute to display,Nema atributa za prikaz
There is no category to display,Nema kategorije za prikaz
There is no collections to display,Nema kolekcija za prikaz
There is no coupon to display,Nema kupona za prikaz
There is no customer to display,Nema kupca za prikaz
There is no order to display,Nema porudžbine za prikaz
There is no page to display,Nema stranice za prikaz
There is no widget to display,Nema vidžeta za prikaz
There was an error fetching attribute groups.,Došlo je do greške pri preuzimanju grupa atributa.
There was an error fetching categories.,Došlo je do greške pri preuzimanju kategorija.
There was an error fetching collections.,Došlo je do greške pri preuzimanju kolekcija.
There was an error fetching file browser APIs.,Došlo je do greške pri preuzimanju API-ja pregledača datoteka.
There was an error fetching products.,Došlo je do greške pri preuzimanju proizvoda.
This cannot be undone. Packages still assigned to products can't be removed.,Ovo se ne može poništiti. Paketi koji su još dodeljeni proizvodima ne mogu biti uklonjeni.
This changeset has no operations yet.,Ovaj skup izmena još nema operacija.
This field is required,Ovo polje je obavezno
This is the URL path for the CMS page.,Ovo je URL putanja za CMS stranicu.
This is the address used to calculate tax rates.,Ovo je adresa koja se koristi za obračun poreskih stopa.
This is the meta title for the CMS page.,Ovo je meta naslov za CMS stranicu.
This is the name of the CMS page that will be displayed in the admin panel.,Ovo je naziv CMS stranice koji će biti prikazan u administratorskom panelu.
This is the tax class applied to shipping costs.,Ovo je poreska klasa koja se primenjuje na troškove isporuke.
This product has some variants like color or size?,Da li ovaj proizvod ima varijante poput boje ili veličine?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Ovaj provajder nema konfiguraciju po zoni. Metodama i tarifama po zoni upravlja se u sopstvenom administratorskom delu provajdera.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Ovo uklanja zonu zajedno sa njenim priloženim provajderima i tarifama. Ovo se ne može poništiti.
This route has unpublished changes in your draft,Ova ruta ima neobjavljene izmene u vašem nacrtu
This will be saved as a pending change you can publish or discard.,Ovo će biti sačuvano kao izmena na čekanju koju možete objaviti ili odbaciti.
Tiered,Stepenasto
Type is required,Tip je obavezan
URL Key,URL ključ
URL Key is required,URL ključ je obavezan
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","URL ključ mora biti malim slovima i može sadržati samo slova, brojeve i crtice"
URL key,URL ključ
URL key is required,URL ključ je obavezan
URL key must be lowercase and can only contain alphanumeric characters and hyphens,URL ključ mora biti malim slovima i može sadržati samo alfanumeričke znakove i crtice
Unassign,Poništi dodelu
Undo (⌘Z) — undoes your last edit on this page,Опозови (⌘Z) — опозива вашу последњу измену на овој страници
Undo / Redo,Опозови / Понови
Undo last change on this page,Опозови последњу измену на овој страници
Unknown,Непознато
Unlink,Уклони везу
Unpin drawer,Откачи фиоку
Unpin — drawer will close when you click empty canvas,Откачи — фиока ће се затворити када кликнете на празно платно
Unpublished changes,Необјављене измене
Unsaved changes,Несачуване измене
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Ажурирајте назив и активни период за овај план објаве. Измене садржаја се управљају засебно у уређивачу.
Update the variant details and attributes here.,Овде ажурирајте детаље и атрибуте варијанте.
Updated,Ажурирано
Upload an image for the category.,Отпремите слику за категорију.
Used Times,Број употреба
Value is required,Вредност је обавезна
Variant Group,Група варијанти
Variant created successfully,Варијанта је успешно креирана
Variant updated successfully,Варијанта је успешно ажурирана
Version ${version},Верзија ${version}
Visibility,Видљивост
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,Видљивост одређује где се производ појављује у продавници. Не утиче на могућност продаје производа.
Visitors will see the new layout on their next page load.,Посетиоци ће видети нови распоред при следећем учитавању странице.
Webhook Secret Key,Тајни кључ веб-куке
Weight,Тежина
Weight must be 0 or greater,Тежина мора бити 0 или већа
Weight must be a positive number,Тежина мора бити позитиван број
Weight-based tiers,Нивои на основу тежине
Widget Settings,Подешавања виџета
Widget created successfully!,Виџет је успешно креиран!
Widgets,Виџети
Width,Ширина
Width is required,Ширина је обавезна
Width must be greater than 0,Ширина мора бити већа од 0
Will roll out automatically: ${range},Биће објављено аутоматски: ${range}
Working…,Ради се…
Worldwide,Широм света
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Имате ${count} измена у овом нацрту које још нису објављене.
You have ${count} changes still saving.,Имате ${count} измена које се још чувају.
You have 1 change in this draft that hasn’t been published yet.,Имате 1 измену у овом нацрту која још није објављена.
You have 1 change still saving.,Имате 1 измену која се још чува.
Your draft is safe on the server — you can come back and publish it any time.,Ваш нацрт је безбедан на серверу — можете се вратити и објавити га у било ком тренутку.
Your edits on other pages stay in the draft.,Ваше измене на другим страницама остају у нацрту.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,Ваша URL адреса веб-куке треба да буде: https://yourdomain.com/api/stripe/webhook
Zone,Зона
Zone Name,Назив зоне
Zone Rates,Тарифе зоне
Zone created,Зона је креирана
Zone is required,Зона је обавезна
Zone name is required,Назив зоне је обавезан
Zone removed,Зона је уклоњена
Zone updated,Зона је ажурирана
Zones served,Опслужене зоне
and ${count} more,и још ${count}
container will also hide,контејнер ће се такође сакрити
current page,тренутна страница
e.g. Small Box,нпр. Мала кутија
e.g. Summer Sale 2026,нпр. Летња распродаја 2026
e.g. content,нпр. садржај
"e.g., 10.00",нпр. 10.00
"e.g., EU, US-West","нпр. EU, US-West"
