Welcome Back!,Тавтай морилно уу!
${method} — new rate,${method} — шинэ тариф
${name} attached to ${zone},${name}-г ${zone}-д хавсаргалаа
${name} configuration for ${zone},${zone}-д зориулсан ${name} тохиргоо
${name} configuration for this zone,Энэ бүсэд зориулсан ${name} тохиргоо
${name} configuration saved for ${zone},${zone}-д зориулсан ${name} тохиргоо хадгалагдлаа
${name} detached,${name} салгагдлаа
${name} is required,${name} шаардлагатай
${title} settings,${title} тохиргоо
${total} changes will go live immediately.,${total} өөрчлөлт нэн даруй идэвхжинэ.
${total} items,${total} зүйл
(envelope),(дугтуй)
+ Add Line,+ Мөр нэмэх
+ Add Method,+ Арга нэмэх
+ Add Rate,+ Тариф нэмэх
+ Add placement,+ Байршил нэмэх
+ Attach Provider,+ Үйлчилгээ үзүүлэгч хавсаргах
+ New package,+ Шинэ багц
+${count} more,+${count} илүү
", +${count} more",", +${count} илүү"
", last updated",", сүүлд шинэчилсэн"
0 for flat envelopes,Хавтгай дугтуйнд 0
1 change published.,1 өөрчлөлт нийтлэгдлээ.
1 change will go live immediately.,1 өөрчлөлт нэн даруй идэвхжинэ.
1 child widget,1 дэд виджет
1 op total,нийт 1 үйлдэл
1 pending op,1 хүлээгдэж буй үйлдэл
1 pending op on,дараах дээрх 1 хүлээгдэж буй үйлдэл
A package is required for shippable products,Илгээх боломжтой бүтээгдэхүүнд багц шаардлагатай
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,"Нэвтрүүлэх төлөвлөгөө нь таны одоогийн засваруудыг агшин зураг болгон хадгалж, төлөвлөсөн хугацаанд автоматаар хэрэгжүүлдэг."
Action,Үйлдэл
Actions,Үйлдлүүд
Add,Нэмэх
Add Products,Бүтээгдэхүүн нэмэх
Add Rate,Тариф нэмэх
Add Shipping Method,Тээврийн арга нэмэх
Add Tax Rate,Татварын тариф нэмэх
Add Variant,Хувилбар нэмэх
Add products to this category by selecting them from the list below.,Доорх жагсаалтаас сонгож энэ ангилалд бүтээгдэхүүн нэмнэ үү.
Add rate,Тариф нэмэх
Added,Нэмэгдсэн
Adding to Column ${number},${number}-р багана руу нэмж байна
Additional languages,Нэмэлт хэлнүүд
Admin panel language,Удирдлагын самбарын хэл
Affects ${count} pages,${count} хуудсанд нөлөөлнө
Affects 1 page,1 хуудсанд нөлөөлнө
All pages,Бүх хуудас
All registered providers are already attached to this zone.,Бүх бүртгэлтэй нийлүүлэгчид энэ бүсэд аль хэдийн холбогдсон байна.
All routes,Бүх маршрут
Also shown on ${routes},Мөн ${routes} дээр харагдана
Also shown on ${routes} +${count},Мөн ${routes} +${count} дээр харагдана
Amount must be greater than or equal to 0,Дүн 0-ээс их буюу тэнцүү байх ёстой
Amount must be less than or equal to ${value} ${currency},Дүн ${value} ${currency}-ээс бага буюу тэнцүү байх ёстой
Apply a condition?,Нөхцөл хэрэглэх үү?
Area,Талбай
Area is required,Талбай шаардлагатай
At least one country is required,Дор хаяж нэг улс шаардлагатай
Attach,Холбох
Attach Provider to ${zone},Нийлүүлэгчийг ${zone}-д холбох
Attached Providers,Холбогдсон нийлүүлэгчид
Attribute Name,Шинж чанарын нэр
Attribute code is required,Шинж чанарын код шаардлагатай
Attribute created successfully!,Шинж чанар амжилттай үүсгэгдлээ!
Attribute group,Шинж чанарын бүлэг
Attribute name is required,Шинж чанарын нэр шаардлагатай
Authorize only,Зөвхөн зөвшөөрөх
Auto-saves while you edit,Засварлах үед автоматаар хадгална
Back To Dashboard,Хяналтын самбар руу буцах
Base calculation address,Тооцооллын суурь хаяг
Based on cart subtotal,Сагсны дэд нийлбэр дээр үндэслэн
Based on cart weight,Сагсны жин дээр үндэслэн
Basic configuration,Үндсэн тохиргоо
Boolean,Логик утга
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,"Бүс тус бүрийн тарифтай суурилуулсан хүргэлтийн аргууд. Эхлээд Тохиргоо → Хүргэлт хэсэгт Core-ыг бүсэд холбоно; дараа нь энд аргуудыг нэмж, бүс тус бүрийн тарифыг тохируулна."
Buy X get Y,X худалдаж аваад Y авах
CMS,CMS
Calculation type,Тооцооллын төрөл
Can not change the attribute group of a product that is already in a variant group.,Хувилбарын бүлэгт аль хэдийн орсон бүтээгдэхүүний шинж чанарын бүлгийг өөрчлөх боломжгүй.
Cancel rollout,Нэвтрүүлэлтийг цуцлах
Cancel rollout plan?,Нэвтрүүлэлтийн төлөвлөгөөг цуцлах уу?
Canvas device width,Зургийн талбайн төхөөрөмжийн өргөн
Capture,Барих
Capture Payment,Төлбөр барих
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Гүйцэтгэлд зориулсан тээвэрлэгчийн зөвлөмж — төлбөр төлөх үед хэзээ ч харагдахгүй. NewShipmentDialog үүнийг ашиглан тээвэрлэгчийг урьдчилан сонгоно.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,Шошго худалдан авах үед ашигладаг тээвэрлэгчид зориулсан үйлчилгээний код (CreateLabelInput.serviceCode). Чөлөөт хэлбэртэй — тээвэрлэгчийн API баримт бичигт яг токеныг шалгана уу. Тээвэрлэгчид өөрийн өгөгдмөл үйлчилгээг сонгуулахын тулд хоосон үлдээнэ үү.
Cash On Delivery Payment,Хүргэлтийн дараа төлбөр
"Catalog, Search","Каталог, Хайлт"
Category Image,Ангиллын зураг
Category Name,Ангиллын нэр
Category created successfully!,Ангилал амжилттай үүсгэгдлээ!
Category name is required,Ангиллын нэр шаардлагатай
Choose Attribute Groups,Шинж чанарын бүлгүүдийг сонгох
Choose Categories,Ангиллуудыг сонгох
Choose Collections,Цуглуулгуудыг сонгох
Choose SKUs,SKU-нуудыг сонгох
Choose how much of your unpublished work to discard. The published storefront is not affected.,Нийтлээгүй ажлынхаа хэр хэмжээг устгахаа сонгоно уу. Нийтэлсэн дэлгүүрт нөлөөлөхгүй.
Choose where you ship and how much you charge for shipping.,Хаашаа хүргэх болон хүргэлтэд хэдийг авахаа сонгоно уу.
Clear filter,Шүүлтүүр цэвэрлэх
Clear filters,Шүүлтүүрүүд цэвэрлэх
Client ID,Client ID
Client Secret,Client Secret
Close,Хаах
Close settings,Тохиргоог хаах
Close — continue draft,Хаах — ноорогийг үргэлжлүүлэх
Cms Pages,CMS хуудсууд
Collapse left rail,Зүүн самбарыг хураах
Collapse panel,Самбарыг хураах
Collection Code,Цуглуулгын код
Collection Name,Цуглуулгын нэр
Collection code is required,Цуглуулгын код шаардлагатай
Collection code must be alphanumeric and can include underscores or dashes.,Цуглуулгын код үсэг тоон байх ёстой бөгөөд доогуур зураас эсвэл зураас агуулж болно.
Collection created successfully!,Цуглуулга амжилттай үүсгэгдлээ!
Color,Өнгө
Commerce,Худалдаа
Compound,Нийлмэл
Condition,Нөхцөл
Configure,Тохируулах
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Бүс тус бүрийн зардал ба нөхцөлийг тохируулна. Тарифгүй бүсүүд энэ аргыг санал болгохгүй.
Configure rate,Тариф тохируулах
Configure the available payment methods,Боломжтой төлбөрийн аргуудыг тохируулах
Configure the settings for the ${name} widget.,${name} виджетийн тохиргоог тохируулах.
Configure the tax classes that will be available to your customers at checkout.,Үйлчлүүлэгчдэд төлбөр төлөх үед боломжтой байх татварын ангиллыг тохируулна уу.
Configure your Cash On Delivery payment gateway settings,Хүргэлтийн дараа төлбөрийн гарцын тохиргоог тохируулна уу
Configure your Paypal payment gateway settings,Paypal төлбөрийн гарцын тохиргоог тохируулна уу
Configure your Stripe payment gateway settings,Stripe төлбөрийн гарцын тохиргоог тохируулна уу
Configure your store information,Дэлгүүрийн мэдээллээ тохируулна уу
"Conflicts with ${plan1}, ${plan2}","${plan1}, ${plan2}-тэй зөрчилдөж байна"
Conflicts with ${plan},${plan}-тэй зөрчилдөж байна
Conflicts with ${plan} +${count},${plan} +${count}-тэй зөрчилдөж байна
Conflicts with:,Үүнтэй зөрчилдөж байна:
Content,Агуулга
Continue a saved rollout plan,Хадгалсан нэвтрүүлэлтийн төлөвлөгөөг үргэлжлүүлэх
Continue your draft,Ноорогоо үргэлжлүүлэх
Core Shipping,Core хүргэлт
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core хараахан ямар ч бүсэд холбогдоогүй байна. Эхлээд Тохиргоо → Хүргэлт хэсэгт холбоно уу.
Cost,Зардал
Cost is required,Зардал шаардлагатай
Could not start fresh,Шинээр эхлүүлж чадсангүй
Countries,Улсууд
"Country code (e.g., ""US""). Use ""*"" for all countries.","Улсын код (жишээ нь, ""US""). Бүх улсын хувьд ""*""-ыг ашиглана уу."
Coupon Code,Купоны код
"Coupon code can only contain letters, numbers, underscores, and hyphens","Купоны код зөвхөн үсэг, тоо, доогуур зураас, зураас агуулж болно"
Coupon created successfully!,Купон амжилттай үүсгэгдлээ!
Coupons,Купонууд
Create A New Customer,Шинэ үйлчлүүлэгч үүсгэх
Create New Package,Шинэ багц үүсгэх
Create New Tax Class,Шинэ татварын ангилал үүсгэх
Create New Zone,Шинэ бүс үүсгэх
Create a new category,Шинэ ангилал үүсгэх
Create a new collection,Шинэ цуглуулга үүсгэх
Create a new coupon,Шинэ купон үүсгэх
Create a new page,Шинэ хуудас үүсгэх
Create a new product,Шинэ бүтээгдэхүүн үүсгэх
Create a new variant for this product.,Энэ бүтээгдэхүүний шинэ хувилбар үүсгэх.
Create a new widget,Шинэ виджет үүсгэх
Create a variant group,Хувилбарын бүлэг үүсгэх
Create method,Арга үүсгэх
Create new tax class,Шинэ татварын ангилал үүсгэх
Create rollout plan,Нэвтрүүлэлтийн төлөвлөгөө үүсгэх
Created At,Үүсгэсэн огноо
Current,Одоогийн
Customer,Үйлчлүүлэгч
Customer Email,Үйлчлүүлэгчийн имэйл
Customer conditions,Үйлчлүүлэгчийн нөхцөлүүд
Customer emails,Үйлчлүүлэгчийн имэйлүүд
Customer groups,Үйлчлүүлэгчийн бүлгүүд
Customer's purchase,Үйлчлүүлэгчийн худалдан авалт
Customers,Үйлчлүүлэгчид
Customers (${count}),Үйлчлүүлэгчид (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,${zone}-д байгаа үйлчлүүлэгчид төлбөр төлөх үед ${name}-ын аргуудыг цаашид харахгүй. Та үүнийг дараа дахин холбож болно.
Dashboard,Хяналтын самбар
Date,Огноо
Decrease,Бууруулах
Default carrier,Өгөгдмөл тээвэрлэгч
Default language,Өгөгдмөл хэл
Default package,Өгөгдмөл багц
Default service code,Өгөгдмөл үйлчилгээний код
"Delete ""${name}""?","""${name}""-ыг устгах уу?"
Delete ${count} attributes,${count} шинж чанар устгах
Delete ${count} categories,${count} ангилал устгах
Delete ${count} collections,${count} цуглуулга устгах
Delete ${count} pages,${count} хуудас устгах
Delete ${count} widgets,${count} виджет устгах
Delete container widget?,Контейнер виджетийг устгах уу?
Delete image,Зураг устгах
"Delete package ""${name}""?","""${name}"" багцыг устгах уу?"
Delete this,Үүнийг устгах
Delete this widget? This will be saved as a pending change you can publish or discard.,Энэ виджетийг устгах уу? Үүнийг нийтлэх эсвэл устгаж болох хүлээгдэж буй өөрчлөлт болгон хадгална.
Delete widget?,Виджетийг устгах уу?
Delete zone,Бүс устгах
"Delete zone ""${name}""?","""${name}"" бүсийг устгах уу?"
Deleted ${name},${name}-ыг устгалаа
Deleting this,Үүнийг устгаж байна
Deleting this container will also hide,Энэ контейнерыг устгахад мөн дараахыг нуух болно
Description is required,Тайлбар шаардлагатай
Desktop,Десктоп
Detach,Салгах
Detach ${name}?,${name}-г салгах уу?
Disable ${count} pages,${count} хуудсыг идэвхгүй болгох
Disable ${count} widgets,${count} виджетийг идэвхгүй болгох
Disabled products will not be visible in the store and cannot be purchased.,Идэвхгүй болгосон бүтээгдэхүүнүүд дэлгүүрт харагдахгүй бөгөөд худалдан авах боломжгүй болно.
Discard changes on this page only,Зөвхөн энэ хуудасны өөрчлөлтийг хаях
Discard everything,Бүгдийг хаях
Discard everything in this draft,Энэ ноорог дахь бүгдийг хаях
Discard failed,Хаях амжилтгүй боллоо
Discard pending changes?,Хүлээгдэж буй өөрчлөлтүүдийг хаях уу?
Discard this page,Энэ хуудсыг хаях
Discarding…,Хаяж байна…
Discount Type,Хөнгөлөлтийн төрөл
Discount amount,Хөнгөлөлтийн дүн
Discount amount is required,Хөнгөлөлтийн дүн шаардлагатай
Discount type is required,Хөнгөлөлтийн төрөл шаардлагатай
Dislay Name,Харагдах нэр
Display Name,Харагдах нэр
Draft,Ноорог
Draft — not scheduled,Ноорог — товлоогүй
Drag to resize,Хэмжээ өөрчлөхөөр чирэх
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.",Мөр бүр энэ виджетийг нэг хуудасны нэг хэсэгт өөрийн эрэмбэлэх дарааллаар байрлуулна. Бага тоо эхэнд харагдана.
Edit ${name},${name}-г засах
Edit Shipping Zone,Хүргэлтийн бүсийг засах
Edit Tax Rate,Татварын хувь хэмжээг засах
Edit Variant,Хувилбарыг засах
Edit Zone,Бүсийг засах
Edit against the live storefront. Publish immediately or save as a rollout plan.,Идэвхтэй дэлгүүрийн дэлгэц дээр засна. Шууд нийтлэх эсвэл нэвтрүүлэх төлөвлөгөө болгон хадгална.
Edit rollout schedule,Нэвтрүүлэх хуваарийг засах
Editable routes,Засварлах боломжтой замууд
Editing ${coupon},${coupon}-г засаж байна
Editing ${fullName},${fullName}-г засаж байна
Editing widget ${name},${name} виджетийг засаж байна
Edits to a shared widget update every route it appears on.,Хуваалцсан виджетэд хийсэн засвар нь түүний харагдах бүх замыг шинэчилнэ.
Empty package weight,Хоосон савлагааны жин
Empty weight,Хоосон жин
Enable ${count} pages,${count} хуудсыг идэвхжүүлэх
Enable ${count} widgets,${count} виджетийг идэвхжүүлэх
Enable this page to make it visible on the frontend.,Энэ хуудсыг урд талд харагдуулахын тулд идэвхжүүлнэ үү.
Enable?,Идэвхжүүлэх үү?
End,Төгсгөл
End Date,Дуусах огноо
End date,Дуусах огноо
End time is invalid.,Дуусах хугацаа буруу байна.
End time must be after start time.,Дуусах хугацаа эхлэх хугацаанаас хойш байх ёстой.
Enter Category Name,Ангиллын нэрийг оруулна уу
Enter Collection Name,Цуглуулгын нэрийг оруулна уу
Enter Meta Description,Meta тайлбарыг оруулна уу
Enter Meta Title,Meta гарчгийг оруулна уу
Enter Meta description,Meta тайлбарыг оруулна уу
Enter Meta title,Meta гарчгийг оруулна уу
Enter SKU,SKU оруулна уу
Enter URL Key,URL түлхүүрийг оруулна уу
Enter URL key,URL түлхүүрийг оруулна уу
Enter customer emails,Үйлчлүүлэгчийн имэйлийг оруулна уу
Enter description,Тайлбарыг оруулна уу
Enter group name,Бүлгийн нэрийг оруулна уу
Enter meta description,Meta тайлбарыг оруулна уу
Enter meta title,Meta гарчгийг оруулна уу
Enter page name,Хуудасны нэрийг оруулна уу
Enter price,Үнийг оруулна уу
Enter product name,Бүтээгдэхүүний нэрийг оруулна уу
Enter purchased amount,Худалдан авсан дүнг оруулна уу
Enter quantity,Тоо хэмжээг оруулна уу
Enter tax class name,Татварын ангиллын нэрийг оруулна уу
Enter the quantity,Тоо хэмжээг оруулна уу
Enter weight,Жинг оруулна уу
Environment,Орчин
Error loading countries,Улсуудыг ачаалахад алдаа гарлаа
Error loading methods,Аргуудыг ачаалахад алдаа гарлаа
Error loading packages,Багцуудыг ачаалахад алдаа гарлаа
Error loading providers,Үйлчилгээ үзүүлэгчдийг ачаалахад алдаа гарлаа
Error loading zones,Бүсүүдийг ачаалахад алдаа гарлаа
EverShop · Back to page builder,EverShop · Хуудас бүтээгч рүү буцах
Every page rolls back to the rollout’s saved state.,Хуудас бүр нэвтрүүлэлтийн хадгалсан төлөв рүү буцна.
Every page rolls back to what the rollout had saved.,Хуудас бүр нэвтрүүлэлтийн хадгалсан зүйл рүү буцна.
Existing rollout plan: ${plan},Одоо байгаа нэвтрүүлэх төлөвлөгөө: ${plan}
Expand,Дэлгэх
Expand left rail,Зүүн самбарыг дэлгэх
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.",Худалдан авагчид үндсэн хэлнээс гадна сэлгэн орох боломжтой нэмэлт хэлүүд. Үндсэн хэл үргэлж боломжтой байдаг — та үүнийг энд нэмэхгүй.
Failed to attach provider,Үйлчилгээ үзүүлэгчийг хавсаргаж чадсангүй
Failed to delete ${name},${name}-г устгаж чадсангүй
Failed to detach ${name},${name}-г салгаж чадсангүй
Failed to remove rate,Хувь хэмжээг устгаж чадсангүй
Failed to remove zone,Бүсийг устгаж чадсангүй
Failed to save change,Өөрчлөлтийг хадгалж чадсангүй
Failed to save rate,Хувь хэмжээг хадгалж чадсангүй
Failed to save zone,Бүсийг хадгалж чадсангүй
Failed to update rollout schedule,Нэвтрүүлэх хуваарийг шинэчилж чадсангүй
Fixed discount to entire order,Бүх захиалгад тогтмол хөнгөлөлт
Fixed discount to specific products,Тодорхой бүтээгдэхүүнд тогтмол хөнгөлөлт
Flat rate,Тогтмол хувь
"Flat rate in cart currency, tax-exclusive.","Сагсны валютаар тогтмол хувь, татваргүй."
Free shipping?,Үнэгүй хүргэлт үү?
General Information,Ерөнхий мэдээлэл
Give Feedback,Санал хүсэлт өгөх
Global,Дэлхий нийтийн
Globals,Дэлхий нийтийн
Group,Бүлэг
Group Name,Бүлгийн нэр
Group name is required,Бүлгийн нэр шаардлагатай
Groups,Бүлгүүд
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Хагас нээлттэй интервал — яг Max дээрх сагс хасагдана (дараагийн түвшний Min тэр цэгийг эзэмшинэ).
Has conflicts,Зөрчилтэй
Heads up — ,Анхааруулга — 
Height,Өндөр
Height is required (0 for envelopes),Өндөр шаардлагатай (дугтуйны хувьд 0)
Height must be 0 or greater,Өндөр 0 буюу түүнээс их байх ёстой
Hide global areas,Дэлхий нийтийн хэсгүүдийг нуух
Higest tax rate based on cart items,Сагсны бараанд тулгуурласан хамгийн өндөр татварын хувь
Highlight global areas on canvas,Зурагт хэсэг дэх дэлхий нийтийн хэсгүүдийг тодруулах
Image,Зураг
Include In Menu,Цэсэнд оруулах
Include in Store Menu?,Дэлгүүрийн цэсэнд оруулах уу?
Increase,Нэмэгдүүлэх
Insert image,Зураг оруулах
Integer,Бүхэл тоо
Invalid folder name,Хавтасны нэр буруу байна
Invalid start,Эхлэл буруу байна
Invalid window,Цонх буруу байна
Inventory,Бараа материал
Is compound,Нийлмэл эсэх
Its rates will be removed too. This cannot be undone.,Түүний хувь хэмжээнүүд мөн устгагдана. Үүнийг буцаах боломжгүй.
Languages,Хэлүүд
Layers,Давхаргууд
Layout,Бүтэц
Leave,Гарах
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Бүх улсыг хамруулахын тулд улсын жагсаалтыг хоосон орхино уу. Хүргэлтийг тодорхой бүс нутгаар хязгаарлахын тулд аймаг нэмнэ үү.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Одоо гарвал серверт хүрээгүй хамгийн сүүлийн засваруудыг алдаж магадгүй.
Length,Урт
Length is required,Урт шаардлагатай
Length must be greater than 0,Урт 0-оос их байх ёстой
Live,Идэвхтэй
Loading...,Ачааллаж байна...
Long text,Урт текст
Lower values appear first.,Бага утга эхэнд харагдана.
Manage Stock,Нөөцийг удирдах
Manage general information about the collection.,Цуглуулгын тухай ерөнхий мэдээллийг удирдах.
Manage product images and gallery. Drag and drop to reorder images.,Бүтээгдэхүүний зураг болон цомгийг удирдах. Зургийн эрэмбийг өөрчлөхийн тулд чирж тавина уу.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Хүргэлтийн интеграцууд болон тэдгээрийн аргуудыг удирдах (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Өөр өөр бүс нутгийн татварын ангилал болон татварын хувь хэмжээг удирдах.
Manage the SEO settings of the category.,Ангиллын SEO тохиргоог удирдах.
Manage the SEO settings.,SEO тохиргоог удирдах.
Manage the attributes.,Шинж чанаруудыг удирдах.
Manage the collections associated with this product.,Энэ бүтээгдэхүүнтэй холбоотой цуглуулгуудыг удирдах.
Manage the general information of the category.,Ангиллын ерөнхий мэдээллийг удирдах.
Manage the general information of the product.,Бүтээгдэхүүний ерөнхий мэдээллийг удирдах.
Manage the inventory settings of the product.,Бүтээгдэхүүний бараа материалын тохиргоог удирдах.
Manage the products assigned to this category.,Энэ ангилалд оноосон бүтээгдэхүүнүүдийг удирдах.
Manage the products assigned to this collection.,Энэ цуглуулгад оноосон бүтээгдэхүүнүүдийг удирдах.
Manage the shipping settings of the product.,Бүтээгдэхүүний хүргэлтийн тохиргоог удирдах.
Manage the status settings of the category.,Ангиллын төлвийн тохиргоог удирдах.
Manage the variant group of the product.,Бүтээгдэхүүний хувилбарын бүлгийг удирдах.
Marketing,Маркетинг
Max ${unit},Дээд ${unit}
Max is required,Дээд хязгаар шаардлагатай
Maximum,Дээд хэмжээ
Maximum amount is ${value} ${currency},Дээд хэмжээ нь ${value} ${currency}
Maximum quantity is required,Дээд тоо ширхэг шаардлагатай
Maximum quantity must be greater than or equal to 0,Дээд тоо ширхэг 0-ээс их буюу тэнцүү байх ёстой
Media,Медиа
Meta Description,Meta тайлбар
Meta Title,Meta гарчиг
Meta Title is required,Meta гарчиг шаардлагатай
Meta description,Meta тайлбар
Meta description is required,Meta тайлбар шаардлагатай
Meta title,Meta гарчиг
Meta title is required,Meta гарчиг шаардлагатай
Method,Арга
Method created,Арга үүсгэгдлээ
Method name,Аргын нэр
Method name is required,Аргын нэр шаардлагатай
Method updated,Арга шинэчлэгдлээ
Methods →,Аргууд →
Min ${unit},Доод ${unit}
Min Price,Доод үнэ
Min Weight,Доод жин
Min is required,Доод хязгаар шаардлагатай
Min price is required,Доод үнэ шаардлагатай
Min weight is required,Доод жин шаардлагатай
Minimum purchase amount,Худалдан авалтын доод дүн
Minimum purchase qty,Худалдан авалтын доод тоо
Minimum purchase quantity,Худалдан авалтын доод тоо ширхэг
Minimum purchased amount. This only applies to registered customers.,Худалдан авсан доод дүн. Энэ нь зөвхөн бүртгэлтэй харилцагчдад хамаарна.
Minimum quantity is required,Доод тоо ширхэг шаардлагатай
Missing name,Нэр дутуу байна
Money,Мөнгө
Name is required.,Нэр шаардлагатай.
Navigation,Навигаци
New Attribute,Шинэ шинж чанар
New Category,Шинэ ангилал
New Collection,Шинэ цуглуулга
New Coupon,Шинэ купон
New Page,Шинэ хуудас
New Variant,Шинэ хувилбар
New coupon,Шинэ купон
New rate,Шинэ тариф
No collections,Цуглуулга байхгүй
No editable routes.,Засварлах боломжтой зам байхгүй.
No file selected,Файл сонгоогүй байна
No methods yet — add one to start offering Core shipping.,Одоогоор арга байхгүй — Core хүргэлтийг санал болгож эхлэхийн тулд нэгийг нэмнэ үү.
No packages yet. Create one — shippable products require a package.,Одоогоор багц байхгүй. Нэгийг үүсгэнэ үү — хүргэх боломжтой бүтээгдэхүүнд багц шаардлагатай.
No product to display.,Харуулах бүтээгдэхүүн байхгүй.
"No providers attached. Click ""Attach Provider"" to add one.","Хавсаргасан үйлчилгээ үзүүлэгч байхгүй. Нэгийг нэмэхийн тулд ""Attach Provider"" дээр дарна уу."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Одоогоор тариф байхгүй — энэ аргыг бүсэд санал болгохын тулд ""Add Rate"" дээр дарна уу."
"No results for ""${keyword}""","""${keyword}""-д тохирох үр дүн байхгүй"
No routes have opted into page-builder editing yet.,Одоогоор ямар ч зам page-builder засварлалтыг сонгоогүй байна.
No shipping required?,Хүргэлт шаардлагагүй юу?
No subdivisions available — whole country is covered.,Дэд хэсэг байхгүй — бүх улсыг хамарна.
No widgets available.,Виджет байхгүй.
"No widgets match ""${query}"".","""${query}""-д тохирох виджет байхгүй."
No widgets on this route yet.,Энэ замд одоогоор виджет байхгүй.
No zones,Бүс байхгүй
No zones found,Бүс олдсонгүй
Not visible individually,Дангаар нь харагдахгүй
Nothing to publish,Нийтлэх зүйл байхгүй
Nothing to redo on this page,Энэ хуудсанд дахин хийх зүйл байхгүй
Nothing to undo on this page,Энэ хуудсанд буцаах зүйл байхгүй
Number,Тоо
Option text is required,Сонголтын текст шаардлагатай
Optional. Added to the shipping weight for quotes and labels.,Заавал биш. Үнийн санал болон шошгод зориулж хүргэлтийн жинд нэмэгдэнэ.
Order Number,Захиалгын дугаар
Order conditions,Захиалгын нөхцөл
Orders (${count}),Захиалга (${count})
Other,Бусад
Other pages keep their pending changes.,Бусад хуудаснууд хүлээгдэж буй өөрчлөлтөө хадгална.
Overlaps with existing rollout: ${plans}.,Одоо байгаа нэвтрүүлэлттэй давхцаж байна: ${plans}.
Overlaps with existing rollouts: ${plans}.,Одоо байгаа нэвтрүүлэлтүүдтэй давхцаж байна: ${plans}.
Package,Багц
Package created,Багц үүсгэгдлээ
Package deleted,Багц устгагдлаа
Package saved,Багц хадгалагдлаа
Packages,Багцууд
Page Name,Хуудасны нэр
Page Not Found,Хуудас олдсонгүй
Page builder,Хуудас бүтээгч
Page builder canvas,Хуудас бүтээгчийн талбай
Page created successfully!,Хуудас амжилттай үүсгэгдлээ!
Page is required,Хуудас шаардлагатай
Page name is required,Хуудасны нэр шаардлагатай
Pages,Хуудаснууд
Parent category,Эх ангилал
Payment Setting,Төлбөрийн тохиргоо
Payment mode,Төлбөрийн горим
Payment setting saved,Төлбөрийн тохиргоо хадгалагдлаа
Paypal Payment,Paypal төлбөр
Pending start time,Эхлэх цаг хүлээгдэж байна
Percentage discount to entire order,Бүх захиалгад хувийн хямдрал
Percentage discount to specific products,Тодорхой бүтээгдэхүүнд хувийн хямдрал
Phone,Утас
Pick a start time to schedule this rollout.,Энэ нэвтрүүлэлтийг товлохын тулд эхлэх цаг сонгоно уу.
Pick a widget below to insert as a child.,Дэд элемент болгон оруулах виджетийг доороос сонгоно уу.
Pick up where you left off — ${count} pending changes,Үлдсэн газраасаа үргэлжлүүлээрэй — ${count} хүлээгдэж буй өөрчлөлт
Pick up where you left off — 1 pending change,Үлдсэн газраасаа үргэлжлүүлээрэй — 1 хүлээгдэж буй өөрчлөлт
Pin drawer open,Шургуулгыг нээлттэй бэхлэх
Pin — keep drawer open across canvas clicks,Бэхлэх — талбай дээр дарахад шургуулгыг нээлттэй байлгах
Placed on: ${routes},Байрлуулсан: ${routes}
Placements,Байршлууд
Postal Code,Шуудангийн код
"Postcode (e.g., ""90210""). Empty for all postcodes.","Шуудангийн код (жишээ нь, ""90210""). Бүх шуудангийн кодод хоосон үлдээнэ."
Preselected for new products. Exactly one package is the default.,Шинэ бүтээгдэхүүнд урьдчилан сонгогдсон. Яг нэг багц нь анхдагч болно.
Preview,Урьдчилан харах
Price-based tiers,Үнэд суурилсан түвшинүүд
Priority,Тэргүүлэх зэрэг
Priority is required,Тэргүүлэх зэрэг шаардлагатай
Product Name,Бүтээгдэхүүний нэр
Product Status,Бүтээгдэхүүний төлөв
Product created successfully,Бүтээгдэхүүн амжилттай үүсгэгдлээ
Product updated successfully,Бүтээгдэхүүн амжилттай шинэчлэгдлээ
Products (${count}),Бүтээгдэхүүн (${count})
Promotion,Урамшуулал
Proportional allocation based on cart items,Сагсны бараанд суурилсан пропорциональ хуваарилалт
Provide the SEO details for the CMS page.,CMS хуудасны SEO мэдээллийг оруулна уу.
Provide the basic information for the CMS page.,CMS хуудасны үндсэн мэдээллийг оруулна уу.
Provider,Үйлчилгээ үзүүлэгч
Province Restrictions,Аймгийн хязгаарлалт
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Аймгийн код (жишээ нь, ""CA""). Бүх аймгийн хувьд ""*"" ашиглана."
Provinces,Аймгууд
