"Blog category","Блогийн ангилал"
"Create an access key in your storage provider console. For AWS: sign in to the AWS Console, open IAM → Users → your user → Security credentials → Create access key.","Хадгалалтын үйлчилгээ үзүүлэгчийнхээ консол дээр access key үүсгэнэ үү. AWS-ийн хувьд: AWS Console руу нэвтэрч, IAM → Users → таны хэрэглэгч → Security credentials → Create access key гэж нээнэ үү."
Secret access key,Secret access key
"The secret is shown only once, when the access key is created — copy it from there.",Нууц утга нь access key үүсгэх үед зөвхөн нэг удаа харагдана — тэндээс хуулж авна уу.
Custom endpoint,Тусгай endpoint
"S3-compatible services only (Hetzner, Cloudflare R2, MinIO, DigitalOcean Spaces). Leave empty for AWS.","Зөвхөн S3-тэй нийцтэй үйлчилгээнд (Hetzner, Cloudflare R2, MinIO, DigitalOcean Spaces). AWS-ийн хувьд хоосон орхино уу."
Force path-style,Path-style-г албадах
"Required by MinIO. Leave off for AWS, Hetzner and R2.","MinIO шаарддаг. AWS, Hetzner болон R2-ын хувьд идэвхгүй орхино уу."
Public base URL,Нийтийн үндсэн URL
"Optional CDN (e.g. CloudFront) serving the bucket — lets the bucket stay private. Without it, objects must be publicly readable via a bucket policy. Example: https://cdn.mystore.com or https://d111abcdef8.cloudfront.net, a CloudFront distribution with this bucket as its origin. Files are served as <this URL>/<file path>, so the domain must point at the bucket root.","Bucket-ийг түгээх нэмэлт CDN (жишээ нь CloudFront) — ингэснээр bucket хувийн хэвээр үлдэнэ. Үгүй бол объектууд bucket policy-ээр нийтэд уншигдах ёстой. Жишээ: https://cdn.mystore.com эсвэл https://d111abcdef8.cloudfront.net, энэ bucket-ийг эх сурвалж болгосон CloudFront distribution. Файлууд <энэ URL>/<файлын зам> хэлбэрээр түгээгдэх тул домэйн нь bucket-ийн үндсэн хэсэг рүү заасан байх ёстой."
Connection string,Холболтын мөр
Connection string is required,Холболтын мөр шаардлагатай
"Copy it from the Azure portal: sign in, open your storage account, then Security + networking → Access keys → Connection string.","Үүнийг Azure portal-оос хуулна уу: нэвтэрч, хадгалалтын бүртгэлээ нээгээд Security + networking → Access keys → Connection string."
Container,Container
Container access,Container-ийн хандалт
Private (recommended),Хувийн (санал болгох)
Public read for blobs,Blob-уудад нийтийн унших эрх
"Public read requires ""Allow blob anonymous access"" on the storage account — disallowed by default on new accounts. Prefer a private container with a public base URL (CDN).",Нийтийн унших эрхэд хадгалалтын бүртгэл дээр “Allow blob anonymous access” шаардлагатай — шинэ бүртгэлд анхдагчаар хориотой. Нийтийн үндсэн URL (CDN) бүхий хувийн container-ийг илүүд үзнэ үү.
"Optional CDN (e.g. Azure CDN / Front Door) serving the container — lets the container stay private. Files are served as <this URL>/<file path> with no container segment added, so either set the CDN origin path to /<container> (example: https://mystore.azureedge.net) or include the container here (example: https://mystore.azureedge.net/media).","Container-ийг түгээх нэмэлт CDN (жишээ нь Azure CDN / Front Door) — ингэснээр container хувийн хэвээр үлдэнэ. Файлууд <энэ URL>/<файлын зам> хэлбэрээр, container хэсэг нэмэлгүйгээр түгээгдэнэ. Тиймээс CDN-ийн origin замыг /<container> болгож тохируулах эсвэл container-ийг энд оруулна уу (жишээ: https://mystore.azureedge.net/media)."
Service account key,Үйлчилгээний бүртгэлийн түлхүүр
Paste the entire content of the downloaded JSON key file,Татаж авсан JSON түлхүүр файлын бүх агуулгыг буулгана уу
Create a key in the Google Cloud Console: IAM & Admin → Service Accounts → create or pick an account with the Storage Object Admin role on the bucket → Keys → Add key → JSON. Paste the whole downloaded file here.,Google Cloud Console дээр түлхүүр үүсгэнэ үү: IAM & Admin → Service Accounts → bucket дээр Storage Object Admin эрхтэй бүртгэл үүсгэх эсвэл сонгох → Keys → Add key → JSON. Татаж авсан файлыг бүхэлд нь энд буулгана уу.
"Don't have keys? If EverShop runs on a server that already has access to the bucket — for example an AWS IAM role, or AWS keys set up as environment variables on the server — leave both fields empty and the server's own credentials are used automatically. The connection is tested when you save, so a wrong or missing setup cannot be saved.","Түлхүүр байхгүй юу? Хэрэв EverShop нь bucket руу аль хэдийн хандах эрхтэй сервер дээр ажиллаж байгаа бол — жишээ нь AWS IAM үүрэг, эсвэл сервер дээр орчны хувьсагчаар тохируулсан AWS түлхүүрүүд — хоёр талбарыг хоосон орхиход серверийн өөрийн нэвтрэх мэдээллийг автоматаар ашиглана. Хадгалах үед холболтыг шалгадаг тул буруу эсвэл дутуу тохиргоог хадгалах боломжгүй."
"Don't have a key? If EverShop runs on Google Cloud (Compute Engine, GKE, Cloud Run) with a service account attached, or the GOOGLE_APPLICATION_CREDENTIALS environment variable is set on the server, leave this field empty and the server's own credentials are used automatically. The connection is tested when you save, so a wrong or missing setup cannot be saved.","Түлхүүр байхгүй юу? Хэрэв EverShop нь үйлчилгээний бүртгэл хавсаргасан Google Cloud (Compute Engine, GKE, Cloud Run) дээр ажиллаж байгаа, эсвэл сервер дээр GOOGLE_APPLICATION_CREDENTIALS орчны хувьсагч тохируулагдсан бол энэ талбарыг хоосон орхиход серверийн өөрийн нэвтрэх мэдээллийг автоматаар ашиглана. Хадгалах үед холболтыг шалгадаг тул буруу эсвэл дутуу тохиргоог хадгалах боломжгүй."
"Optional CDN (e.g. Cloud CDN) serving the bucket — lets the bucket stay private. Without it, objects must be publicly readable: grant ""allUsers"" the Storage Object Viewer role on the bucket (blocked when Public Access Prevention is enforced on your organization). Example: https://cdn.mystore.com, a load balancer domain with this bucket as its backend bucket.",Bucket-ийг түгээх нэмэлт CDN (жишээ нь Cloud CDN) — ингэснээр bucket хувийн хэвээр үлдэнэ. Үгүй бол объектууд нийтэд уншигдах ёстой: bucket дээр “allUsers”-д Storage Object Viewer эрхийг олгоно уу (танай байгууллагад Public Access Prevention хэрэгжиж байвал хориглоно). Жишээ: https://cdn.mystore.com — энэ bucket-ийг backend bucket болгосон load balancer домэйн.
Local storage is not recommended for production,Дотоод хадгалалтыг үйлдвэрлэлийн орчинд санал болгодоггүй
"Files stored on this server can be lost when it is updated, moved, or fails. For a live store, use S3 or Azure Blob Storage instead.","Энэ сервер дээр хадгалагдсан файлууд шинэчлэгдэх, зөөгдөх, эсвэл эвдрэх үед устаж болно. Ажиллаж буй дэлгүүрт S3 эсвэл Azure Blob Storage ашиглана уу."
Upload rules,Байршуулах дүрэм
What can be uploaded and how big it can be — applies on every storage provider.,"Юуг байршуулж болох, хэр том байж болох — бүх хадгалалтын үйлчилгээнд хамаарна."
Allowed file types,Зөвшөөрөгдсөн файлын төрлүүд
Select at least one file type,Дор хаяж нэг файлын төрөл сонгоно уу
Files with other types are rejected at upload. SVG is not offered on purpose — SVG files can contain scripts and are a security risk when served.,Бусад төрлийн файлыг байршуулах үед татгалзана. SVG-г зориудаар санал болгоогүй — SVG файлууд скрипт агуулж болох бөгөөд түгээх үед аюулгүй байдлын эрсдэлтэй.
Also allowed via server configuration: ${types},Серверийн тохиргоогоор мөн зөвшөөрөгдсөн: ${types}
Maximum file size,Файлын дээд хэмжээ
"Per file, in megabytes (MB). Leave empty for the default of 10 MB. Applies to every upload in the admin panel — product images, banners, media.","Файл тутамд, мегабайтаар (MB). Анхдагч 10 MB-ын хувьд хоосон орхино уу. Админ хэсгийн бүх байршуулалтад хамаарна — бүтээгдэхүүний зураг, баннер, медиа."
Per-type overrides,Төрөл тус бүрийн дарж бичилт
"Overrides the maximum size for matching file types — for example a smaller limit for images and a bigger one for videos. An exact type (video/mp4) wins over a family (video/*); anything without a match uses the maximum file size above. Overrides do not allow new types: the file type itself must be enabled in ""Allowed file types"".","Тохирох файлын төрлүүдийн дээд хэмжээг дарж бичнэ — жишээ нь зурагт бага, видеонд их хязгаар. Яг тодорхой төрөл (video/mp4) нь бүлгээс (video/*) давуу; тохирохгүй бүхэн дээрх дээд хэмжээг ашиглана. Дарж бичилт нь шинэ төрлийг зөвшөөрөхгүй: файлын төрөл өөрөө “Зөвшөөрөгдсөн файлын төрлүүд” дотор идэвхжсэн байх ёстой."
Every product in the store,Дэлгүүрийн бүх бүтээгдэхүүн
