Welcome Back!,Üdvözöljük újra!
Calculation type,Számítási típus
Can not change the attribute group of a product that is already in a variant group.,"Nem módosítható egy olyan termék attribútumcsoportja, amely már egy variánscsoport tagja."
Cancel rollout,Bevezetés megszakítása
Cancel rollout plan?,Megszakítja a bevezetési tervet?
Canvas device width,Vászon eszközszélessége
Capture,Beváltás
Capture Payment,Fizetés beváltása
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,Fuvarozói tipp a teljesítéshez — soha nem jelenik meg a pénztárnál. A NewShipmentDialog ezt használja a fuvarozó előzetes kiválasztásához.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,"A címke vásárlásakor használt fuvarozó-specifikus szolgáltatáskód (CreateLabelInput.serviceCode). Szabad szöveges — ellenőrizze a pontos tokent a fuvarozó API-dokumentációjában. Hagyja üresen, hogy a fuvarozó az alapértelmezett szolgáltatását válassza."
Cash On Delivery Payment,Utánvétes fizetés
"Catalog, Search","Katalógus, Keresés"
Category Image,Kategória képe
Category Name,Kategória neve
Category created successfully!,A kategória sikeresen létrejött!
Category name is required,A kategória neve kötelező
Choose Attribute Groups,Attribútumcsoportok kiválasztása
Choose Categories,Kategóriák kiválasztása
Choose Collections,Gyűjtemények kiválasztása
Choose SKUs,SKU-k kiválasztása
Choose how much of your unpublished work to discard. The published storefront is not affected.,"Válassza ki, mennyit szeretne elvetni a nem közzétett munkájából. A közzétett áruházat ez nem érinti."
Choose where you ship and how much you charge for shipping.,"Válassza ki, hová szállít, és mennyit számít fel a szállításért."
Clear filter,Szűrő törlése
Clear filters,Szűrők törlése
Client ID,Client ID
Client Secret,Client Secret
Close,Bezárás
Close settings,Beállítások bezárása
Close — continue draft,Bezárás — piszkozat folytatása
Cms Pages,CMS-oldalak
Collapse left rail,Bal oldali sáv összecsukása
Collapse panel,Panel összecsukása
Collection Code,Gyűjtemény kódja
Collection Name,Gyűjtemény neve
Collection code is required,A gyűjtemény kódja kötelező
Collection code must be alphanumeric and can include underscores or dashes.,"A gyűjtemény kódja csak alfanumerikus lehet, és tartalmazhat aláhúzásokat vagy kötőjeleket."
Collection created successfully!,A gyűjtemény sikeresen létrejött!
Color,Szín
Commerce,Kereskedelem
Compound,Összetett
Condition,Feltétel
Configure,Beállítás
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Állítsa be a költséget és a feltételeket zónánként. A díj nélküli zónák nem kínálják ezt a módot.
Configure rate,Díj beállítása
Configure the available payment methods,Az elérhető fizetési módok beállítása
Configure the settings for the ${name} widget.,A(z) ${name} widget beállításainak konfigurálása.
Configure the tax classes that will be available to your customers at checkout.,"Állítsa be az adóosztályokat, amelyek a vásárlók számára elérhetők lesznek a pénztárnál."
Configure your Cash On Delivery payment gateway settings,Az utánvétes fizetési átjáró beállításainak konfigurálása
Configure your Paypal payment gateway settings,A PayPal fizetési átjáró beállításainak konfigurálása
Configure your Stripe payment gateway settings,A Stripe fizetési átjáró beállításainak konfigurálása
Configure your store information,Az áruház adatainak beállítása
"Conflicts with ${plan1}, ${plan2}","Ütközik ezzel: ${plan1}, ${plan2}"
Conflicts with ${plan},Ütközik ezzel: ${plan}
Conflicts with ${plan} +${count},Ütközik ezzel: ${plan} +${count}
Conflicts with:,Ütközik ezekkel:
Content,Tartalom
Continue a saved rollout plan,Mentett bevezetési terv folytatása
Continue your draft,Piszkozat folytatása
Core Shipping,Core szállítás
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,A Core még nincs egyetlen zónához sem csatolva. Először csatolja a Beállítások → Szállítás alatt.
Cost,Költség
Cost is required,A költség megadása kötelező
Could not start fresh,Nem sikerült újrakezdeni
Countries,Országok
"Country code (e.g., ""US""). Use ""*"" for all countries.",Országkód (pl. „US”). Használja a „*” jelet az összes országhoz.
Coupon Code,Kuponkód
"Coupon code can only contain letters, numbers, underscores, and hyphens","A kuponkód csak betűket, számokat, aláhúzásokat és kötőjeleket tartalmazhat"
Coupon created successfully!,A kupon sikeresen létrejött!
Coupons,Kuponok
Create A New Customer,Új vásárló létrehozása
Create New Package,Új csomag létrehozása
Create New Tax Class,Új adóosztály létrehozása
Create New Zone,Új zóna létrehozása
Create a new category,Új kategória létrehozása
Create a new collection,Új gyűjtemény létrehozása
Create a new coupon,Új kupon létrehozása
Create a new page,Új oldal létrehozása
Create a new product,Új termék létrehozása
Create a new variant for this product.,Új variáns létrehozása ehhez a termékhez.
Create a new widget,Új widget létrehozása
Create a variant group,Variánscsoport létrehozása
Create method,Mód létrehozása
Create new tax class,Új adóosztály létrehozása
Create rollout plan,Bevezetési terv létrehozása
Created At,Létrehozva
Current,Jelenlegi
Customer,Vásárló
Customer Email,Vásárló e-mail-címe
Customer conditions,Vásárlói feltételek
Customer emails,Vásárlói e-mailek
Customer groups,Vásárlói csoportok
Customer's purchase,Vásárló vásárlása
Customers,Vásárlók
Customers (${count}),Vásárlók (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,A(z) ${zone} zónában lévő vásárlók többé nem látják a(z) ${name} módjait a pénztárnál. Később újra csatolhatja.
Dashboard,Irányítópult
Date,Dátum
Decrease,Csökkentés
Default carrier,Alapértelmezett fuvarozó
Default language,Alapértelmezett nyelv
Default package,Alapértelmezett csomag
Default service code,Alapértelmezett szolgáltatáskód
"Delete ""${name}""?",Törli a következőt: „${name}”?
Delete ${count} attributes,${count} attribútum törlése
Delete ${count} categories,${count} kategória törlése
Delete ${count} collections,${count} gyűjtemény törlése
Delete ${count} pages,${count} oldal törlése
Delete ${count} widgets,${count} widget törlése
Delete container widget?,Törli a konténer-widgetet?
Delete image,Kép törlése
"Delete package ""${name}""?",Törli a(z) „${name}” csomagot?
Delete this,Törlés
Delete this widget? This will be saved as a pending change you can publish or discard.,"Törli ezt a widgetet? Ez függőben lévő módosításként lesz mentve, amelyet közzétehet vagy elvethet."
Delete widget?,Törli a widgetet?
Delete zone,Zóna törlése
"Delete zone ""${name}""?",Törli a(z) „${name}” zónát?
Deleted ${name},${name} törölve
Deleting this,Ennek törlése
Deleting this container will also hide,A konténer törlése elrejti a következőt is:
Description is required,A leírás megadása kötelező
Desktop,Asztali
Detach,Leválasztás
Detach ${name}?,Leválasztja ezt: ${name}?
Disable ${count} pages,${count} oldal letiltása
Disable ${count} widgets,${count} widget letiltása
Disabled products will not be visible in the store and cannot be purchased.,"A letiltott termékek nem jelennek meg az áruházban, és nem vásárolhatók meg."
Discard changes on this page only,Csak ezen az oldalon végzett módosítások elvetése
Discard everything,Minden elvetése
Discard everything in this draft,Minden elvetése ebben a piszkozatban
Discard failed,Az elvetés sikertelen
Discard pending changes?,Elveti a függőben lévő módosításokat?
Discard this page,Ezen oldal elvetése
Discarding…,Elvetés…
Discount Type,Kedvezmény típusa
Discount amount,Kedvezmény összege
Discount amount is required,A kedvezmény összege kötelező
Discount type is required,A kedvezmény típusa kötelező
Dislay Name,Megjelenített név
Display Name,Megjelenített név
Draft,Piszkozat
Draft — not scheduled,Piszkozat — nincs ütemezve
Drag to resize,Húzza az átméretezéshez
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Minden sor egy oldalra, egy területre helyezi ezt a widgetet, saját rendezési sorrenddel. Az alacsonyabb számok jelennek meg elöl."
Edit ${name},${name} szerkesztése
Edit Shipping Zone,Szállítási zóna szerkesztése
Edit Tax Rate,Adókulcs szerkesztése
Edit Variant,Változat szerkesztése
Edit Zone,Zóna szerkesztése
Edit against the live storefront. Publish immediately or save as a rollout plan.,"Szerkesztés az élő áruház ellen. Tegye közzé azonnal, vagy mentse bevezetési tervként."
Edit rollout schedule,Bevezetési ütemezés szerkesztése
Editable routes,Szerkeszthető útvonalak
Editing ${coupon},${coupon} szerkesztése
Editing ${fullName},${fullName} szerkesztése
Editing widget ${name},${name} widget szerkesztése
Edits to a shared widget update every route it appears on.,"A megosztott widget módosításai minden útvonalat frissítenek, ahol megjelenik."
Empty package weight,Üres csomag súlya
Empty weight,Üres súly
Enable ${count} pages,${count} oldal engedélyezése
Enable ${count} widgets,${count} widget engedélyezése
Enable this page to make it visible on the frontend.,"Engedélyezze ezt az oldalt, hogy láthatóvá váljon a felületen."
Enable?,Engedélyezi?
End,Vége
End Date,Befejezés dátuma
End date,Befejezés dátuma
End time is invalid.,A befejezés időpontja érvénytelen.
End time must be after start time.,A befejezés időpontjának a kezdés időpontja után kell lennie.
Enter Category Name,Adja meg a kategória nevét
Enter Collection Name,Adja meg a kollekció nevét
Enter Meta Description,Adja meg a meta leírást
Enter Meta Title,Adja meg a meta címet
Enter Meta description,Adja meg a meta leírást
Enter Meta title,Adja meg a meta címet
Enter SKU,Adja meg a SKU-t
Enter URL Key,Adja meg az URL-kulcsot
Enter URL key,Adja meg az URL-kulcsot
Enter customer emails,Adja meg az ügyfelek e-mail-címeit
Enter description,Adja meg a leírást
Enter group name,Adja meg a csoport nevét
Enter meta description,Adja meg a meta leírást
Enter meta title,Adja meg a meta címet
Enter page name,Adja meg az oldal nevét
Enter price,Adja meg az árat
Enter product name,Adja meg a termék nevét
Enter purchased amount,Adja meg a vásárolt mennyiséget
Enter quantity,Adja meg a mennyiséget
Enter tax class name,Adja meg az adóosztály nevét
Enter the quantity,Adja meg a mennyiséget
Enter weight,Adja meg a súlyt
Environment,Környezet
Error loading countries,Hiba az országok betöltésekor
Error loading methods,Hiba a módszerek betöltésekor
Error loading packages,Hiba a csomagok betöltésekor
Error loading providers,Hiba a szolgáltatók betöltésekor
Error loading zones,Hiba a zónák betöltésekor
EverShop · Back to page builder,EverShop · Vissza az oldalszerkesztőhöz
Every page rolls back to the rollout’s saved state.,Minden oldal visszaáll a bevezetés mentett állapotára.
Every page rolls back to what the rollout had saved.,"Minden oldal visszaáll arra, amit a bevezetés elmentett."
Existing rollout plan: ${plan},Meglévő bevezetési terv: ${plan}
Expand,Kibontás
Expand left rail,Bal oldali sáv kibontása
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","További nyelvek, amelyekre a vásárlók átválthatnak az alapértelmezetten felül. Az alapértelmezett nyelv mindig elérhető — azt itt nem kell hozzáadnia."
Failed to attach provider,A szolgáltató csatolása sikertelen
Failed to delete ${name},${name} törlése sikertelen
Failed to detach ${name},${name} leválasztása sikertelen
Failed to remove rate,A kulcs eltávolítása sikertelen
Failed to remove zone,A zóna eltávolítása sikertelen
Failed to save change,A módosítás mentése sikertelen
Failed to save rate,A kulcs mentése sikertelen
Failed to save zone,A zóna mentése sikertelen
Failed to update rollout schedule,A bevezetési ütemezés frissítése sikertelen
Fixed discount to entire order,Fix kedvezmény a teljes rendelésre
Fixed discount to specific products,Fix kedvezmény adott termékekre
Flat rate,Átalánydíj
"Flat rate in cart currency, tax-exclusive.","Átalánydíj a kosár pénznemében, adó nélkül."
Free shipping?,Ingyenes szállítás?
General Information,Általános információk
Give Feedback,Visszajelzés küldése
Global,Globális
Globals,Globálisak
Group,Csoport
Group Name,Csoport neve
Group name is required,A csoport neve kötelező
Groups,Csoportok
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Félig nyitott intervallum — a pontosan Max értékű kosár ki van zárva (azt a pontot a következő szint Min értéke birtokolja).
Has conflicts,Ütközéseket tartalmaz
Heads up — ,Figyelem — 
Height,Magasság
Height is required (0 for envelopes),A magasság kötelező (borítékok esetén 0)
Height must be 0 or greater,A magasságnak 0-nak vagy nagyobbnak kell lennie
Hide global areas,Globális területek elrejtése
Higest tax rate based on cart items,Legmagasabb adókulcs a kosár tételei alapján
Highlight global areas on canvas,Globális területek kiemelése a vásznon
Image,Kép
Include In Menu,Felvétel a menübe
Include in Store Menu?,Felveszi az áruház menüjébe?
Increase,Növelés
Insert image,Kép beszúrása
Integer,Egész szám
Invalid folder name,Érvénytelen mappanév
Invalid start,Érvénytelen kezdés
Invalid window,Érvénytelen időablak
Inventory,Készlet
Is compound,Összetett
Its rates will be removed too. This cannot be undone.,A kulcsai is eltávolításra kerülnek. Ez nem vonható vissza.
Languages,Nyelvek
Layers,Rétegek
Layout,Elrendezés
Leave,Kilépés
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Hagyja üresen egy ország listáját az egész ország lefedéséhez. Adjon hozzá tartományokat a szállítás adott régiókra való korlátozásához.
Leaving now may drop the most recent edits that haven’t reached the server yet.,"A mostani kilépés elveszítheti a legutóbbi módosításokat, amelyek még nem értek el a szerverre."
Length,Hossz
Length is required,A hossz kötelező
Length must be greater than 0,A hossznak nagyobbnak kell lennie 0-nál
Live,Élő
Loading...,Betöltés…
Long text,Hosszú szöveg
Lower values appear first.,Az alacsonyabb értékek jelennek meg elöl.
Manage Stock,Készlet kezelése
Manage general information about the collection.,A kollekció általános információinak kezelése.
Manage product images and gallery. Drag and drop to reorder images.,Termékképek és galéria kezelése. A képek átrendezéséhez húzza és ejtse.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Szállítási integrációk és módszereik kezelése (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Adóosztályok és adókulcsok kezelése a különböző régiókhoz.
Manage the SEO settings of the category.,A kategória SEO-beállításainak kezelése.
Manage the SEO settings.,A SEO-beállítások kezelése.
Manage the attributes.,Az attribútumok kezelése.
Manage the collections associated with this product.,A termékhez társított kollekciók kezelése.
Manage the general information of the category.,A kategória általános információinak kezelése.
Manage the general information of the product.,A termék általános információinak kezelése.
Manage the inventory settings of the product.,A termék készletbeállításainak kezelése.
Manage the products assigned to this category.,Az ehhez a kategóriához rendelt termékek kezelése.
Manage the products assigned to this collection.,Az ehhez a kollekcióhoz rendelt termékek kezelése.
Manage the shipping settings of the product.,A termék szállítási beállításainak kezelése.
Manage the status settings of the category.,A kategória állapotbeállításainak kezelése.
Manage the variant group of the product.,A termék variánscsoportjának kezelése.
Marketing,Marketing
Max ${unit},Max. ${unit}
Max is required,A maximum megadása kötelező
Maximum,Maximum
Maximum amount is ${value} ${currency},A maximális összeg ${value} ${currency}
Maximum quantity is required,A maximális mennyiség megadása kötelező
Maximum quantity must be greater than or equal to 0,A maximális mennyiségnek 0-nál nagyobbnak vagy egyenlőnek kell lennie
Media,Média
Meta Description,Meta leírás
Meta Title,Meta cím
Meta Title is required,A meta cím megadása kötelező
Meta description,Meta leírás
Meta description is required,A meta leírás megadása kötelező
Meta title,Meta cím
Meta title is required,A meta cím megadása kötelező
Method,Mód
Method created,Mód létrehozva
Method name,Mód neve
Method name is required,A mód nevének megadása kötelező
Method updated,Mód frissítve
Methods →,Módok →
Min ${unit},Min. ${unit}
Min Price,Min. ár
Min Weight,Min. súly
Min is required,A minimum megadása kötelező
Min price is required,A minimális ár megadása kötelező
Min weight is required,A minimális súly megadása kötelező
Minimum purchase amount,Minimális vásárlási összeg
Minimum purchase qty,Min. vásárlási menny.
Minimum purchase quantity,Minimális vásárlási mennyiség
Minimum purchased amount. This only applies to registered customers.,Minimális vásárlási összeg. Ez csak regisztrált vásárlókra vonatkozik.
Minimum quantity is required,A minimális mennyiség megadása kötelező
Missing name,Hiányzó név
Money,Pénz
Name is required.,A név megadása kötelező.
Navigation,Navigáció
New Attribute,Új attribútum
New Category,Új kategória
New Collection,Új gyűjtemény
New Coupon,Új kupon
New Page,Új oldal
New Variant,Új variáns
New coupon,Új kupon
New rate,Új díj
No collections,Nincsenek gyűjtemények
No editable routes.,Nincsenek szerkeszthető útvonalak.
No file selected,Nincs kiválasztott fájl
No methods yet — add one to start offering Core shipping.,Még nincsenek módok — adjon hozzá egyet a Core szállítás megkezdéséhez.
No packages yet. Create one — shippable products require a package.,Még nincsenek csomagok. Hozzon létre egyet — a szállítható termékekhez csomag szükséges.
No product to display.,Nincs megjeleníthető termék.
"No providers attached. Click ""Attach Provider"" to add one.",Nincsenek csatolt szolgáltatók. Kattintson a „Szolgáltató csatolása” gombra egy hozzáadásához.
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Még nincsenek díjak — kattintson a „Díj hozzáadása” gombra, hogy ezt a módot egy zónában kínálja."
"No results for ""${keyword}""",Nincs találat erre: „${keyword}”
No routes have opted into page-builder editing yet.,Egyetlen útvonal sem választotta még az oldalszerkesztős szerkesztést.
No shipping required?,Nincs szükség szállításra?
No subdivisions available — whole country is covered.,Nincsenek elérhető körzetek — az egész ország le van fedve.
No widgets available.,Nincsenek elérhető widgetek.
"No widgets match ""${query}"".",Egyetlen widget sem felel meg ennek: „${query}”.
No widgets on this route yet.,Még nincsenek widgetek ezen az útvonalon.
No zones,Nincsenek zónák
No zones found,Nem találhatók zónák
Not visible individually,Egyenként nem látható
Nothing to publish,Nincs mit közzétenni
Nothing to redo on this page,Nincs mit újra végrehajtani ezen az oldalon
Nothing to undo on this page,Nincs mit visszavonni ezen az oldalon
Number,Szám
Option text is required,Az opció szövegének megadása kötelező
Optional. Added to the shipping weight for quotes and labels.,Opcionális. Hozzáadódik a szállítási súlyhoz az árajánlatokhoz és címkékhez.
Order Number,Rendelésszám
Order conditions,Rendelési feltételek
Orders (${count}),Rendelések (${count})
Other,Egyéb
Other pages keep their pending changes.,A többi oldal megtartja a függőben lévő módosításait.
Overlaps with existing rollout: ${plans}.,Átfedésben van egy meglévő bevezetéssel: ${plans}.
Overlaps with existing rollouts: ${plans}.,Átfedésben van meglévő bevezetésekkel: ${plans}.
Package,Csomag
Package created,Csomag létrehozva
Package deleted,Csomag törölve
Package saved,Csomag mentve
Packages,Csomagok
Page Name,Oldal neve
Page Not Found,Az oldal nem található
Page builder,Oldalszerkesztő
Page builder canvas,Oldalszerkesztő vászon
Page created successfully!,Az oldal sikeresen létrejött!
Page is required,Az oldal megadása kötelező
Page name is required,Az oldal nevének megadása kötelező
Pages,Oldalak
Parent category,Szülőkategória
Payment Setting,Fizetési beállítás
Payment mode,Fizetési mód
Payment setting saved,Fizetési beállítás mentve
Paypal Payment,Paypal fizetés
Pending start time,Függőben lévő kezdési idő
Percentage discount to entire order,Százalékos kedvezmény a teljes rendelésre
Percentage discount to specific products,Százalékos kedvezmény meghatározott termékekre
Phone,Telefon
Pick a start time to schedule this rollout.,Válasszon kezdési időt a bevezetés ütemezéséhez.
Pick a widget below to insert as a child.,Válasszon egy widgetet alább gyermekelemként való beszúráshoz.
Pick up where you left off — ${count} pending changes,"Folytassa ott, ahol abbahagyta — ${count} függőben lévő módosítás"
Pick up where you left off — 1 pending change,"Folytassa ott, ahol abbahagyta — 1 függőben lévő módosítás"
Pin drawer open,Fiók nyitva rögzítése
Pin — keep drawer open across canvas clicks,Rögzítés — a fiók nyitva tartása a vászonra kattintások között
Placed on: ${routes},Elhelyezve itt: ${routes}
Placements,Elhelyezések
Postal Code,Irányítószám
"Postcode (e.g., ""90210""). Empty for all postcodes.",Irányítószám (pl. „90210”). Üresen minden irányítószámra.
Preselected for new products. Exactly one package is the default.,Előre kiválasztva az új termékekhez. Pontosan egy csomag az alapértelmezett.
Preview,Előnézet
Price-based tiers,Ár alapú szintek
Priority,Prioritás
Priority is required,A prioritás megadása kötelező
Product Name,Termék neve
Product Status,Termék állapota
Product created successfully,A termék sikeresen létrejött
Product updated successfully,A termék sikeresen frissült
Products (${count}),Termékek (${count})
Promotion,Promóció
Proportional allocation based on cart items,Arányos elosztás a kosár tételei alapján
Provide the SEO details for the CMS page.,Adja meg a CMS-oldal SEO-adatait.
Provide the basic information for the CMS page.,Adja meg a CMS-oldal alapvető adatait.
Provider,Szolgáltató
Province Restrictions,Tartományi korlátozások
"Province code (e.g., ""CA""). Use ""*"" for all provinces.",Tartománykód (pl. „CA”). Használja a „*” jelet minden tartományra.
Provinces,Tartományok
Provinces is required,A tartományok megadása kötelező
Provinces:,Tartományok:
Publish failed,A közzététel sikertelen
Publish now,Közzététel most
Publish to the live storefront,Közzététel az élő áruházban
Publishable Key,Közzétehető kulcs
Publishing…,Közzététel…
Qty is required,A mennyiség megadása kötelező
Quick links,Gyorshivatkozások
Rate,Díj
Rate added,Díj hozzáadva
Rate is required,A díj megadása kötelező
Rate removed,Díj eltávolítva
Rate status,Díj állapota
Rate updated,Díj frissítve
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Újra (⇧⌘Z) — újra alkalmazza az utoljára visszavont módosítást ezen az oldalon
Redo last undone change on this page,Az utoljára visszavont módosítás újbóli végrehajtása ezen az oldalon
Reference,Hivatkozás
Refund,Visszatérítés
Refund amount,Visszatérítés összege
Remove Zone,Zóna eltávolítása
Remove placement,Elhelyezés eltávolítása
Remove rate,Tarifa eltávolítása
Remove this rate?,Eltávolítja ezt a tarifát?
Removed,Eltávolítva
Resize settings drawer,Beállítások panel átméretezése
"Results for ""${keyword}""","Találatok erre: ""${keyword}"""
Revert all pages to saved state,Minden oldal visszaállítása a mentett állapotra
Revert everything,Minden visszaállítása
Revert this page,Oldal visszaállítása
Revert this page only,Csak ennek az oldalnak a visszaállítása
Revert to saved state?,Visszaállítja a mentett állapotra?
Reverting…,Visszaállítás…
Rich text,Formázott szöveg
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,"Vonja vissza azokat a módosításokat, amelyeket a kiadás legutóbbi mentése óta végzett. Az élő áruházat ez nem érinti — az már a mentett állapotot tükrözi."
SEO,SEO
SEO Information,SEO-információk
SKU is required,A SKU megadása kötelező
Sale,Akció
Sandbox,Tesztkörnyezet
Save Settings,Beállítások mentése
Save as rollout plan,Mentés kiadási tervként
Save as rollout plan and leave,Mentés kiadási tervként és kilépés
Save changes,Módosítások mentése
Save failed,A mentés sikertelen
Save method,Módszer mentése
Save rate,Tarifa mentése
Saving…,Mentés…
Schedule failed,Az ütemezés sikertelen
Scheduled,Ütemezve
Search engine optimize,Keresőoptimalizálás
Search widgets,Widgetek keresése
Secret Key,Titkos kulcs
Select Category,Kategória kiválasztása
Select Parent Category,Szülőkategória kiválasztása
Select Products by SKU,Termékek kiválasztása SKU alapján
Select a provider first,Először válasszon szolgáltatót
Select a provider…,Válasszon szolgáltatót…
Select an option,Válasszon egy lehetőséget
Select category,Kategória kiválasztása
Select countries,Országok kiválasztása
Select operator,Operátor kiválasztása
Select options,Lehetőségek kiválasztása
Select page,Oldal kiválasztása
Select products to add to this collection.,Válassza ki a kollekcióhoz hozzáadandó termékeket.
Select the list of attribute,Válassza ki az attribútumok listáját
Select this option if the product is a digital product or service that does not require shipping.,"Válassza ezt a lehetőséget, ha a termék digitális termék vagy szolgáltatás, amely nem igényel szállítást."
Set a start time to schedule.,Az ütemezéshez állítson be kezdési időpontot.
Set the status and visibility of the product.,Állítsa be a termék állapotát és láthatóságát.
Share,Megosztás
Shipping Cost,Szállítási költség
Shipping Providers,Szállítási szolgáltatók
Shipping address,Szállítási cím
Shipping cost is required,A szállítási költség megadása kötelező
Shipping provider setting saved,A szállítási szolgáltató beállítása mentve
Shipping tax class,Szállítási adóosztály
Short text,Rövid szöveg
Show global areas,Globális területek megjelenítése
Show on routes,Megjelenítés útvonalakon
Show products?,Megjelenítse a termékeket?
Show this widget on every page,Jelenítse meg ezt a widgetet minden oldalon
Size (L × W × H),Méret (H × Sz × M)
Sort,Rendezés
Sort order is required,A rendezési sorrend megadása kötelező
Sort order must be a positive number,A rendezési sorrendnek pozitív számnak kell lennie
Start,Indítás
Start a page-builder session,Oldalszerkesztő munkamenet indítása
Start date,Kezdő dátum
Start new changeset,Új módosításcsomag indítása
Start time is invalid.,A kezdési időpont érvénytelen.
State Date,Állapot dátuma
Status is required,Az állapot megadása kötelező
Stay,Maradok
Stay on this page,Maradok ezen az oldalon
Stock Availability,Készlet elérhetősége
Stop highlighting global areas,Globális területek kiemelésének leállítása
Store Address,Áruház címe
Store Description,Áruház leírása
Store Email,Áruház e-mail-címe
Store Name,Áruház neve
Store Phone Number,Áruház telefonszáma
Store Setting,Áruház beállítása
Store Settings,Áruház beállításai
Store address,Áruház címe
Storefront,Áruház
Stripe Payment,Stripe-fizetés
Tablet,Táblagép
Take our survey,Töltse ki a kérdőívünket
Target Products,Célzott termékek
Tax Class,Adóosztály
Tax calculation configuration,Adószámítás konfigurációja
Tax class name,Adóosztály neve
Tax class name is required,Az adóosztály nevének megadása kötelező
Tax classes,Adóosztályok
Tax rate has been saved successfully!,Az adókulcs sikeresen mentve!
Tax setting has been saved successfully!,Az adóbeállítás sikeresen mentve!
The box or envelope this product ships in. Applies to all variants of this product.,"A doboz vagy boríték, amelyben ezt a terméket szállítják. A termék összes változatára vonatkozik."
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,"A dobozok és borítékok, amelyekkel szállít. Minden szállítható termék egyre hivatkozik — annak méretei és üres súlya határozza meg a szállítási árajánlatokat és címkéket."
The conditions related to the customer for the coupon to be applied.,"A kuponra vonatkozó, ügyféllel kapcsolatos feltételek az alkalmazáshoz."
The conditions related to the order for the coupon to be applied.,"A kuponra vonatkozó, rendeléssel kapcsolatos feltételek az alkalmazáshoz."
The default package cannot be deleted,Az alapértelmezett csomag nem törölhető
The draft holds ${count} saved changes you can publish later.,"A piszkozat ${count} mentett módosítást tartalmaz, amelyeket később közzétehet."
The draft holds 1 saved change you can publish later.,"A piszkozat 1 mentett módosítást tartalmaz, amelyet később közzétehet."
The draft is deleted.,A piszkozat törölve.
The draft itself is deleted.,Maga a piszkozat törölve.
The general information about the coupon.,Általános információk a kuponról.
"The language of the admin panel, independent of the storefront.","Az adminisztrációs felület nyelve, az áruháztól függetlenül."
The method will no longer apply to this zone.,A módszer többé nem vonatkozik erre a zónára.
The minimum quantity of items required in the order to qualify for this coupon.,A rendelésben szükséges minimális tételmennyiség a kuponra való jogosultsághoz.
The minimum total amount required for the order to qualify for this coupon.,A rendeléshez szükséges minimális végösszeg a kuponra való jogosultsághoz.
The rollout plan,A kiadási terv
The storefront's primary language. Pages in this language have no URL prefix.,Az áruház elsődleges nyelve. Az ezen a nyelven lévő oldalaknak nincs URL-előtagjuk.
The type of discount applied by the coupon.,A kupon által alkalmazott kedvezmény típusa.
The zone this rate applies to.,"A zóna, amelyre ez a tarifa vonatkozik."
"There is no ""Select"" attribute available.","Nincs elérhető ""Select"" típusú attribútum."
There is no attribute to display,Nincs megjeleníthető attribútum
There is no category to display,Nincs megjeleníthető kategória
There is no collections to display,Nincs megjeleníthető kollekció
There is no coupon to display,Nincs megjeleníthető kupon
There is no customer to display,Nincs megjeleníthető ügyfél
There is no order to display,Nincs megjeleníthető rendelés
There is no page to display,Nincs megjeleníthető oldal
There is no widget to display,Nincs megjeleníthető widget
There was an error fetching attribute groups.,Hiba történt az attribútumcsoportok lekérése közben.
There was an error fetching categories.,Hiba történt a kategóriák lekérése közben.
There was an error fetching collections.,Hiba történt a kollekciók lekérése közben.
There was an error fetching file browser APIs.,Hiba történt a fájlböngésző API-k lekérése közben.
There was an error fetching products.,Hiba történt a termékek lekérése közben.
This cannot be undone. Packages still assigned to products can't be removed.,Ez nem vonható vissza. A még termékekhez rendelt csomagok nem távolíthatók el.
This changeset has no operations yet.,Ennek a módosításcsomagnak még nincsenek műveletei.
This field is required,Ennek a mezőnek a kitöltése kötelező
This is the URL path for the CMS page.,Ez a CMS-oldal URL-útvonala.
This is the address used to calculate tax rates.,Ez az adókulcsok kiszámításához használt cím.
This is the meta title for the CMS page.,Ez a CMS-oldal metacíme.
This is the name of the CMS page that will be displayed in the admin panel.,"Ez a CMS-oldal neve, amely az adminisztrációs felületen jelenik meg."
This is the tax class applied to shipping costs.,Ez a szállítási költségekre alkalmazott adóosztály.
This product has some variants like color or size?,"Ennek a terméknek vannak változatai, például szín vagy méret?"
