Welcome Back!,Bon retour !
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Configurez le coût et les conditions par zone. Les zones sans tarif ne proposent pas cette méthode.
Configure rate,Configurer le tarif
Configure the available payment methods,Configurez les méthodes de paiement disponibles
Configure the settings for the ${name} widget.,Configurez les paramètres du widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,Configurez les classes de taxe qui seront disponibles pour vos clients lors du paiement.
Configure your Cash On Delivery payment gateway settings,Configurez les paramètres de votre passerelle de paiement à la livraison
Configure your Paypal payment gateway settings,Configurez les paramètres de votre passerelle de paiement Paypal
Configure your Stripe payment gateway settings,Configurez les paramètres de votre passerelle de paiement Stripe
Configure your store information,Configurez les informations de votre boutique
"Conflicts with ${plan1}, ${plan2}","En conflit avec ${plan1}, ${plan2}"
Conflicts with ${plan},En conflit avec ${plan}
Conflicts with ${plan} +${count},En conflit avec ${plan} +${count}
Conflicts with:,En conflit avec :
Content,Contenu
Continue a saved rollout plan,Continuer un plan de déploiement enregistré
Continue your draft,Continuer votre brouillon
Core Shipping,Livraison Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core n'est encore rattaché à aucune zone. Rattachez-le d'abord dans Paramètres → Livraison.
Cost,Coût
Cost is required,Le coût est requis
Could not start fresh,Impossible de recommencer à zéro
Countries,Pays
"Country code (e.g., ""US""). Use ""*"" for all countries.",Code pays (par ex. « US »). Utilisez « * » pour tous les pays.
Coupon Code,Code de coupon
"Coupon code can only contain letters, numbers, underscores, and hyphens","Le code de coupon ne peut contenir que des lettres, des chiffres, des traits de soulignement et des tirets"
Coupon created successfully!,Coupon créé avec succès !
Coupons,Coupons
Create A New Customer,Créer un nouveau client
Create New Package,Créer un nouveau colis
Create New Tax Class,Créer une nouvelle classe de taxe
Create New Zone,Créer une nouvelle zone
Create a new category,Créer une nouvelle catégorie
Create a new collection,Créer une nouvelle collection
Create a new coupon,Créer un nouveau coupon
Create a new page,Créer une nouvelle page
Create a new product,Créer un nouveau produit
Create a new variant for this product.,Créer une nouvelle variante pour ce produit.
Create a new widget,Créer un nouveau widget
Create a variant group,Créer un groupe de variantes
Create method,Créer la méthode
Create new tax class,Créer une nouvelle classe de taxe
Create rollout plan,Créer un plan de déploiement
Created At,Créé le
Current,Actuel
Customer,Client
Customer Email,E-mail du client
Customer conditions,Conditions client
Customer emails,E-mails du client
Customer groups,Groupes de clients
Customer's purchase,Achat du client
Customers,Clients
Customers (${count}),Clients (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Les clients de ${zone} ne verront plus les méthodes de ${name} lors du paiement. Vous pourrez le rattacher ultérieurement.
Dashboard,Tableau de bord
Date,Date
Decrease,Diminuer
Default carrier,Transporteur par défaut
Default language,Langue par défaut
Default package,Colis par défaut
Default service code,Code de service par défaut
"Delete ""${name}""?",Supprimer « ${name} » ?
Delete ${count} attributes,Supprimer ${count} attributs
Delete ${count} categories,Supprimer ${count} catégories
Delete ${count} collections,Supprimer ${count} collections
Delete ${count} pages,Supprimer ${count} pages
Delete ${count} widgets,Supprimer ${count} widgets
Delete container widget?,Supprimer le widget conteneur ?
Delete image,Supprimer l'image
"Delete package ""${name}""?",Supprimer le colis « ${name} » ?
Delete this,Supprimer ceci
Delete this widget? This will be saved as a pending change you can publish or discard.,Supprimer ce widget ? Cela sera enregistré comme une modification en attente que vous pourrez publier ou abandonner.
Delete widget?,Supprimer le widget ?
Delete zone,Supprimer la zone
"Delete zone ""${name}""?",Supprimer la zone « ${name} » ?
Deleted ${name},${name} supprimé
Deleting this,Suppression en cours
Deleting this container will also hide,La suppression de ce conteneur masquera également
Description is required,La description est obligatoire
Desktop,Ordinateur
Detach,Détacher
Detach ${name}?,Détacher ${name} ?
Disable ${count} pages,Désactiver ${count} pages
Disable ${count} widgets,Désactiver ${count} widgets
Disabled products will not be visible in the store and cannot be purchased.,Les produits désactivés ne seront pas visibles dans la boutique et ne pourront pas être achetés.
Discard changes on this page only,Annuler les modifications de cette page uniquement
Discard everything,Tout annuler
Discard everything in this draft,Tout annuler dans ce brouillon
Discard failed,Échec de l'annulation
Discard pending changes?,Annuler les modifications en attente ?
Discard this page,Annuler cette page
Discarding…,Annulation…
Discount Type,Type de remise
Discount amount,Montant de la remise
Discount amount is required,Le montant de la remise est obligatoire
Discount type is required,Le type de remise est obligatoire
Dislay Name,Nom d'affichage
Display Name,Nom d'affichage
Draft,Brouillon
Draft — not scheduled,Brouillon — non planifié
Drag to resize,Glisser pour redimensionner
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Chaque ligne place ce widget sur une page, dans une zone, avec son propre ordre de tri. Les nombres les plus bas apparaissent en premier."
Edit ${name},Modifier ${name}
Edit Shipping Zone,Modifier la zone d'expédition
Edit Tax Rate,Modifier le taux de taxe
Edit Variant,Modifier la variante
Edit Zone,Modifier la zone
Edit against the live storefront. Publish immediately or save as a rollout plan.,Modifiez directement sur la boutique en ligne. Publiez immédiatement ou enregistrez comme plan de déploiement.
Edit rollout schedule,Modifier le calendrier de déploiement
Editable routes,Routes modifiables
Editing ${coupon},Modification de ${coupon}
Editing ${fullName},Modification de ${fullName}
Editing widget ${name},Modification du widget ${name}
Edits to a shared widget update every route it appears on.,Les modifications d'un widget partagé mettent à jour toutes les routes où il apparaît.
Empty package weight,Poids du colis vide
Empty weight,Poids à vide
Enable ${count} pages,Activer ${count} pages
Enable ${count} widgets,Activer ${count} widgets
Enable this page to make it visible on the frontend.,Activez cette page pour la rendre visible sur le site.
Enable?,Activer ?
End,Fin
End Date,Date de fin
End date,Date de fin
End time is invalid.,L'heure de fin est invalide.
End time must be after start time.,L'heure de fin doit être postérieure à l'heure de début.
Enter Category Name,Saisir le nom de la catégorie
Enter Collection Name,Saisir le nom de la collection
Enter Meta Description,Saisir la méta-description
Enter Meta Title,Saisir le méta-titre
Enter Meta description,Saisir la méta-description
Enter Meta title,Saisir le méta-titre
Enter SKU,Saisir le SKU
Enter URL Key,Saisir la clé d'URL
Enter URL key,Saisir la clé d'URL
Enter customer emails,Saisir les e-mails des clients
Enter description,Saisir la description
Enter group name,Saisir le nom du groupe
Enter meta description,Saisir la méta-description
Enter meta title,Saisir le méta-titre
Enter page name,Saisir le nom de la page
Enter price,Saisir le prix
Enter product name,Saisir le nom du produit
Enter purchased amount,Saisir le montant acheté
Enter quantity,Saisir la quantité
Enter tax class name,Saisir le nom de la classe de taxe
Enter the quantity,Saisir la quantité
Enter weight,Saisir le poids
Environment,Environnement
Error loading countries,Erreur lors du chargement des pays
Error loading methods,Erreur lors du chargement des méthodes
Error loading packages,Erreur lors du chargement des colis
Error loading providers,Erreur lors du chargement des fournisseurs
Error loading zones,Erreur lors du chargement des zones
EverShop · Back to page builder,EverShop · Retour au constructeur de page
Every page rolls back to the rollout’s saved state.,Chaque page revient à l'état enregistré du déploiement.
Every page rolls back to what the rollout had saved.,Chaque page revient à ce que le déploiement avait enregistré.
Existing rollout plan: ${plan},Plan de déploiement existant : ${plan}
Expand,Développer
Expand left rail,Développer le panneau gauche
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Langues supplémentaires vers lesquelles les acheteurs peuvent basculer, en plus de la langue par défaut. La langue par défaut est toujours disponible — vous ne l'ajoutez pas ici."
Failed to attach provider,Échec de l'association du fournisseur
Failed to delete ${name},Échec de la suppression de ${name}
Failed to detach ${name},Échec du détachement de ${name}
Failed to remove rate,Échec de la suppression du taux
Failed to remove zone,Échec de la suppression de la zone
Failed to save change,Échec de l'enregistrement de la modification
Failed to save rate,Échec de l'enregistrement du taux
Failed to save zone,Échec de l'enregistrement de la zone
Failed to update rollout schedule,Échec de la mise à jour du calendrier de déploiement
Fixed discount to entire order,Remise fixe sur toute la commande
Fixed discount to specific products,Remise fixe sur des produits spécifiques
Flat rate,Tarif forfaitaire
"Flat rate in cart currency, tax-exclusive.","Tarif forfaitaire dans la devise du panier, hors taxe."
Free shipping?,Livraison gratuite ?
General Information,Informations générales
Give Feedback,Donner un avis
Global,Global
Globals,Globaux
Group,Groupe
Group Name,Nom du groupe
Group name is required,Le nom du groupe est obligatoire
Groups,Groupes
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Intervalle semi-ouvert — un panier exactement à Max est exclu (le Min du palier suivant possède ce point).
Has conflicts,Présente des conflits
Heads up — ,Attention — 
Height,Hauteur
Height is required (0 for envelopes),La hauteur est obligatoire (0 pour les enveloppes)
Height must be 0 or greater,La hauteur doit être supérieure ou égale à 0
Hide global areas,Masquer les zones globales
Higest tax rate based on cart items,Taux de taxe le plus élevé selon les articles du panier
Highlight global areas on canvas,Mettre en évidence les zones globales sur le canevas
Image,Image
Include In Menu,Inclure dans le menu
Include in Store Menu?,Inclure dans le menu de la boutique ?
Increase,Augmenter
Insert image,Insérer une image
Integer,Entier
Invalid folder name,Nom de dossier invalide
Invalid start,Début invalide
Invalid window,Fenêtre invalide
Inventory,Inventaire
Is compound,Est composé
Its rates will be removed too. This cannot be undone.,Ses taux seront également supprimés. Cette action est irréversible.
Languages,Langues
Layers,Calques
Layout,Mise en page
Leave,Quitter
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,Laissez la liste d'un pays vide pour couvrir tout le pays. Ajoutez des provinces pour limiter la livraison à des régions spécifiques.
Leaving now may drop the most recent edits that haven’t reached the server yet.,Quitter maintenant pourrait faire perdre les modifications les plus récentes qui n'ont pas encore atteint le serveur.
Length,Longueur
Length is required,La longueur est obligatoire
Length must be greater than 0,La longueur doit être supérieure à 0
Live,En direct
Loading...,Chargement...
Long text,Texte long
Lower values appear first.,Les valeurs les plus basses apparaissent en premier.
Manage Stock,Gérer le stock
Manage general information about the collection.,Gérer les informations générales sur la collection.
Manage product images and gallery. Drag and drop to reorder images.,Gérez les images et la galerie du produit. Glissez-déposez pour réorganiser les images.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Gérez les intégrations d'expédition et leurs méthodes (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Gérez les classes de taxe et les taux de taxe pour différentes régions.
Manage the SEO settings of the category.,Gérez les paramètres SEO de la catégorie.
Manage the SEO settings.,Gérez les paramètres SEO.
Manage the attributes.,Gérez les attributs.
Manage the collections associated with this product.,Gérez les collections associées à ce produit.
Manage the general information of the category.,Gérez les informations générales de la catégorie.
Manage the general information of the product.,Gérez les informations générales du produit.
Manage the inventory settings of the product.,Gérez les paramètres d'inventaire du produit.
Manage the products assigned to this category.,Gérez les produits affectés à cette catégorie.
Manage the products assigned to this collection.,Gérez les produits affectés à cette collection.
Manage the shipping settings of the product.,Gérez les paramètres de livraison du produit.
Manage the status settings of the category.,Gérez les paramètres de statut de la catégorie.
Manage the variant group of the product.,Gérez le groupe de variantes du produit.
Marketing,Marketing
Max ${unit},Max ${unit}
Max is required,Le maximum est obligatoire
Maximum,Maximum
Maximum amount is ${value} ${currency},Le montant maximum est de ${value} ${currency}
Maximum quantity is required,La quantité maximale est obligatoire
Maximum quantity must be greater than or equal to 0,La quantité maximale doit être supérieure ou égale à 0
Media,Médias
Meta Description,Méta description
Meta Title,Méta titre
Meta Title is required,Le méta titre est obligatoire
Meta description,Méta description
Meta description is required,La méta description est obligatoire
Meta title,Méta titre
Meta title is required,Le méta titre est obligatoire
Method,Méthode
Method created,Méthode créée
Method name,Nom de la méthode
Method name is required,Le nom de la méthode est obligatoire
Method updated,Méthode mise à jour
Methods →,Méthodes →
Min ${unit},Min ${unit}
Min Price,Prix min
Min Weight,Poids min
Min is required,Le minimum est obligatoire
Min price is required,Le prix minimum est obligatoire
Min weight is required,Le poids minimum est obligatoire
Minimum purchase amount,Montant d'achat minimum
Minimum purchase qty,Qté d'achat minimum
Minimum purchase quantity,Quantité d'achat minimum
Minimum purchased amount. This only applies to registered customers.,Montant d'achat minimum. Cela ne s'applique qu'aux clients inscrits.
Minimum quantity is required,La quantité minimale est obligatoire
Missing name,Nom manquant
Money,Montant
Name is required.,Le nom est obligatoire.
Navigation,Navigation
New Attribute,Nouvel attribut
New Category,Nouvelle catégorie
New Collection,Nouvelle collection
New Coupon,Nouveau coupon
New Page,Nouvelle page
New Variant,Nouvelle variante
New coupon,Nouveau coupon
New rate,Nouveau tarif
No collections,Aucune collection
No editable routes.,Aucune route modifiable.
No file selected,Aucun fichier sélectionné
No methods yet — add one to start offering Core shipping.,Aucune méthode pour le moment — ajoutez-en une pour commencer à proposer la livraison Core.
No packages yet. Create one — shippable products require a package.,Aucun colis pour le moment. Créez-en un — les produits expédiables nécessitent un colis.
No product to display.,Aucun produit à afficher.
"No providers attached. Click ""Attach Provider"" to add one.",Aucun fournisseur associé. Cliquez sur « Associer un fournisseur » pour en ajouter un.
"No rates yet — click ""Add Rate"" to offer this method in a zone.",Aucun tarif pour le moment — cliquez sur « Ajouter un tarif » pour proposer cette méthode dans une zone.
"No results for ""${keyword}""",Aucun résultat pour « ${keyword} »
No routes have opted into page-builder editing yet.,Aucune route n'a encore activé l'édition par le générateur de pages.
No shipping required?,Aucune livraison requise ?
No subdivisions available — whole country is covered.,Aucune subdivision disponible — l'ensemble du pays est couvert.
No widgets available.,Aucun widget disponible.
"No widgets match ""${query}"".",Aucun widget ne correspond à « ${query} ».
No widgets on this route yet.,Aucun widget sur cette route pour le moment.
No zones,Aucune zone
No zones found,Aucune zone trouvée
Not visible individually,Non visible individuellement
Nothing to publish,Rien à publier
Nothing to redo on this page,Rien à rétablir sur cette page
Nothing to undo on this page,Rien à annuler sur cette page
Number,Nombre
Option text is required,Le texte de l'option est obligatoire
Optional. Added to the shipping weight for quotes and labels.,Facultatif. Ajouté au poids d'expédition pour les devis et les étiquettes.
Order Number,Numéro de commande
Order conditions,Conditions de commande
Orders (${count}),Commandes (${count})
Other,Autre
Other pages keep their pending changes.,Les autres pages conservent leurs modifications en attente.
Overlaps with existing rollout: ${plans}.,Chevauche un déploiement existant : ${plans}.
Overlaps with existing rollouts: ${plans}.,Chevauche des déploiements existants : ${plans}.
Package,Colis
Package created,Colis créé
Package deleted,Colis supprimé
Package saved,Colis enregistré
Packages,Colis
Page Name,Nom de la page
Page Not Found,Page introuvable
Page builder,Générateur de pages
Page builder canvas,Zone de travail du générateur de pages
Page created successfully!,Page créée avec succès !
Page is required,La page est obligatoire
Page name is required,Le nom de la page est obligatoire
Pages,Pages
Parent category,Catégorie parente
Payment Setting,Paramètre de paiement
Payment mode,Mode de paiement
Payment setting saved,Paramètre de paiement enregistré
Paypal Payment,Paiement PayPal
Pending start time,Heure de début en attente
Percentage discount to entire order,Remise en pourcentage sur toute la commande
Percentage discount to specific products,Remise en pourcentage sur des produits spécifiques
Phone,Téléphone
Pick a start time to schedule this rollout.,Choisissez une heure de début pour planifier ce déploiement.
Pick a widget below to insert as a child.,Choisissez un widget ci-dessous à insérer comme enfant.
Pick up where you left off — ${count} pending changes,Reprenez là où vous vous êtes arrêté — ${count} modifications en attente
Pick up where you left off — 1 pending change,Reprenez là où vous vous êtes arrêté — 1 modification en attente
Pin drawer open,Épingler le panneau ouvert
Pin — keep drawer open across canvas clicks,Épingler — garder le panneau ouvert lors des clics sur la zone de travail
Placed on: ${routes},Placé sur : ${routes}
Placements,Emplacements
Postal Code,Code postal
"Postcode (e.g., ""90210""). Empty for all postcodes.",Code postal (par ex. « 90210 »). Vide pour tous les codes postaux.
Preselected for new products. Exactly one package is the default.,Présélectionné pour les nouveaux produits. Exactement un colis est défini par défaut.
Preview,Aperçu
Price-based tiers,Paliers basés sur le prix
Priority,Priorité
Priority is required,La priorité est obligatoire
Product Name,Nom du produit
Product Status,Statut du produit
Product created successfully,Produit créé avec succès
Product updated successfully,Produit mis à jour avec succès
Products (${count}),Produits (${count})
Promotion,Promotion
Proportional allocation based on cart items,Répartition proportionnelle selon les articles du panier
Provide the SEO details for the CMS page.,Fournissez les détails SEO de la page CMS.
Provide the basic information for the CMS page.,Fournissez les informations de base de la page CMS.
Provider,Fournisseur
Province Restrictions,Restrictions de province
"Province code (e.g., ""CA""). Use ""*"" for all provinces.",Code de province (par ex. « CA »). Utilisez « * » pour toutes les provinces.
Provinces,Provinces
Provinces is required,Les provinces sont obligatoires
Provinces:,Provinces :
Publish failed,Échec de la publication
Publish now,Publier maintenant
Publish to the live storefront,Publier sur la boutique en ligne
Publishable Key,Clé publiable
Publishing…,Publication…
Qty is required,La qté est obligatoire
Quick links,Liens rapides
Rate,Tarif
Rate added,Tarif ajouté
Rate is required,Le tarif est obligatoire
Rate removed,Tarif supprimé
Rate status,Statut du tarif
Rate updated,Tarif mis à jour
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Rétablir (⇧⌘Z) — réapplique la dernière modification annulée sur cette page
Redo last undone change on this page,Rétablir la dernière modification annulée sur cette page
Reference,Référence
Refund,Remboursement
Refund amount,Montant du remboursement
Remove Zone,Supprimer la zone
Remove placement,Supprimer l'emplacement
Remove rate,Supprimer le tarif
Remove this rate?,Supprimer ce tarif ?
Removed,Supprimé
Resize settings drawer,Redimensionner le panneau des paramètres
"Results for ""${keyword}""",Résultats pour « ${keyword} »
Revert all pages to saved state,Rétablir toutes les pages à l'état enregistré
Revert everything,Tout rétablir
Revert this page,Rétablir cette page
Revert this page only,Rétablir uniquement cette page
Revert to saved state?,Rétablir l'état enregistré ?
Reverting…,Rétablissement…
Rich text,Texte enrichi
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,Annule les modifications effectuées depuis le dernier enregistrement de ce déploiement. La boutique en ligne n'est pas affectée — elle reflète déjà l'état enregistré.
SEO,SEO
SEO Information,Informations SEO
SKU is required,Le SKU est requis
Sale,Promotion
Sandbox,Bac à sable
Save Settings,Enregistrer les paramètres
Save as rollout plan,Enregistrer comme plan de déploiement
Save as rollout plan and leave,Enregistrer comme plan de déploiement et quitter
Save changes,Enregistrer les modifications
Save failed,Échec de l'enregistrement
Save method,Enregistrer la méthode
Save rate,Enregistrer le tarif
Saving…,Enregistrement…
Schedule failed,Échec de la planification
Scheduled,Planifié
Search engine optimize,Optimiser pour les moteurs de recherche
Search widgets,Rechercher des widgets
Secret Key,Clé secrète
Select Category,Sélectionner une catégorie
Select Parent Category,Sélectionner la catégorie parente
Select Products by SKU,Sélectionner des produits par SKU
Select a provider first,Sélectionnez d'abord un fournisseur
Select a provider…,Sélectionner un fournisseur…
Select an option,Sélectionner une option
Select category,Sélectionner une catégorie
Select countries,Sélectionner des pays
Select operator,Sélectionner un opérateur
Select options,Sélectionner des options
Select page,Sélectionner une page
Select products to add to this collection.,Sélectionnez les produits à ajouter à cette collection.
Select the list of attribute,Sélectionnez la liste des attributs
Select this option if the product is a digital product or service that does not require shipping.,Sélectionnez cette option si le produit est un produit ou service numérique qui ne nécessite pas de livraison.
Set a start time to schedule.,Définissez une heure de début pour planifier.
Set the status and visibility of the product.,Définissez le statut et la visibilité du produit.
Share,Partager
Shipping Cost,Frais de livraison
Shipping Providers,Fournisseurs de livraison
Shipping address,Adresse de livraison
Shipping cost is required,Les frais de livraison sont requis
Shipping provider setting saved,Paramètre du fournisseur de livraison enregistré
Shipping tax class,Classe de taxe de livraison
Short text,Texte court
Show global areas,Afficher les zones globales
Show on routes,Afficher sur les routes
Show products?,Afficher les produits ?
Show this widget on every page,Afficher ce widget sur toutes les pages
Size (L × W × H),Dimensions (L × l × H)
Sort,Trier
Sort order is required,L'ordre de tri est requis
Sort order must be a positive number,L'ordre de tri doit être un nombre positif
Start,Démarrer
Start a page-builder session,Démarrer une session de création de page
Start date,Date de début
Start new changeset,Démarrer un nouvel ensemble de modifications
Start time is invalid.,L'heure de début est invalide.
State Date,Date d'état
Status is required,Le statut est requis
Stay,Rester
Stay on this page,Rester sur cette page
Stock Availability,Disponibilité du stock
Stop highlighting global areas,Arrêter de surligner les zones globales
Store Address,Adresse de la boutique
Store Description,Description de la boutique
Store Email,E-mail de la boutique
Store Name,Nom de la boutique
Store Phone Number,Numéro de téléphone de la boutique
Store Setting,Paramètre de la boutique
Store Settings,Paramètres de la boutique
Store address,Adresse de la boutique
Storefront,Boutique en ligne
Stripe Payment,Paiement Stripe
Tablet,Tablette
Take our survey,Répondre à notre enquête
Target Products,Produits cibles
Tax Class,Classe de taxe
Tax calculation configuration,Configuration du calcul des taxes
Tax class name,Nom de la classe de taxe
Tax class name is required,Le nom de la classe de taxe est requis
Tax classes,Classes de taxe
Tax rate has been saved successfully!,Le taux de taxe a été enregistré avec succès !
Tax setting has been saved successfully!,Le paramètre de taxe a été enregistré avec succès !
The box or envelope this product ships in. Applies to all variants of this product.,La boîte ou l'enveloppe dans laquelle ce produit est expédié. S'applique à toutes les variantes de ce produit.
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,Les boîtes et enveloppes que vous utilisez pour l'expédition. Chaque produit expédiable en référence une — ses dimensions et son poids à vide déterminent les devis et étiquettes de livraison.
The conditions related to the customer for the coupon to be applied.,Les conditions liées au client pour que le coupon soit appliqué.
The conditions related to the order for the coupon to be applied.,Les conditions liées à la commande pour que le coupon soit appliqué.
The default package cannot be deleted,Le colis par défaut ne peut pas être supprimé
The draft holds ${count} saved changes you can publish later.,Le brouillon contient ${count} modifications enregistrées que vous pouvez publier ultérieurement.
The draft holds 1 saved change you can publish later.,Le brouillon contient 1 modification enregistrée que vous pouvez publier ultérieurement.
The draft is deleted.,Le brouillon est supprimé.
The draft itself is deleted.,Le brouillon lui-même est supprimé.
The general information about the coupon.,Les informations générales sur le coupon.
"The language of the admin panel, independent of the storefront.","La langue du panneau d'administration, indépendante de la boutique en ligne."
The method will no longer apply to this zone.,La méthode ne s'appliquera plus à cette zone.
The minimum quantity of items required in the order to qualify for this coupon.,La quantité minimale d'articles requise dans la commande pour bénéficier de ce coupon.
The minimum total amount required for the order to qualify for this coupon.,Le montant total minimum requis pour que la commande bénéficie de ce coupon.
The rollout plan,Le plan de déploiement
The storefront's primary language. Pages in this language have no URL prefix.,La langue principale de la boutique en ligne. Les pages dans cette langue n'ont pas de préfixe d'URL.
The type of discount applied by the coupon.,Le type de remise appliquée par le coupon.
The zone this rate applies to.,La zone à laquelle ce tarif s'applique.
"There is no ""Select"" attribute available.",Aucun attribut « Select » n'est disponible.
There is no attribute to display,Aucun attribut à afficher
There is no category to display,Aucune catégorie à afficher
There is no collections to display,Aucune collection à afficher
There is no coupon to display,Aucun coupon à afficher
There is no customer to display,Aucun client à afficher
There is no order to display,Aucune commande à afficher
There is no page to display,Aucune page à afficher
There is no widget to display,Aucun widget à afficher
There was an error fetching attribute groups.,Une erreur s'est produite lors de la récupération des groupes d'attributs.
There was an error fetching categories.,Une erreur s'est produite lors de la récupération des catégories.
There was an error fetching collections.,Une erreur s'est produite lors de la récupération des collections.
There was an error fetching file browser APIs.,Une erreur s'est produite lors de la récupération des API du gestionnaire de fichiers.
There was an error fetching products.,Une erreur s'est produite lors de la récupération des produits.
This cannot be undone. Packages still assigned to products can't be removed.,Cette action est irréversible. Les colis encore attribués à des produits ne peuvent pas être supprimés.
This changeset has no operations yet.,Cet ensemble de modifications ne contient encore aucune opération.
This field is required,Ce champ est requis
This is the URL path for the CMS page.,Il s'agit du chemin d'URL de la page CMS.
This is the address used to calculate tax rates.,Il s'agit de l'adresse utilisée pour calculer les taux de taxe.
This is the meta title for the CMS page.,Il s'agit du méta-titre de la page CMS.
This is the name of the CMS page that will be displayed in the admin panel.,Il s'agit du nom de la page CMS qui sera affiché dans le panneau d'administration.
This is the tax class applied to shipping costs.,Il s'agit de la classe de taxe appliquée aux frais de livraison.
This product has some variants like color or size?,Ce produit a-t-il des variantes comme la couleur ou la taille ?
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,Ce fournisseur n'a pas de configuration par zone. Les méthodes et tarifs par zone sont gérés dans l'espace d'administration propre au fournisseur.
This removes the zone along with its provider attachments and rates. This cannot be undone.,Ceci supprime la zone ainsi que ses rattachements de fournisseurs et ses tarifs. Cette action est irréversible.
This route has unpublished changes in your draft,Cette route comporte des modifications non publiées dans votre brouillon
This will be saved as a pending change you can publish or discard.,Ceci sera enregistré comme une modification en attente que vous pouvez publier ou annuler.
Tiered,Par paliers
Type is required,Le type est requis
URL Key,Clé d'URL
URL Key is required,La clé d'URL est requise
"URL Key must be lowercase and can only contain letters, numbers, and hyphens","La clé d'URL doit être en minuscules et ne peut contenir que des lettres, des chiffres et des traits d'union"
URL key,Clé d'URL
URL key is required,La clé d'URL est requise
URL key must be lowercase and can only contain alphanumeric characters and hyphens,La clé d'URL doit être en minuscules et ne peut contenir que des caractères alphanumériques et des traits d'union
Unassign,Désaffecter
Undo (⌘Z) — undoes your last edit on this page,Annuler (⌘Z) — annule votre dernière modification sur cette page
Undo / Redo,Annuler / Rétablir
Undo last change on this page,Annuler la dernière modification sur cette page
Unknown,Inconnu
Unlink,Dissocier
Unpin drawer,Détacher le panneau
Unpin — drawer will close when you click empty canvas,Détacher — le panneau se fermera lorsque vous cliquerez sur le canevas vide
Unpublished changes,Modifications non publiées
Unsaved changes,Modifications non enregistrées
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,Mettez à jour le nom et la fenêtre active de ce plan de déploiement. Les modifications de contenu sont gérées séparément dans l'éditeur.
Update the variant details and attributes here.,Mettez à jour les détails et les attributs de la variante ici.
Updated,Mis à jour
Upload an image for the category.,Téléversez une image pour la catégorie.
Used Times,Nombre d'utilisations
Value is required,La valeur est requise
Variant Group,Groupe de variantes
Variant created successfully,Variante créée avec succès
Variant updated successfully,Variante mise à jour avec succès
Version ${version},Version ${version}
Visibility,Visibilité
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,La visibilité détermine où le produit apparaît dans la boutique. Elle n'affecte pas la disponibilité à la vente du produit.
Visitors will see the new layout on their next page load.,Les visiteurs verront la nouvelle mise en page lors de leur prochain chargement de page.
Webhook Secret Key,Clé secrète du webhook
Weight,Poids
Weight must be 0 or greater,Le poids doit être égal ou supérieur à 0
Weight must be a positive number,Le poids doit être un nombre positif
Weight-based tiers,Paliers basés sur le poids
Widget Settings,Paramètres du widget
Widget created successfully!,Widget créé avec succès !
Widgets,Widgets
Width,Largeur
Width is required,La largeur est requise
Width must be greater than 0,La largeur doit être supérieure à 0
Will roll out automatically: ${range},Sera déployé automatiquement : ${range}
Working…,En cours…
Worldwide,Monde entier
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,Vous avez ${count} modifications dans ce brouillon qui n'ont pas encore été publiées.
You have ${count} changes still saving.,Vous avez ${count} modifications en cours d'enregistrement.
You have 1 change in this draft that hasn’t been published yet.,Vous avez 1 modification dans ce brouillon qui n'a pas encore été publiée.
You have 1 change still saving.,Vous avez 1 modification en cours d'enregistrement.
Your draft is safe on the server — you can come back and publish it any time.,Votre brouillon est sauvegardé sur le serveur — vous pouvez revenir le publier à tout moment.
Your edits on other pages stay in the draft.,Vos modifications sur les autres pages restent dans le brouillon.
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,L'URL de votre webhook devrait être : https://yourdomain.com/api/stripe/webhook
Zone,Zone
Zone Name,Nom de la zone
Zone Rates,Tarifs de la zone
Zone created,Zone créée
Zone is required,La zone est requise
Zone name is required,Le nom de la zone est requis
Zone removed,Zone supprimée
Zone updated,Zone mise à jour
Zones served,Zones desservies
and ${count} more,et ${count} de plus
container will also hide,le conteneur sera également masqué
current page,page actuelle
e.g. Small Box,p. ex. Petite boîte
e.g. Summer Sale 2026,p. ex. Soldes d'été 2026
e.g. content,p. ex. contenu
"e.g., 10.00","p. ex. 10,00"
"e.g., EU, US-West","p. ex. EU, US-West"
"e.g., Express",p. ex. Express
"e.g., FEDEX_GROUND, usps_priority","p. ex. FEDEX_GROUND, usps_priority"
every page,chaque page
