Welcome Back!,Willkommen zurück!
Attribute Name,Attributname
Attribute code is required,Attributcode ist erforderlich
Attribute created successfully!,Attribut erfolgreich erstellt!
Attribute group,Attributgruppe
Attribute name is required,Attributname ist erforderlich
Authorize only,Nur autorisieren
Auto-saves while you edit,Automatisches Speichern während der Bearbeitung
Back To Dashboard,Zurück zum Dashboard
Base calculation address,Basisberechnungsadresse
Based on cart subtotal,Basierend auf Warenkorb-Zwischensumme
Based on cart weight,Basierend auf Warenkorbgewicht
Basic configuration,Grundkonfiguration
Boolean,Boolescher Wert
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,Integrierte Versandmethoden mit zonenspezifischen Tarifen. Weisen Sie Core zunächst unter Einstellungen → Versand einer Zone zu; fügen Sie dann hier Methoden hinzu und konfigurieren Sie deren Tarife pro Zone.
Buy X get Y,"Kaufe X, erhalte Y"
CMS,CMS
Calculation type,Berechnungsart
Can not change the attribute group of a product that is already in a variant group.,"Die Attributgruppe eines Produkts, das bereits in einer Variantengruppe ist, kann nicht geändert werden."
Cancel rollout,Rollout abbrechen
Cancel rollout plan?,Rollout-Plan abbrechen?
Canvas device width,Canvas-Gerätebreite
Capture,Erfassen
Capture Payment,Zahlung erfassen
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,"Versandhinweis für die Abwicklung — wird nie an der Kasse angezeigt. NewShipmentDialog nutzt dies, um den Versanddienstleister vorauszuwählen."
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,"Versanddienstleister-spezifischer Servicecode beim Kauf eines Etiketts (CreateLabelInput.serviceCode). Freiform — prüfen Sie das genaue Token in der API-Dokumentation des Versanddienstleisters. Leer lassen, damit der Versanddienstleister seinen Standarddienst wählt."
Cash On Delivery Payment,Zahlung per Nachnahme
"Catalog, Search","Katalog, Suche"
Category Image,Kategoriebild
Category Name,Kategoriename
Category created successfully!,Kategorie erfolgreich erstellt!
Category name is required,Kategoriename ist erforderlich
Choose Attribute Groups,Attributgruppen auswählen
Choose Categories,Kategorien auswählen
Choose Collections,Kollektionen auswählen
Choose SKUs,SKUs auswählen
Choose how much of your unpublished work to discard. The published storefront is not affected.,"Wählen Sie, wie viel Ihrer unveröffentlichten Arbeit verworfen werden soll. Der veröffentlichte Shop ist nicht betroffen."
Choose where you ship and how much you charge for shipping.,"Wählen Sie, wohin Sie versenden und wie viel Sie für den Versand berechnen."
Clear filter,Filter zurücksetzen
Clear filters,Filter zurücksetzen
Client ID,Client-ID
Client Secret,Client-Secret
Close,Schließen
Close settings,Einstellungen schließen
Close — continue draft,Schließen — Entwurf fortsetzen
Cms Pages,CMS-Seiten
Collapse left rail,Linke Leiste einklappen
Collapse panel,Panel einklappen
Collection Code,Kollektionscode
Collection Name,Kollektionsname
Collection code is required,Kollektionscode ist erforderlich
Collection code must be alphanumeric and can include underscores or dashes.,Der Kollektionscode muss alphanumerisch sein und kann Unterstriche oder Bindestriche enthalten.
Collection created successfully!,Kollektion erfolgreich erstellt!
Color,Farbe
Commerce,Commerce
Compound,Zusammengesetzt
Condition,Bedingung
Configure,Konfigurieren
Configure cost and conditions per zone. Zones without a rate don't offer this method.,Konfigurieren Sie Kosten und Bedingungen pro Zone. Zonen ohne Tarif bieten diese Methode nicht an.
Configure rate,Tarif konfigurieren
Configure the available payment methods,Konfigurieren Sie die verfügbaren Zahlungsmethoden
Configure the settings for the ${name} widget.,Konfigurieren Sie die Einstellungen für das Widget ${name}.
Configure the tax classes that will be available to your customers at checkout.,"Konfigurieren Sie die Steuerklassen, die Ihren Kunden an der Kasse zur Verfügung stehen."
Configure your Cash On Delivery payment gateway settings,Konfigurieren Sie die Einstellungen Ihres Nachnahme-Zahlungsgateways
Configure your Paypal payment gateway settings,Konfigurieren Sie die Einstellungen Ihres PayPal-Zahlungsgateways
Configure your Stripe payment gateway settings,Konfigurieren Sie die Einstellungen Ihres Stripe-Zahlungsgateways
Configure your store information,Konfigurieren Sie Ihre Shop-Informationen
"Conflicts with ${plan1}, ${plan2}","Konflikt mit ${plan1}, ${plan2}"
Conflicts with ${plan},Konflikt mit ${plan}
Conflicts with ${plan} +${count},Konflikt mit ${plan} +${count}
Conflicts with:,Konflikt mit:
Content,Inhalt
Continue a saved rollout plan,Gespeicherten Rollout-Plan fortsetzen
Continue your draft,Entwurf fortsetzen
Core Shipping,Core-Versand
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core ist noch keiner Zone zugewiesen. Weisen Sie es zuerst unter Einstellungen → Versand zu.
Cost,Kosten
Cost is required,Kosten sind erforderlich
Could not start fresh,Neustart nicht möglich
Countries,Länder
"Country code (e.g., ""US""). Use ""*"" for all countries.","Ländercode (z. B. ""US""). Verwenden Sie ""*"" für alle Länder."
Coupon Code,Gutscheincode
"Coupon code can only contain letters, numbers, underscores, and hyphens","Der Gutscheincode darf nur Buchstaben, Zahlen, Unterstriche und Bindestriche enthalten"
Coupon created successfully!,Gutschein erfolgreich erstellt!
Coupons,Gutscheine
Create A New Customer,Neuen Kunden erstellen
Create New Package,Neues Paket erstellen
Create New Tax Class,Neue Steuerklasse erstellen
Create New Zone,Neue Zone erstellen
Create a new category,Neue Kategorie erstellen
Create a new collection,Neue Kollektion erstellen
Create a new coupon,Neuen Gutschein erstellen
Create a new page,Neue Seite erstellen
Create a new product,Neues Produkt erstellen
Create a new variant for this product.,Eine neue Variante für dieses Produkt erstellen.
Create a new widget,Neues Widget erstellen
Create a variant group,Variantengruppe erstellen
Create method,Methode erstellen
Create new tax class,Neue Steuerklasse erstellen
Create rollout plan,Rollout-Plan erstellen
Created At,Erstellt am
Current,Aktuell
Customer,Kunde
Customer Email,Kunden-E-Mail
Customer conditions,Kundenbedingungen
Customer emails,Kunden-E-Mails
Customer groups,Kundengruppen
Customer's purchase,Kauf des Kunden
Customers,Kunden
Customers (${count}),Kunden (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,Kunden in ${zone} sehen die Methoden von ${name} nicht mehr an der Kasse. Sie können sie später erneut zuweisen.
Dashboard,Dashboard
Date,Datum
Decrease,Verringern
Default carrier,Standard-Versanddienstleister
Default language,Standardsprache
Default package,Standardpaket
Default service code,Standard-Servicecode
"Delete ""${name}""?","""${name}"" löschen?"
Delete ${count} attributes,${count} Attribute löschen
Delete ${count} categories,${count} Kategorien löschen
Delete ${count} collections,${count} Kollektionen löschen
Delete ${count} pages,${count} Seiten löschen
Delete ${count} widgets,${count} Widgets löschen
Delete container widget?,Container-Widget löschen?
Delete image,Bild löschen
"Delete package ""${name}""?","Paket ""${name}"" löschen?"
Delete this,Dies löschen
Delete this widget? This will be saved as a pending change you can publish or discard.,"Dieses Widget löschen? Dies wird als ausstehende Änderung gespeichert, die Sie veröffentlichen oder verwerfen können."
Delete widget?,Widget löschen?
Delete zone,Zone löschen
"Delete zone ""${name}""?","Zone ""${name}"" löschen?"
Deleted ${name},${name} gelöscht
Deleting this,Löschen von
Deleting this container will also hide,Das Löschen dieses Containers blendet auch aus
Description is required,Beschreibung ist erforderlich
Desktop,Desktop
Detach,Entfernen
Detach ${name}?,${name} entfernen?
Disable ${count} pages,${count} Seiten deaktivieren
Disable ${count} widgets,${count} Widgets deaktivieren
Disabled products will not be visible in the store and cannot be purchased.,Deaktivierte Produkte sind im Shop nicht sichtbar und können nicht gekauft werden.
Discard changes on this page only,Änderungen nur auf dieser Seite verwerfen
Discard everything,Alles verwerfen
Discard everything in this draft,Alles in diesem Entwurf verwerfen
Discard failed,Verwerfen fehlgeschlagen
Discard pending changes?,Ausstehende Änderungen verwerfen?
Discard this page,Diese Seite verwerfen
Discarding…,Wird verworfen…
Discount Type,Rabattart
Discount amount,Rabattbetrag
Discount amount is required,Rabattbetrag ist erforderlich
Discount type is required,Rabattart ist erforderlich
Dislay Name,Anzeigename
Display Name,Anzeigename
Draft,Entwurf
Draft — not scheduled,Entwurf — nicht geplant
Drag to resize,Zum Ändern der Größe ziehen
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","Jede Zeile platziert dieses Widget auf einer Seite, in einem Bereich, mit eigener Sortierreihenfolge. Niedrigere Zahlen erscheinen zuerst."
Edit ${name},${name} bearbeiten
Edit Shipping Zone,Versandzone bearbeiten
Edit Tax Rate,Steuersatz bearbeiten
Edit Variant,Variante bearbeiten
Edit Zone,Zone bearbeiten
Edit against the live storefront. Publish immediately or save as a rollout plan.,Am Live-Shop bearbeiten. Sofort veröffentlichen oder als Rollout-Plan speichern.
Edit rollout schedule,Rollout-Zeitplan bearbeiten
Editable routes,Bearbeitbare Routen
Editing ${coupon},${coupon} wird bearbeitet
Editing ${fullName},${fullName} wird bearbeitet
Editing widget ${name},Widget ${name} wird bearbeitet
Edits to a shared widget update every route it appears on.,"Änderungen an einem geteilten Widget aktualisieren jede Route, auf der es erscheint."
Empty package weight,Leergewicht des Pakets
Empty weight,Leergewicht
Enable ${count} pages,${count} Seiten aktivieren
Enable ${count} widgets,${count} Widgets aktivieren
Enable this page to make it visible on the frontend.,"Aktivieren Sie diese Seite, um sie im Frontend sichtbar zu machen."
Enable?,Aktivieren?
End,Ende
End Date,Enddatum
End date,Enddatum
End time is invalid.,Endzeit ist ungültig.
End time must be after start time.,Endzeit muss nach der Startzeit liegen.
Enter Category Name,Kategoriename eingeben
Enter Collection Name,Kollektionsname eingeben
Enter Meta Description,Meta-Beschreibung eingeben
Enter Meta Title,Meta-Titel eingeben
Enter Meta description,Meta-Beschreibung eingeben
Enter Meta title,Meta-Titel eingeben
Enter SKU,SKU eingeben
Enter URL Key,URL-Schlüssel eingeben
Enter URL key,URL-Schlüssel eingeben
Enter customer emails,Kunden-E-Mails eingeben
Enter description,Beschreibung eingeben
Enter group name,Gruppenname eingeben
Enter meta description,Meta-Beschreibung eingeben
Enter meta title,Meta-Titel eingeben
Enter page name,Seitenname eingeben
Enter price,Preis eingeben
Enter product name,Produktname eingeben
Enter purchased amount,Kaufbetrag eingeben
Enter quantity,Menge eingeben
Enter tax class name,Name der Steuerklasse eingeben
Enter the quantity,Menge eingeben
Enter weight,Gewicht eingeben
Environment,Umgebung
Error loading countries,Fehler beim Laden der Länder
Error loading methods,Fehler beim Laden der Methoden
Error loading packages,Fehler beim Laden der Pakete
Error loading providers,Fehler beim Laden der Anbieter
Error loading zones,Fehler beim Laden der Zonen
EverShop · Back to page builder,EverShop · Zurück zum Seiten-Builder
Every page rolls back to the rollout’s saved state.,Jede Seite wird auf den gespeicherten Zustand des Rollouts zurückgesetzt.
Every page rolls back to what the rollout had saved.,Jede Seite wird auf den vom Rollout gespeicherten Zustand zurückgesetzt.
Existing rollout plan: ${plan},Bestehender Rollout-Plan: ${plan}
Expand,Erweitern
Expand left rail,Linke Leiste erweitern
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.","Zusätzliche Sprachen, zu denen Käufer zusätzlich zur Standardsprache wechseln können. Die Standardsprache ist immer verfügbar — Sie fügen sie hier nicht hinzu."
Failed to attach provider,Anbieter konnte nicht zugewiesen werden
Failed to delete ${name},${name} konnte nicht gelöscht werden
Failed to detach ${name},${name} konnte nicht entfernt werden
Failed to remove rate,Satz konnte nicht entfernt werden
Failed to remove zone,Zone konnte nicht entfernt werden
Failed to save change,Änderung konnte nicht gespeichert werden
Failed to save rate,Satz konnte nicht gespeichert werden
Failed to save zone,Zone konnte nicht gespeichert werden
Failed to update rollout schedule,Rollout-Zeitplan konnte nicht aktualisiert werden
Fixed discount to entire order,Fester Rabatt auf die gesamte Bestellung
Fixed discount to specific products,Fester Rabatt auf bestimmte Produkte
Flat rate,Pauschalpreis
"Flat rate in cart currency, tax-exclusive.","Pauschalpreis in der Warenkorbwährung, ohne Steuern."
Free shipping?,Kostenloser Versand?
General Information,Allgemeine Informationen
Give Feedback,Feedback geben
Global,Global
Globals,Globale Elemente
Group,Gruppe
Group Name,Gruppenname
Group name is required,Gruppenname ist erforderlich
Groups,Gruppen
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,Halboffenes Intervall — ein Warenkorb genau bei Max ist ausgeschlossen (der Min-Wert der nächsten Stufe besitzt diesen Punkt).
Has conflicts,Hat Konflikte
Heads up — ,Hinweis — 
Height,Höhe
Height is required (0 for envelopes),Höhe ist erforderlich (0 für Umschläge)
Height must be 0 or greater,Höhe muss 0 oder größer sein
Hide global areas,Globale Bereiche ausblenden
Higest tax rate based on cart items,Höchster Steuersatz basierend auf den Warenkorbartikeln
Highlight global areas on canvas,Globale Bereiche auf der Arbeitsfläche hervorheben
Image,Bild
Include In Menu,Im Menü einschließen
Include in Store Menu?,Im Shop-Menü einschließen?
Increase,Erhöhen
Insert image,Bild einfügen
Integer,Ganzzahl
Invalid folder name,Ungültiger Ordnername
Invalid start,Ungültiger Start
Invalid window,Ungültiger Zeitraum
Inventory,Lagerbestand
Is compound,Ist zusammengesetzt
Its rates will be removed too. This cannot be undone.,Ihre Sätze werden ebenfalls entfernt. Dies kann nicht rückgängig gemacht werden.
Languages,Sprachen
Layers,Ebenen
Layout,Layout
Leave,Verlassen
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,"Lassen Sie die Länderliste leer, um das gesamte Land abzudecken. Fügen Sie Provinzen hinzu, um den Versand auf bestimmte Regionen zu beschränken."
Leaving now may drop the most recent edits that haven’t reached the server yet.,"Wenn Sie jetzt verlassen, gehen möglicherweise die neuesten Änderungen verloren, die den Server noch nicht erreicht haben."
Length,Länge
Length is required,Länge ist erforderlich
Length must be greater than 0,Länge muss größer als 0 sein
Live,Live
Loading...,Wird geladen...
Long text,Langer Text
Lower values appear first.,Niedrigere Werte erscheinen zuerst.
Manage Stock,Bestand verwalten
Manage general information about the collection.,Allgemeine Informationen zur Kollektion verwalten.
Manage product images and gallery. Drag and drop to reorder images.,Produktbilder und Galerie verwalten. Per Drag-and-drop neu anordnen.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","Versandintegrationen und ihre Methoden verwalten (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,Steuerklassen und Steuersätze für verschiedene Regionen verwalten.
Manage the SEO settings of the category.,Die SEO-Einstellungen der Kategorie verwalten.
Manage the SEO settings.,Die SEO-Einstellungen verwalten.
Manage the attributes.,Die Attribute verwalten.
Manage the collections associated with this product.,Die mit diesem Produkt verknüpften Kollektionen verwalten.
Manage the general information of the category.,Die allgemeinen Informationen der Kategorie verwalten.
Manage the general information of the product.,Die allgemeinen Informationen des Produkts verwalten.
Manage the inventory settings of the product.,Die Lagerbestandseinstellungen des Produkts verwalten.
Manage the products assigned to this category.,Die dieser Kategorie zugewiesenen Produkte verwalten.
Manage the products assigned to this collection.,Die dieser Kollektion zugewiesenen Produkte verwalten.
Manage the shipping settings of the product.,Die Versandeinstellungen des Produkts verwalten.
Manage the status settings of the category.,Die Statuseinstellungen der Kategorie verwalten.
Manage the variant group of the product.,Die Variantengruppe des Produkts verwalten.
Marketing,Marketing
Max ${unit},Max. ${unit}
Max is required,Max. ist erforderlich
Maximum,Maximum
Maximum amount is ${value} ${currency},Höchstbetrag ist ${value} ${currency}
Maximum quantity is required,Maximalmenge ist erforderlich
Maximum quantity must be greater than or equal to 0,Maximalmenge muss größer oder gleich 0 sein
Media,Medien
Meta Description,Meta-Beschreibung
Meta Title,Meta-Titel
Meta Title is required,Meta-Titel ist erforderlich
Meta description,Meta-Beschreibung
Meta description is required,Meta-Beschreibung ist erforderlich
Meta title,Meta-Titel
Meta title is required,Meta-Titel ist erforderlich
Method,Methode
Method created,Methode erstellt
Method name,Methodenname
Method name is required,Methodenname ist erforderlich
Method updated,Methode aktualisiert
Methods →,Methoden →
Min ${unit},Min. ${unit}
Min Price,Min. Preis
Min Weight,Min. Gewicht
Min is required,Min. ist erforderlich
Min price is required,Min. Preis ist erforderlich
Min weight is required,Min. Gewicht ist erforderlich
Minimum purchase amount,Mindesteinkaufsbetrag
Minimum purchase qty,Mindesteinkaufsmenge
Minimum purchase quantity,Mindesteinkaufsmenge
Minimum purchased amount. This only applies to registered customers.,Mindesteinkaufsbetrag. Gilt nur für registrierte Kunden.
Minimum quantity is required,Mindestmenge ist erforderlich
Missing name,Name fehlt
Money,Geld
Name is required.,Name ist erforderlich.
Navigation,Navigation
New Attribute,Neues Attribut
New Category,Neue Kategorie
New Collection,Neue Kollektion
New Coupon,Neuer Gutschein
New Page,Neue Seite
New Variant,Neue Variante
New coupon,Neuer Gutschein
New rate,Neuer Tarif
No collections,Keine Kollektionen
No editable routes.,Keine bearbeitbaren Routen.
No file selected,Keine Datei ausgewählt
No methods yet — add one to start offering Core shipping.,"Noch keine Methoden — fügen Sie eine hinzu, um Core-Versand anzubieten."
No packages yet. Create one — shippable products require a package.,Noch keine Pakete. Erstellen Sie eines — versandfähige Produkte benötigen ein Paket.
No product to display.,Kein Produkt zum Anzeigen.
"No providers attached. Click ""Attach Provider"" to add one.","Keine Anbieter zugeordnet. Klicken Sie auf ""Anbieter zuordnen"", um einen hinzuzufügen."
"No rates yet — click ""Add Rate"" to offer this method in a zone.","Noch keine Tarife — klicken Sie auf ""Tarif hinzufügen"", um diese Methode in einer Zone anzubieten."
"No results for ""${keyword}""","Keine Ergebnisse für ""${keyword}"""
No routes have opted into page-builder editing yet.,Noch haben keine Routen die Page-Builder-Bearbeitung aktiviert.
No shipping required?,Kein Versand erforderlich?
No subdivisions available — whole country is covered.,Keine Untergliederungen verfügbar — das gesamte Land ist abgedeckt.
No widgets available.,Keine Widgets verfügbar.
"No widgets match ""${query}"".","Keine Widgets entsprechen ""${query}""."
No widgets on this route yet.,Noch keine Widgets auf dieser Route.
No zones,Keine Zonen
No zones found,Keine Zonen gefunden
Not visible individually,Nicht einzeln sichtbar
Nothing to publish,Nichts zu veröffentlichen
Nothing to redo on this page,Nichts zum Wiederholen auf dieser Seite
Nothing to undo on this page,Nichts zum Rückgängigmachen auf dieser Seite
Number,Nummer
Option text is required,Optionstext ist erforderlich
Optional. Added to the shipping weight for quotes and labels.,Optional. Wird dem Versandgewicht für Angebote und Etiketten hinzugefügt.
Order Number,Bestellnummer
Order conditions,Bestellbedingungen
Orders (${count}),Bestellungen (${count})
Other,Sonstiges
Other pages keep their pending changes.,Andere Seiten behalten ihre ausstehenden Änderungen.
Overlaps with existing rollout: ${plans}.,Überschneidet sich mit bestehendem Rollout: ${plans}.
Overlaps with existing rollouts: ${plans}.,Überschneidet sich mit bestehenden Rollouts: ${plans}.
Package,Paket
Package created,Paket erstellt
Package deleted,Paket gelöscht
Package saved,Paket gespeichert
Packages,Pakete
Page Name,Seitenname
Page Not Found,Seite nicht gefunden
Page builder,Page Builder
Page builder canvas,Page-Builder-Arbeitsfläche
Page created successfully!,Seite erfolgreich erstellt!
Page is required,Seite ist erforderlich
Page name is required,Seitenname ist erforderlich
Pages,Seiten
Parent category,Übergeordnete Kategorie
Payment Setting,Zahlungseinstellung
Payment mode,Zahlungsmodus
Payment setting saved,Zahlungseinstellung gespeichert
Paypal Payment,PayPal-Zahlung
Pending start time,Ausstehende Startzeit
Percentage discount to entire order,Prozentualer Rabatt auf die gesamte Bestellung
Percentage discount to specific products,Prozentualer Rabatt auf bestimmte Produkte
Phone,Telefon
Pick a start time to schedule this rollout.,"Wählen Sie eine Startzeit, um diesen Rollout zu planen."
Pick a widget below to insert as a child.,Wählen Sie unten ein Widget zum Einfügen als untergeordnetes Element.
Pick up where you left off — ${count} pending changes,"Machen Sie dort weiter, wo Sie aufgehört haben — ${count} ausstehende Änderungen"
Pick up where you left off — 1 pending change,"Machen Sie dort weiter, wo Sie aufgehört haben — 1 ausstehende Änderung"
Pin drawer open,Bedienfeld offen anheften
Pin — keep drawer open across canvas clicks,Anheften — Bedienfeld über Arbeitsflächen-Klicks hinweg offen halten
Placed on: ${routes},Platziert auf: ${routes}
Placements,Platzierungen
Postal Code,Postleitzahl
"Postcode (e.g., ""90210""). Empty for all postcodes.","Postleitzahl (z. B. ""90210""). Leer für alle Postleitzahlen."
Preselected for new products. Exactly one package is the default.,Vorausgewählt für neue Produkte. Genau ein Paket ist die Standardeinstellung.
Preview,Vorschau
Price-based tiers,Preisbasierte Stufen
Priority,Priorität
Priority is required,Priorität ist erforderlich
Product Name,Produktname
Product Status,Produktstatus
Product created successfully,Produkt erfolgreich erstellt
Product updated successfully,Produkt erfolgreich aktualisiert
Products (${count}),Produkte (${count})
Promotion,Aktion
Proportional allocation based on cart items,Anteilige Zuordnung basierend auf Warenkorbartikeln
Provide the SEO details for the CMS page.,Geben Sie die SEO-Details für die CMS-Seite an.
Provide the basic information for the CMS page.,Geben Sie die Basisinformationen für die CMS-Seite an.
Provider,Anbieter
Province Restrictions,Provinzbeschränkungen
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","Provinzcode (z. B. ""CA""). Verwenden Sie ""*"" für alle Provinzen."
Provinces,Provinzen
Provinces is required,Provinzen sind erforderlich
Provinces:,Provinzen:
Publish failed,Veröffentlichung fehlgeschlagen
Publish now,Jetzt veröffentlichen
Publish to the live storefront,Im Live-Shop veröffentlichen
Publishable Key,Publishable Key
Publishing…,Wird veröffentlicht…
Qty is required,Menge ist erforderlich
Quick links,Schnelllinks
Rate,Tarif
Rate added,Tarif hinzugefügt
Rate is required,Tarif ist erforderlich
Rate removed,Tarif entfernt
Rate status,Tarifstatus
Rate updated,Tarif aktualisiert
Redo (⇧⌘Z) — re-applies the last undone edit on this page,Wiederholen (⇧⌘Z) — wendet die zuletzt rückgängig gemachte Änderung auf dieser Seite erneut an
Redo last undone change on this page,Zuletzt rückgängig gemachte Änderung auf dieser Seite wiederholen
Reference,Referenz
Refund,Rückerstattung
Refund amount,Rückerstattungsbetrag
Remove Zone,Zone entfernen
Remove placement,Platzierung entfernen
Remove rate,Tarif entfernen
Remove this rate?,Diesen Tarif entfernen?
Removed,Entfernt
Resize settings drawer,Einstellungsfenster anpassen
"Results for ""${keyword}""","Ergebnisse für ""${keyword}"""
Revert all pages to saved state,Alle Seiten auf gespeicherten Stand zurücksetzen
Revert everything,Alles zurücksetzen
Revert this page,Diese Seite zurücksetzen
Revert this page only,Nur diese Seite zurücksetzen
Revert to saved state?,Auf gespeicherten Stand zurücksetzen?
Reverting…,Wird zurückgesetzt…
Rich text,Rich-Text
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,"Setzen Sie die Änderungen zurück, die Sie seit dem letzten Speichern dieses Rollouts vorgenommen haben. Der Live-Shop ist nicht betroffen — er spiegelt bereits den gespeicherten Stand wider."
SEO,SEO
SEO Information,SEO-Informationen
SKU is required,SKU ist erforderlich
Sale,Sale
Sandbox,Sandbox
Save Settings,Einstellungen speichern
Save as rollout plan,Als Rollout-Plan speichern
Save as rollout plan and leave,Als Rollout-Plan speichern und verlassen
Save changes,Änderungen speichern
Save failed,Speichern fehlgeschlagen
Save method,Methode speichern
Save rate,Tarif speichern
Saving…,Wird gespeichert…
Schedule failed,Planung fehlgeschlagen
Scheduled,Geplant
Search engine optimize,Für Suchmaschinen optimieren
Search widgets,Widgets suchen
Secret Key,Secret Key
Select Category,Kategorie auswählen
Select Parent Category,Übergeordnete Kategorie auswählen
Select Products by SKU,Produkte nach SKU auswählen
Select a provider first,Wählen Sie zuerst einen Anbieter
Select a provider…,Anbieter auswählen…
Select an option,Option auswählen
Select category,Kategorie auswählen
Select countries,Länder auswählen
Select operator,Operator auswählen
Select options,Optionen auswählen
Select page,Seite auswählen
Select products to add to this collection.,"Wählen Sie Produkte aus, die dieser Sammlung hinzugefügt werden sollen."
Select the list of attribute,Wählen Sie die Attributliste aus
Select this option if the product is a digital product or service that does not require shipping.,"Wählen Sie diese Option, wenn das Produkt ein digitales Produkt oder eine Dienstleistung ist, die keinen Versand erfordert."
Set a start time to schedule.,Legen Sie eine Startzeit für die Planung fest.
Set the status and visibility of the product.,Legen Sie den Status und die Sichtbarkeit des Produkts fest.
Share,Teilen
Shipping Cost,Versandkosten
Shipping Providers,Versandanbieter
Shipping address,Lieferadresse
Shipping cost is required,Versandkosten sind erforderlich
Shipping provider setting saved,Versandanbieter-Einstellung gespeichert
Shipping tax class,Steuerklasse für Versand
Short text,Kurztext
Show global areas,Globale Bereiche anzeigen
Show on routes,Auf Routen anzeigen
Show products?,Produkte anzeigen?
Show this widget on every page,Dieses Widget auf jeder Seite anzeigen
Size (L × W × H),Größe (L × B × H)
Sort,Sortieren
Sort order is required,Sortierreihenfolge ist erforderlich
Sort order must be a positive number,Sortierreihenfolge muss eine positive Zahl sein
Start,Start
Start a page-builder session,Eine Page-Builder-Sitzung starten
Start date,Startdatum
Start new changeset,Neuen Changeset starten
Start time is invalid.,Startzeit ist ungültig.
State Date,Startdatum
Status is required,Status ist erforderlich
Stay,Bleiben
Stay on this page,Auf dieser Seite bleiben
Stock Availability,Lagerverfügbarkeit
Stop highlighting global areas,Globale Bereiche nicht mehr hervorheben
Store Address,Geschäftsadresse
Store Description,Shop-Beschreibung
Store Email,Shop-E-Mail
Store Name,Shop-Name
Store Phone Number,Shop-Telefonnummer
Store Setting,Shop-Einstellung
Store Settings,Shop-Einstellungen
Store address,Geschäftsadresse
Storefront,Storefront
Stripe Payment,Stripe-Zahlung
Tablet,Tablet
Take our survey,An unserer Umfrage teilnehmen
Target Products,Zielprodukte
Tax Class,Steuerklasse
Tax calculation configuration,Konfiguration der Steuerberechnung
Tax class name,Name der Steuerklasse
Tax class name is required,Name der Steuerklasse ist erforderlich
Tax classes,Steuerklassen
Tax rate has been saved successfully!,Steuersatz wurde erfolgreich gespeichert!
Tax setting has been saved successfully!,Steuereinstellung wurde erfolgreich gespeichert!
The box or envelope this product ships in. Applies to all variants of this product.,"Der Karton oder Umschlag, in dem dieses Produkt versendet wird. Gilt für alle Varianten dieses Produkts."
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,"Die Kartons und Umschläge, mit denen Sie versenden. Jedes versandfähige Produkt verweist auf einen — seine Abmessungen und sein Leergewicht bestimmen Versandangebote und Etiketten."
The conditions related to the customer for the coupon to be applied.,"Die kundenbezogenen Bedingungen, damit der Gutschein angewendet wird."
The conditions related to the order for the coupon to be applied.,"Die bestellbezogenen Bedingungen, damit der Gutschein angewendet wird."
The default package cannot be deleted,Das Standardpaket kann nicht gelöscht werden
The draft holds ${count} saved changes you can publish later.,"Der Entwurf enthält ${count} gespeicherte Änderungen, die Sie später veröffentlichen können."
The draft holds 1 saved change you can publish later.,"Der Entwurf enthält 1 gespeicherte Änderung, die Sie später veröffentlichen können."
The draft is deleted.,Der Entwurf wurde gelöscht.
The draft itself is deleted.,Der Entwurf selbst wurde gelöscht.
The general information about the coupon.,Die allgemeinen Informationen über den Gutschein.
"The language of the admin panel, independent of the storefront.","Die Sprache des Admin-Panels, unabhängig vom Storefront."
The method will no longer apply to this zone.,Die Methode gilt nicht mehr für diese Zone.
The minimum quantity of items required in the order to qualify for this coupon.,"Die Mindestmenge an Artikeln, die in der Bestellung erforderlich ist, um für diesen Gutschein in Frage zu kommen."
The minimum total amount required for the order to qualify for this coupon.,"Der Mindestgesamtbetrag, der erforderlich ist, damit die Bestellung für diesen Gutschein in Frage kommt."
The rollout plan,Der Rollout-Plan
The storefront's primary language. Pages in this language have no URL prefix.,Die Hauptsprache des Storefronts. Seiten in dieser Sprache haben kein URL-Präfix.
The type of discount applied by the coupon.,"Die Art des Rabatts, der durch den Gutschein angewendet wird."
The zone this rate applies to.,"Die Zone, für die dieser Tarif gilt."
"There is no ""Select"" attribute available.","Es ist kein ""Select""-Attribut verfügbar."
There is no attribute to display,Es gibt kein Attribut zum Anzeigen
