Welcome Back!,फेरि स्वागत छ!
Void label,लेबल रद्द गर्नुहोस्
Void this shipping label?,यो ढुवानी लेबल रद्द गर्ने?
"We could not find this order. It may have been removed, or it may belong to a different account.","हामीले यो अर्डर फेला पार्न सकेनौं। यो हटाइएको हुन सक्छ, वा यो अर्को खातासँग सम्बन्धित हुन सक्छ।"
"We could not verify this link. If you received it in an email from us, please try again from the most recent message, or sign in to your account.","हामीले यो लिंक प्रमाणित गर्न सकेनौं। यदि तपाईंले यो हाम्रो इमेलमा प्राप्त गर्नुभएको हो भने, कृपया सबैभन्दा भर्खरको सन्देशबाट फेरि प्रयास गर्नुहोस्, वा आफ्नो खातामा साइन इन गर्नुहोस्।"
We have sent you an email with a link to reset your password. Please check your inbox.,हामीले तपाईंलाई पासवर्ड रिसेट गर्ने लिंक सहितको इमेल पठाएका छौं। कृपया आफ्नो इनबक्स जाँच गर्नुहोस्।
Weekly,साप्ताहिक
Welcome to our store!,हाम्रो पसलमा स्वागत छ!
"Where you ship, shipping methods and delivery fee","तपाईं कहाँ पठाउनुहुन्छ, ढुवानी विधिहरू र डेलिभरी शुल्क"
White,सेतो
Yes,हो
You are already logged in,तपाईं पहिले नै लग इन हुनुहुन्छ
You are here:,तपाईं यहाँ हुनुहुन्छ:
You have no attribute groups to display,देखाउनको लागि तपाईंसँग कुनै विशेषता समूह छैन
You have no categories to display,देखाउनको लागि तपाईंसँग कुनै वर्ग छैन
You have no collections to display,देखाउनको लागि तपाईंसँग कुनै सङ्ग्रह छैन
You have no products to display,देखाउनको लागि तपाईंसँग कुनै उत्पादन छैन
You have not placed any orders yet.,तपाईंले अहिलेसम्म कुनै अर्डर गर्नुभएको छैन।
You paid for,तपाईंले भुक्तानी गर्नुभयो
You will be redirected to PayPal for payment processing.,भुक्तानी प्रशोधनको लागि तपाईंलाई PayPal मा पुनर्निर्देशित गरिनेछ।
Your Orders,तपाईंका अर्डरहरू
Your order #${number} has been delivered,तपाईंको अर्डर #${number} डेलिभर भयो
Your order #${number} is on the way,तपाईंको अर्डर #${number} बाटोमा छ
Your order has been confirmed!,तपाईंको अर्डर पुष्टि भयो!
Your password has been updated successfully.,तपाईंको पासवर्ड सफलतापूर्वक अद्यावधिक भयो।
across,भरि
available to ship,पठाउन उपलब्ध
breadcrumb,ब्रेडक्रम्ब
e.g. Care instructions,"जस्तै, हेरचाह निर्देशनहरू"
"e.g. New, Sale, Limited","जस्तै, नयाँ, बिक्री, सीमित"
e.g. Question,"जस्तै, प्रश्न"
e.g. care_instructions,"जस्तै, care_instructions"
e.g. question,"जस्तै, question"
item,वस्तु
items,वस्तुहरू
left to ship,पठाउन बाँकी
of,मध्ये
of ${count},${count} मध्ये
unit,एकाइ
units,एकाइहरू
${count} changes published.,${count} परिवर्तनहरू प्रकाशित भए।
${count} child widgets,${count} चाइल्ड विजेटहरू
${count} countries,${count} देशहरू
${count} on ${route},${route} मा ${count}
${count} ops total,कुल ${count} अपरेसनहरू
${count} pending ops,${count} बाँकी अपरेसनहरू
${count} pending ops on,${count} बाँकी अपरेसनहरू यसमा
${count} routes,${count} रुटहरू
${direction} failed,${direction} असफल भयो
${method} — ${zone} rate,${method} — ${zone} दर
${method} — new rate,${method} — नयाँ दर
${name} attached to ${zone},${name} ${zone} मा संलग्न गरियो
${name} configuration for ${zone},${zone} का लागि ${name} कन्फिगरेसन
${name} configuration for this zone,यो क्षेत्रको लागि ${name} कन्फिगरेसन
${name} configuration saved for ${zone},${zone} का लागि ${name} कन्फिगरेसन सुरक्षित गरियो
${name} detached,${name} अलग गरियो
${name} is required,${name} आवश्यक छ
${title} settings,${title} सेटिङहरू
${total} changes will go live immediately.,${total} परिवर्तनहरू तुरुन्तै लाइभ हुनेछन्।
${total} items,${total} वस्तुहरू
(envelope),(खाम)
+ Add Line,+ लाइन थप्नुहोस्
+ Add Method,+ विधि थप्नुहोस्
+ Add Rate,+ दर थप्नुहोस्
+ Add placement,+ प्लेसमेन्ट थप्नुहोस्
+ Attach Provider,+ प्रदायक संलग्न गर्नुहोस्
+ New package,+ नयाँ प्याकेज
+${count} more,+${count} थप
", +${count} more",", +${count} थप"
", last updated",", पछिल्लो अद्यावधिक"
0 for flat envelopes,समतल खामहरूका लागि ०
1 change published.,१ परिवर्तन प्रकाशित भयो।
1 change will go live immediately.,१ परिवर्तन तुरुन्तै लाइभ हुनेछ।
1 child widget,१ चाइल्ड विजेट
1 op total,कुल १ अपरेसन
1 pending op,१ बाँकी अपरेसन
1 pending op on,१ बाँकी अपरेसन यसमा
A package is required for shippable products,पठाउन सकिने उत्पादनहरूका लागि प्याकेज आवश्यक छ
A rollout plan saves your current edits as a snapshot and applies them automatically during a scheduled window.,रोलआउट योजनाले तपाईंका हालका सम्पादनहरूलाई स्न्यापसटको रूपमा सुरक्षित गर्छ र निर्धारित अवधिमा स्वतः लागू गर्छ।
Action,कार्य
Actions,कार्यहरू
Add,थप्नुहोस्
Add Products,उत्पादनहरू थप्नुहोस्
Add Rate,दर थप्नुहोस्
Add Shipping Method,ढुवानी विधि थप्नुहोस्
Add Tax Rate,कर दर थप्नुहोस्
Add Variant,भेरियन्ट थप्नुहोस्
Add products to this category by selecting them from the list below.,तलको सूचीबाट उत्पादनहरू चयन गरेर यो वर्गमा थप्नुहोस्।
Add rate,दर थप्नुहोस्
Added,थपियो
Adding to Column ${number},स्तम्भ ${number} मा थप्दै
Additional languages,थप भाषाहरू
Admin panel language,प्रशासन प्यानल भाषा
Affects ${count} pages,${count} पृष्ठहरूलाई प्रभाव पार्छ
Affects 1 page,१ पृष्ठलाई प्रभाव पार्छ
All pages,सबै पृष्ठहरू
All registered providers are already attached to this zone.,सबै दर्ता गरिएका प्रदायकहरू पहिले नै यस क्षेत्रमा संलग्न छन्।
All routes,सबै रुटहरू
Also shown on ${routes},${routes} मा पनि देखाइन्छ
Also shown on ${routes} +${count},${routes} +${count} मा पनि देखाइन्छ
Amount must be greater than or equal to 0,रकम ० भन्दा बढी वा बराबर हुनुपर्छ
Amount must be less than or equal to ${value} ${currency},रकम ${value} ${currency} भन्दा कम वा बराबर हुनुपर्छ
Apply a condition?,सर्त लागू गर्ने?
Area,क्षेत्र
Area is required,क्षेत्र आवश्यक छ
At least one country is required,कम्तीमा एक देश आवश्यक छ
Attach,संलग्न गर्नुहोस्
Attach Provider to ${zone},${zone} मा प्रदायक संलग्न गर्नुहोस्
Attached Providers,संलग्न प्रदायकहरू
Attribute Name,विशेषताको नाम
Attribute code is required,विशेषता कोड आवश्यक छ
Attribute created successfully!,विशेषता सफलतापूर्वक सिर्जना गरियो!
Attribute group,विशेषता समूह
Attribute name is required,विशेषताको नाम आवश्यक छ
Authorize only,अधिकृत मात्र
Auto-saves while you edit,तपाईं सम्पादन गर्दा स्वतः सुरक्षित हुन्छ
Back To Dashboard,ड्यासबोर्डमा फर्कनुहोस्
Base calculation address,आधार गणना ठेगाना
Based on cart subtotal,कार्ट उप-जम्माको आधारमा
Based on cart weight,कार्ट तौलको आधारमा
Basic configuration,आधारभूत कन्फिगरेसन
Boolean,बुलियन
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,प्रति-क्षेत्र दरसहितका अन्तर्निहित ढुवानी विधिहरू। पहिले Settings → Shipping अन्तर्गत कुनै क्षेत्रमा Core संलग्न गर्नुहोस्; त्यसपछि यहाँ विधिहरू थप्नुहोस् र प्रति क्षेत्र तिनका दरहरू कन्फिगर गर्नुहोस्।
Buy X get Y,X किन्नुहोस् Y पाउनुहोस्
CMS,CMS
Calculation type,गणना प्रकार
Can not change the attribute group of a product that is already in a variant group.,पहिले नै भेरियन्ट समूहमा रहेको उत्पादनको विशेषता समूह परिवर्तन गर्न सकिँदैन।
Cancel rollout,रोलआउट रद्द गर्नुहोस्
Cancel rollout plan?,रोलआउट योजना रद्द गर्ने?
Canvas device width,क्यानभास उपकरण चौडाइ
Capture,क्याप्चर
Capture Payment,भुक्तानी क्याप्चर गर्नुहोस्
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,पूर्तिका लागि क्यारियर सङ्केत — चेकआउटमा कहिल्यै देखाइँदैन। NewShipmentDialog ले क्यारियर पूर्व-चयन गर्न यो प्रयोग गर्छ।
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,लेबल किन्दा प्रयोग हुने क्यारियर-विशिष्ट सेवा कोड (CreateLabelInput.serviceCode)। स्वतन्त्र रूप — सटीक टोकन क्यारियरको API कागजातमा प्रमाणित गर्नुहोस्। क्यारियरलाई आफ्नो पूर्वनिर्धारित सेवा छनोट गर्न दिन खाली छोड्नुहोस्।
Cash On Delivery Payment,डेलिभरीमा नगद भुक्तानी
"Catalog, Search","क्याटलग, खोज"
Category Image,वर्ग छवि
Category Name,वर्गको नाम
Category created successfully!,वर्ग सफलतापूर्वक सिर्जना गरियो!
Category name is required,वर्गको नाम आवश्यक छ
Choose Attribute Groups,विशेषता समूहहरू छनोट गर्नुहोस्
Choose Categories,वर्गहरू छनोट गर्नुहोस्
Choose Collections,सङ्ग्रहहरू छनोट गर्नुहोस्
Choose SKUs,SKU हरू छनोट गर्नुहोस्
Choose how much of your unpublished work to discard. The published storefront is not affected.,तपाईंको अप्रकाशित कामको कति भाग हटाउने भनेर छनोट गर्नुहोस्। प्रकाशित स्टोरफ्रन्ट प्रभावित हुँदैन।
Choose where you ship and how much you charge for shipping.,तपाईं कहाँ ढुवानी गर्नुहुन्छ र ढुवानीका लागि कति शुल्क लिनुहुन्छ छनोट गर्नुहोस्।
Clear filter,फिल्टर खाली गर्नुहोस्
Clear filters,फिल्टरहरू खाली गर्नुहोस्
Client ID,Client ID
Client Secret,Client Secret
Close,बन्द गर्नुहोस्
Close settings,सेटिङहरू बन्द गर्नुहोस्
Close — continue draft,बन्द गर्नुहोस् — मस्यौदा जारी राख्नुहोस्
Cms Pages,CMS पृष्ठहरू
Collapse left rail,बायाँ रेल संकुचित गर्नुहोस्
Collapse panel,प्यानल संकुचित गर्नुहोस्
Collection Code,सङ्ग्रह कोड
Collection Name,सङ्ग्रहको नाम
Collection code is required,सङ्ग्रह कोड आवश्यक छ
Collection code must be alphanumeric and can include underscores or dashes.,सङ्ग्रह कोड वर्णाङ्कीय हुनुपर्छ र अन्डरस्कोर वा ड्यास समावेश गर्न सकिन्छ।
Collection created successfully!,सङ्ग्रह सफलतापूर्वक सिर्जना गरियो!
Color,रङ
Commerce,वाणिज्य
Compound,मिश्रित
Condition,सर्त
Configure,कन्फिगर गर्नुहोस्
Configure cost and conditions per zone. Zones without a rate don't offer this method.,प्रति क्षेत्र लागत र सर्तहरू कन्फिगर गर्नुहोस्। दर नभएका क्षेत्रहरूले यो विधि प्रस्ताव गर्दैनन्।
Configure rate,दर कन्फिगर गर्नुहोस्
Configure the available payment methods,उपलब्ध भुक्तानी विधिहरू कन्फिगर गर्नुहोस्
Configure the settings for the ${name} widget.,${name} विजेटका लागि सेटिङहरू कन्फिगर गर्नुहोस्।
Configure the tax classes that will be available to your customers at checkout.,चेकआउटमा तपाईंका ग्राहकहरूका लागि उपलब्ध हुने कर वर्गहरू कन्फिगर गर्नुहोस्।
Configure your Cash On Delivery payment gateway settings,तपाईंको डेलिभरीमा नगद भुक्तानी गेटवे सेटिङहरू कन्फिगर गर्नुहोस्
Configure your Paypal payment gateway settings,तपाईंको Paypal भुक्तानी गेटवे सेटिङहरू कन्फिगर गर्नुहोस्
Configure your Stripe payment gateway settings,तपाईंको Stripe भुक्तानी गेटवे सेटिङहरू कन्फिगर गर्नुहोस्
Configure your store information,तपाईंको स्टोर जानकारी कन्फिगर गर्नुहोस्
"Conflicts with ${plan1}, ${plan2}","${plan1}, ${plan2} सँग द्वन्द्व छ"
Conflicts with ${plan},${plan} सँग द्वन्द्व छ
Conflicts with ${plan} +${count},${plan} +${count} सँग द्वन्द्व छ
Conflicts with:,यससँग द्वन्द्व छ:
Content,सामग्री
Continue a saved rollout plan,सुरक्षित गरिएको रोलआउट योजना जारी राख्नुहोस्
Continue your draft,तपाईंको मस्यौदा जारी राख्नुहोस्
Core Shipping,Core ढुवानी
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core अझै कुनै क्षेत्रमा संलग्न छैन। पहिले Settings → Shipping अन्तर्गत यसलाई संलग्न गर्नुहोस्।
Cost,लागत
Cost is required,लागत आवश्यक छ
Could not start fresh,नयाँ सुरु गर्न सकिएन
Countries,देशहरू
"Country code (e.g., ""US""). Use ""*"" for all countries.","देश कोड (जस्तै, ""US"")। सबै देशहरूका लागि ""*"" प्रयोग गर्नुहोस्।"
Coupon Code,कुपन कोड
"Coupon code can only contain letters, numbers, underscores, and hyphens","कुपन कोडमा अक्षर, नम्बर, अन्डरस्कोर र हाइफनहरू मात्र हुन सक्छन्"
Coupon created successfully!,कुपन सफलतापूर्वक सिर्जना गरियो!
Coupons,कुपनहरू
Create A New Customer,नयाँ ग्राहक सिर्जना गर्नुहोस्
Create New Package,नयाँ प्याकेज सिर्जना गर्नुहोस्
Create New Tax Class,नयाँ कर वर्ग सिर्जना गर्नुहोस्
Create New Zone,नयाँ क्षेत्र सिर्जना गर्नुहोस्
Create a new category,नयाँ वर्ग सिर्जना गर्नुहोस्
Create a new collection,नयाँ सङ्ग्रह सिर्जना गर्नुहोस्
Create a new coupon,नयाँ कुपन सिर्जना गर्नुहोस्
Create a new page,नयाँ पृष्ठ सिर्जना गर्नुहोस्
Create a new product,नयाँ उत्पादन सिर्जना गर्नुहोस्
Create a new variant for this product.,यस उत्पादनका लागि नयाँ भेरियन्ट सिर्जना गर्नुहोस्।
Create a new widget,नयाँ विजेट सिर्जना गर्नुहोस्
Create a variant group,भेरियन्ट समूह सिर्जना गर्नुहोस्
Create method,विधि सिर्जना गर्नुहोस्
Create new tax class,नयाँ कर वर्ग सिर्जना गर्नुहोस्
Create rollout plan,रोलआउट योजना सिर्जना गर्नुहोस्
Created At,सिर्जना मिति
Current,हालको
Customer,ग्राहक
Customer Email,ग्राहक इमेल
Customer conditions,ग्राहक सर्तहरू
Customer emails,ग्राहक इमेलहरू
Customer groups,ग्राहक समूहहरू
Customer's purchase,ग्राहकको खरिद
Customers,ग्राहकहरू
Customers (${count}),ग्राहकहरू (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,${zone} का ग्राहकहरूले अब चेकआउटमा ${name} का विधिहरू देख्ने छैनन्। तपाईं पछि यसलाई पुनः संलग्न गर्न सक्नुहुन्छ।
Dashboard,ड्यासबोर्ड
Date,मिति
Decrease,घटाउनुहोस्
Default carrier,पूर्वनिर्धारित क्यारियर
Default language,पूर्वनिर्धारित भाषा
Default package,पूर्वनिर्धारित प्याकेज
Default service code,पूर्वनिर्धारित सेवा कोड
"Delete ""${name}""?","""${name}"" मेटाउने?"
Delete ${count} attributes,${count} विशेषताहरू मेटाउनुहोस्
Delete ${count} categories,${count} वर्गहरू मेटाउनुहोस्
Delete ${count} collections,${count} सङ्ग्रहहरू मेटाउनुहोस्
Delete ${count} pages,${count} पृष्ठहरू मेटाउनुहोस्
Delete ${count} widgets,${count} विजेटहरू मेटाउनुहोस्
Delete container widget?,कन्टेनर विजेट मेटाउने?
Delete image,छवि मेटाउनुहोस्
"Delete package ""${name}""?","प्याकेज ""${name}"" मेटाउने?"
Delete this,यो मेटाउनुहोस्
Delete this widget? This will be saved as a pending change you can publish or discard.,यो विजेट मेटाउने? यो तपाईंले प्रकाशित वा हटाउन सक्ने विचाराधीन परिवर्तनको रूपमा सुरक्षित हुनेछ।
Delete widget?,विजेट मेटाउने?
Delete zone,क्षेत्र मेटाउनुहोस्
"Delete zone ""${name}""?","क्षेत्र ""${name}"" मेटाउने?"
Deleted ${name},${name} मेटाइयो
Deleting this,यो मेटाइँदै
Deleting this container will also hide,यो कन्टेनर मेटाउँदा यो पनि लुकाइनेछ
Description is required,विवरण आवश्यक छ
Desktop,डेस्कटप
Detach,अलग गर्नुहोस्
Detach ${name}?,${name} अलग गर्ने?
Disable ${count} pages,${count} पृष्ठहरू निष्क्रिय गर्नुहोस्
Disable ${count} widgets,${count} विजेटहरू निष्क्रिय गर्नुहोस्
Disabled products will not be visible in the store and cannot be purchased.,निष्क्रिय उत्पादनहरू स्टोरमा देखिने छैनन् र किन्न सकिँदैन।
Discard changes on this page only,यस पृष्ठका परिवर्तनहरू मात्र खारेज गर्नुहोस्
Discard everything,सबै खारेज गर्नुहोस्
Discard everything in this draft,यस मस्यौदाका सबै खारेज गर्नुहोस्
Discard failed,खारेज गर्न असफल भयो
Discard pending changes?,बाँकी परिवर्तनहरू खारेज गर्ने?
Discard this page,यो पृष्ठ खारेज गर्नुहोस्
Discarding…,खारेज गर्दै…
Discount Type,छुटको प्रकार
Discount amount,छुट रकम
Discount amount is required,छुट रकम आवश्यक छ
Discount type is required,छुटको प्रकार आवश्यक छ
Dislay Name,प्रदर्शन नाम
Display Name,प्रदर्शन नाम
Draft,मस्यौदा
Draft — not scheduled,मस्यौदा — तालिकाबद्ध छैन
Drag to resize,आकार बदल्न तान्नुहोस्
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.","प्रत्येक पङ्क्तिले यो विजेटलाई एक पृष्ठमा, एक क्षेत्रमा, आफ्नै क्रम अनुसार राख्छ। साना नम्बरहरू पहिले देखिन्छन्।"
Edit ${name},${name} सम्पादन गर्नुहोस्
Edit Shipping Zone,ढुवानी क्षेत्र सम्पादन गर्नुहोस्
Edit Tax Rate,कर दर सम्पादन गर्नुहोस्
Edit Variant,भेरिएन्ट सम्पादन गर्नुहोस्
Edit Zone,क्षेत्र सम्पादन गर्नुहोस्
Edit against the live storefront. Publish immediately or save as a rollout plan.,लाइभ स्टोरफ्रन्टमा सम्पादन गर्नुहोस्। तुरुन्तै प्रकाशित गर्नुहोस् वा रोलआउट योजनाको रूपमा सुरक्षित गर्नुहोस्।
Edit rollout schedule,रोलआउट तालिका सम्पादन गर्नुहोस्
Editable routes,सम्पादनयोग्य रुटहरू
Editing ${coupon},${coupon} सम्पादन गर्दै
Editing ${fullName},${fullName} सम्पादन गर्दै
Editing widget ${name},विजेट ${name} सम्पादन गर्दै
Edits to a shared widget update every route it appears on.,साझा विजेटमा गरिएका सम्पादनहरूले यो देखिने हरेक रुट अद्यावधिक गर्छ।
Empty package weight,खाली प्याकेजको तौल
Empty weight,खाली तौल
Enable ${count} pages,${count} पृष्ठहरू सक्रिय गर्नुहोस्
Enable ${count} widgets,${count} विजेटहरू सक्रिय गर्नुहोस्
Enable this page to make it visible on the frontend.,यो पृष्ठलाई फ्रन्टएन्डमा देखिने बनाउन सक्रिय गर्नुहोस्।
Enable?,सक्रिय गर्ने?
End,अन्त्य
End Date,अन्त्य मिति
End date,अन्त्य मिति
End time is invalid.,अन्त्य समय अमान्य छ।
End time must be after start time.,अन्त्य समय सुरु समयपछि हुनुपर्छ।
Enter Category Name,कोटि नाम प्रविष्ट गर्नुहोस्
Enter Collection Name,सङ्ग्रहको नाम प्रविष्ट गर्नुहोस्
Enter Meta Description,Meta विवरण प्रविष्ट गर्नुहोस्
Enter Meta Title,Meta शीर्षक प्रविष्ट गर्नुहोस्
Enter Meta description,Meta विवरण प्रविष्ट गर्नुहोस्
Enter Meta title,Meta शीर्षक प्रविष्ट गर्नुहोस्
Enter SKU,SKU प्रविष्ट गर्नुहोस्
Enter URL Key,URL कुञ्जी प्रविष्ट गर्नुहोस्
Enter URL key,URL कुञ्जी प्रविष्ट गर्नुहोस्
Enter customer emails,ग्राहक इमेलहरू प्रविष्ट गर्नुहोस्
Enter description,विवरण प्रविष्ट गर्नुहोस्
Enter group name,समूहको नाम प्रविष्ट गर्नुहोस्
Enter meta description,meta विवरण प्रविष्ट गर्नुहोस्
Enter meta title,meta शीर्षक प्रविष्ट गर्नुहोस्
Enter page name,पृष्ठको नाम प्रविष्ट गर्नुहोस्
Enter price,मूल्य प्रविष्ट गर्नुहोस्
Enter product name,उत्पादनको नाम प्रविष्ट गर्नुहोस्
Enter purchased amount,किनिएको रकम प्रविष्ट गर्नुहोस्
Enter quantity,परिमाण प्रविष्ट गर्नुहोस्
Enter tax class name,कर वर्गको नाम प्रविष्ट गर्नुहोस्
Enter the quantity,परिमाण प्रविष्ट गर्नुहोस्
Enter weight,तौल प्रविष्ट गर्नुहोस्
Environment,वातावरण
Error loading countries,देशहरू लोड गर्दा त्रुटि
Error loading methods,विधिहरू लोड गर्दा त्रुटि
Error loading packages,प्याकेजहरू लोड गर्दा त्रुटि
Error loading providers,प्रदायकहरू लोड गर्दा त्रुटि
Error loading zones,क्षेत्रहरू लोड गर्दा त्रुटि
EverShop · Back to page builder,EverShop · पृष्ठ बिल्डरमा फर्कनुहोस्
Every page rolls back to the rollout’s saved state.,हरेक पृष्ठ रोलआउटको सुरक्षित अवस्थामा फर्कन्छ।
Every page rolls back to what the rollout had saved.,हरेक पृष्ठ रोलआउटले सुरक्षित गरेको अवस्थामा फर्कन्छ।
Existing rollout plan: ${plan},विद्यमान रोलआउट योजना: ${plan}
Expand,विस्तार गर्नुहोस्
Expand left rail,बायाँ रेल विस्तार गर्नुहोस्
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.",पूर्वनिर्धारितबाहेक खरिदकर्ताले बदल्न सक्ने थप भाषाहरू। पूर्वनिर्धारित भाषा सधैँ उपलब्ध हुन्छ — तपाईंले यहाँ थप्नु पर्दैन।
Failed to attach provider,प्रदायक संलग्न गर्न असफल भयो
Failed to delete ${name},${name} मेटाउन असफल भयो
Failed to detach ${name},${name} अलग गर्न असफल भयो
Failed to remove rate,दर हटाउन असफल भयो
Failed to remove zone,क्षेत्र हटाउन असफल भयो
Failed to save change,परिवर्तन सुरक्षित गर्न असफल भयो
Failed to save rate,दर सुरक्षित गर्न असफल भयो
Failed to save zone,क्षेत्र सुरक्षित गर्न असफल भयो
Failed to update rollout schedule,रोलआउट तालिका अद्यावधिक गर्न असफल भयो
Fixed discount to entire order,सम्पूर्ण अर्डरमा निश्चित छुट
Fixed discount to specific products,निश्चित उत्पादनहरूमा निश्चित छुट
Flat rate,समान दर
"Flat rate in cart currency, tax-exclusive.","कार्ट मुद्रामा समान दर, कर बाहेक।"
Free shipping?,निःशुल्क ढुवानी?
General Information,सामान्य जानकारी
Give Feedback,प्रतिक्रिया दिनुहोस्
Global,विश्वव्यापी
Globals,विश्वव्यापीहरू
Group,समूह
Group Name,समूहको नाम
Group name is required,समूहको नाम आवश्यक छ
Groups,समूहहरू
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,अर्ध-खुला अन्तराल — ठ्याक्कै Max मा रहेको कार्ट बाहिर रहन्छ (अर्को तहको Min ले त्यो बिन्दु ओगट्छ)।
Has conflicts,द्वन्द्वहरू छन्
Heads up — ,सावधान — 
Height,उचाइ
Height is required (0 for envelopes),उचाइ आवश्यक छ (खामका लागि 0)
Height must be 0 or greater,उचाइ 0 वा सोभन्दा बढी हुनुपर्छ
Hide global areas,विश्वव्यापी क्षेत्रहरू लुकाउनुहोस्
Higest tax rate based on cart items,कार्ट वस्तुहरूमा आधारित सबैभन्दा उच्च कर दर
Highlight global areas on canvas,क्यानभासमा विश्वव्यापी क्षेत्रहरू हाइलाइट गर्नुहोस्
Image,छवि
Include In Menu,मेनुमा समावेश गर्नुहोस्
Include in Store Menu?,स्टोर मेनुमा समावेश गर्ने?
Increase,वृद्धि गर्नुहोस्
Insert image,छवि घुसाउनुहोस्
Integer,पूर्णाङ्क
Invalid folder name,अमान्य फोल्डर नाम
Invalid start,अमान्य सुरुवात
Invalid window,अमान्य अवधि
Inventory,इन्भेन्टरी
Is compound,संयुक्त हो
Its rates will be removed too. This cannot be undone.,यसका दरहरू पनि हटाइनेछन्। यो पूर्ववत् गर्न सकिँदैन।
Languages,भाषाहरू
Layers,तहहरू
Layout,लेआउट
Leave,छोड्नुहोस्
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,सम्पूर्ण देश समेट्न देशको सूची खाली राख्नुहोस्। ढुवानीलाई निश्चित क्षेत्रहरूमा सीमित गर्न प्रदेशहरू थप्नुहोस्।
Leaving now may drop the most recent edits that haven’t reached the server yet.,अहिले छोड्दा सर्भरमा नपुगेका हालैका सम्पादनहरू हराउन सक्छन्।
Length,लम्बाइ
Length is required,लम्बाइ आवश्यक छ
Length must be greater than 0,लम्बाइ 0 भन्दा बढी हुनुपर्छ
Live,लाइभ
Loading...,लोड हुँदै...
Long text,लामो पाठ
Lower values appear first.,साना मानहरू पहिले देखिन्छन्।
Manage Stock,स्टक व्यवस्थापन गर्नुहोस्
Manage general information about the collection.,सङ्ग्रहको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage product images and gallery. Drag and drop to reorder images.,उत्पादन छविहरू र ग्यालरी व्यवस्थापन गर्नुहोस्। छविहरू पुनःक्रमबद्ध गर्न तानेर छाड्नुहोस्।
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","ढुवानी एकीकरणहरू र तिनका विधिहरू व्यवस्थापन गर्नुहोस् (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,विभिन्न क्षेत्रहरूका लागि कर वर्गहरू र कर दरहरू व्यवस्थापन गर्नुहोस्।
Manage the SEO settings of the category.,कोटिको SEO सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the SEO settings.,SEO सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the attributes.,विशेषताहरू व्यवस्थापन गर्नुहोस्।
Manage the collections associated with this product.,यस उत्पादनसँग सम्बन्धित सङ्ग्रहहरू व्यवस्थापन गर्नुहोस्।
Manage the general information of the category.,कोटिको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage the general information of the product.,उत्पादनको सामान्य जानकारी व्यवस्थापन गर्नुहोस्।
Manage the inventory settings of the product.,उत्पादनको इन्भेन्टरी सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the products assigned to this category.,यस कोटिमा तोकिएका उत्पादनहरू व्यवस्थापन गर्नुहोस्।
Manage the products assigned to this collection.,यस सङ्ग्रहमा तोकिएका उत्पादनहरू व्यवस्थापन गर्नुहोस्।
Manage the shipping settings of the product.,उत्पादनको ढुवानी सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the status settings of the category.,श्रेणीको स्थिति सेटिङहरू व्यवस्थापन गर्नुहोस्।
Manage the variant group of the product.,उत्पादनको भेरियन्ट समूह व्यवस्थापन गर्नुहोस्।
Marketing,मार्केटिङ
Max ${unit},अधिकतम ${unit}
Max is required,अधिकतम आवश्यक छ
Maximum,अधिकतम
Maximum amount is ${value} ${currency},अधिकतम रकम ${value} ${currency} हो
Maximum quantity is required,अधिकतम परिमाण आवश्यक छ
Maximum quantity must be greater than or equal to 0,अधिकतम परिमाण ० भन्दा ठूलो वा बराबर हुनुपर्छ
Media,मिडिया
Meta Description,मेटा विवरण
Meta Title,मेटा शीर्षक
Meta Title is required,मेटा शीर्षक आवश्यक छ
Meta description,मेटा विवरण
Meta description is required,मेटा विवरण आवश्यक छ
Meta title,मेटा शीर्षक
Meta title is required,मेटा शीर्षक आवश्यक छ
Method,विधि
Method created,विधि सिर्जना गरियो
Method name,विधिको नाम
Method name is required,विधिको नाम आवश्यक छ
Method updated,विधि अद्यावधिक गरियो
Methods →,विधिहरू →
Min ${unit},न्यूनतम ${unit}
Min Price,न्यूनतम मूल्य
Min Weight,न्यूनतम तौल
Min is required,न्यूनतम आवश्यक छ
Min price is required,न्यूनतम मूल्य आवश्यक छ
Min weight is required,न्यूनतम तौल आवश्यक छ
Minimum purchase amount,न्यूनतम खरिद रकम
