Welcome Back!,欢迎回来！
Enter quantity,输入数量
Enter tax class name,输入税类名称
Enter the quantity,输入数量
Enter weight,输入重量
Environment,环境
Error loading countries,加载国家/地区时出错
Error loading methods,加载方式时出错
Error loading packages,加载包裹时出错
Error loading providers,加载服务商时出错
Error loading zones,加载区域时出错
EverShop · Back to page builder,EverShop · 返回页面构建器
Every page rolls back to the rollout’s saved state.,每个页面都回滚到发布计划已保存的状态。
Every page rolls back to what the rollout had saved.,每个页面都回滚到发布计划已保存的内容。
Existing rollout plan: ${plan},现有发布计划：${plan}
Expand,展开
Expand left rail,展开左侧栏
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.",购物者可在默认语言之外切换到的额外语言。默认语言始终可用 — 无需在此添加。
Failed to attach provider,附加服务商失败
Failed to delete ${name},删除 ${name} 失败
Failed to detach ${name},分离 ${name} 失败
Failed to remove rate,移除税率失败
Failed to remove zone,移除区域失败
Failed to save change,保存更改失败
Failed to save rate,保存税率失败
Failed to save zone,保存区域失败
Failed to update rollout schedule,更新发布排程失败
Fixed discount to entire order,对整个订单的固定折扣
Fixed discount to specific products,对特定商品的固定折扣
Flat rate,统一费率
"Flat rate in cart currency, tax-exclusive.",以购物车货币计的统一费率，不含税。
Free shipping?,免运费？
General Information,基本信息
Give Feedback,提供反馈
Global,全局
Globals,全局项
Group,组
Group Name,组名称
Group name is required,组名称为必填项
Groups,组
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,半开区间 — 恰好等于 Max 的购物车被排除（该点归下一档的 Min 所有）。
Has conflicts,存在冲突
Heads up — ,请注意 — 
Height,高度
Height is required (0 for envelopes),高度为必填项（信封填 0）
Height must be 0 or greater,高度必须为 0 或更大
Hide global areas,隐藏全局区域
Higest tax rate based on cart items,基于购物车商品的最高税率
Highlight global areas on canvas,在画布上高亮全局区域
Image,图片
Include In Menu,包含在菜单中
Include in Store Menu?,包含在商店菜单中？
Increase,增加
Insert image,插入图片
Integer,整数
Invalid folder name,无效的文件夹名称
Invalid start,无效的开始时间
Invalid window,无效的时间窗口
Inventory,库存
Is compound,是否复合税
Its rates will be removed too. This cannot be undone.,其税率也将一并被移除。此操作无法撤销。
Languages,语言
Layers,图层
Layout,布局
Leave,离开
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,将某个国家/地区的列表留空以覆盖整个国家/地区。添加省份可将配送限制在特定区域。
Leaving now may drop the most recent edits that haven’t reached the server yet.,现在离开可能会丢失尚未到达服务器的最新编辑。
Length,长度
Length is required,长度为必填项
Length must be greater than 0,长度必须大于 0
Live,线上
Loading...,加载中...
Long text,长文本
Lower values appear first.,数值越小越靠前显示。
Manage Stock,管理库存
Manage general information about the collection.,管理系列的基本信息。
Manage product images and gallery. Drag and drop to reorder images.,管理商品图片和图库。拖放以重新排序图片。
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)",管理配送集成及其方式（Core、USPS、FedEx、…）
Manage tax classes and tax rates for different regions.,管理不同区域的税类和税率。
Manage the SEO settings of the category.,管理分类的 SEO 设置。
Manage the SEO settings.,管理 SEO 设置。
Manage the attributes.,管理属性。
Manage the collections associated with this product.,管理与此商品关联的系列。
Manage the general information of the category.,管理分类的基本信息。
Manage the general information of the product.,管理商品的基本信息。
Manage the inventory settings of the product.,管理商品的库存设置。
Manage the products assigned to this category.,管理分配给此分类的商品。
Manage the products assigned to this collection.,管理分配给此系列的商品。
Manage the shipping settings of the product.,管理商品的配送设置。
Manage the status settings of the category.,管理分类的状态设置。
Manage the variant group of the product.,管理产品的变体组。
Marketing,营销
Max ${unit},最大 ${unit}
Max is required,最大值为必填项
Maximum,最大值
Maximum amount is ${value} ${currency},最大金额为 ${value} ${currency}
Maximum quantity is required,最大数量为必填项
Maximum quantity must be greater than or equal to 0,最大数量必须大于或等于 0
Media,媒体
Meta Description,Meta 描述
Meta Title,Meta 标题
Meta Title is required,Meta 标题为必填项
Meta description,Meta 描述
Meta description is required,Meta 描述为必填项
Meta title,Meta 标题
Meta title is required,Meta 标题为必填项
Method,方式
Method created,方式已创建
Method name,方式名称
Method name is required,方式名称为必填项
Method updated,方式已更新
Methods →,方式 →
Min ${unit},最小 ${unit}
Min Price,最低价格
Min Weight,最小重量
Min is required,最小值为必填项
Min price is required,最低价格为必填项
Min weight is required,最小重量为必填项
Minimum purchase amount,最低购买金额
Minimum purchase qty,最低购买数量
Minimum purchase quantity,最低购买数量
Minimum purchased amount. This only applies to registered customers.,最低购买金额。此项仅适用于已注册的客户。
Minimum quantity is required,最低数量为必填项
Missing name,缺少名称
Money,金额
Name is required.,名称为必填项。
Navigation,导航
New Attribute,新建属性
New Category,新建分类
New Collection,新建合集
New Coupon,新建优惠券
New Page,新建页面
New Variant,新建变体
New coupon,新建优惠券
New rate,新建费率
No collections,暂无合集
No editable routes.,没有可编辑的路由。
No file selected,未选择文件
No methods yet — add one to start offering Core shipping.,暂无方式 — 添加一个以开始提供 Core 配送。
No packages yet. Create one — shippable products require a package.,暂无包裹。创建一个 — 可配送产品需要包裹。
No product to display.,没有可显示的产品。
"No providers attached. Click ""Attach Provider"" to add one.","未附加任何提供商。点击""附加提供商""以添加。"
"No rates yet — click ""Add Rate"" to offer this method in a zone.","暂无费率 — 点击""添加费率""以在区域中提供此方式。"
"No results for ""${keyword}""","没有关于""${keyword}""的结果"
No routes have opted into page-builder editing yet.,尚无路由启用页面构建器编辑。
No shipping required?,无需配送？
No subdivisions available — whole country is covered.,无可用的行政区划 — 已覆盖整个国家。
No widgets available.,没有可用的小部件。
"No widgets match ""${query}"".","没有与""${query}""匹配的小部件。"
No widgets on this route yet.,此路由上尚无小部件。
No zones,暂无区域
No zones found,未找到区域
Not visible individually,不单独显示
Nothing to publish,没有可发布的内容
Nothing to redo on this page,此页面没有可重做的内容
Nothing to undo on this page,此页面没有可撤销的内容
Number,数字
Option text is required,选项文本为必填项
Optional. Added to the shipping weight for quotes and labels.,可选。计入配送重量，用于报价和标签。
Order Number,订单编号
Order conditions,订单条件
Orders (${count}),订单 (${count})
Other,其他
Other pages keep their pending changes.,其他页面保留其待处理的更改。
Overlaps with existing rollout: ${plans}.,与现有发布计划重叠：${plans}。
Overlaps with existing rollouts: ${plans}.,与现有发布计划重叠：${plans}。
Package,包裹
Package created,包裹已创建
Package deleted,包裹已删除
Package saved,包裹已保存
Packages,包裹
Page Name,页面名称
Page Not Found,页面未找到
Page builder,页面构建器
Page builder canvas,页面构建器画布
Page created successfully!,页面创建成功！
Page is required,页面为必填项
Page name is required,页面名称为必填项
Pages,页面
Parent category,父级分类
Payment Setting,支付设置
Payment mode,支付模式
Payment setting saved,支付设置已保存
Paypal Payment,PayPal 支付
Pending start time,待定开始时间
Percentage discount to entire order,对整个订单的百分比折扣
Percentage discount to specific products,对特定产品的百分比折扣
Phone,电话
Pick a start time to schedule this rollout.,选择开始时间以安排此发布计划。
Pick a widget below to insert as a child.,在下方选择一个小部件作为子项插入。
Pick up where you left off — ${count} pending changes,从上次中断处继续 — ${count} 项待处理更改
Pick up where you left off — 1 pending change,从上次中断处继续 — 1 项待处理更改
Pin drawer open,固定抽屉为打开状态
Pin — keep drawer open across canvas clicks,固定 — 点击画布时保持抽屉打开
Placed on: ${routes},放置于：${routes}
Placements,放置位置
Postal Code,邮政编码
"Postcode (e.g., ""90210""). Empty for all postcodes.","邮编（例如 ""90210""）。留空表示所有邮编。"
Preselected for new products. Exactly one package is the default.,为新产品预选。仅有一个包裹为默认项。
Preview,预览
Price-based tiers,基于价格的层级
Priority,优先级
Priority is required,优先级为必填项
Product Name,产品名称
Product Status,产品状态
Product created successfully,产品创建成功
Product updated successfully,产品更新成功
Products (${count}),产品 (${count})
Promotion,促销
Proportional allocation based on cart items,基于购物车商品的按比例分配
Provide the SEO details for the CMS page.,为 CMS 页面提供 SEO 详细信息。
Provide the basic information for the CMS page.,为 CMS 页面提供基本信息。
Provider,提供商
Province Restrictions,省份限制
"Province code (e.g., ""CA""). Use ""*"" for all provinces.","省份代码（例如 ""CA""）。使用 ""*"" 表示所有省份。"
Provinces,省份
Provinces is required,省份为必填项
Provinces:,省份：
Publish failed,发布失败
Publish now,立即发布
Publish to the live storefront,发布到线上店面
Publishable Key,可发布密钥
Publishing…,正在发布…
Qty is required,数量为必填项
Quick links,快捷链接
Rate,费率
Rate added,费率已添加
Rate is required,费率为必填项
Rate removed,费率已移除
Rate status,费率状态
Rate updated,费率已更新
Redo (⇧⌘Z) — re-applies the last undone edit on this page,重做 (⇧⌘Z) — 重新应用此页面上次撤销的编辑
Redo last undone change on this page,重做此页面上次撤销的更改
Reference,参考
Refund,退款
Refund amount,退款金额
Remove Zone,移除区域
Remove placement,移除放置位置
Remove rate,移除费率
Remove this rate?,删除此费率？
Removed,已删除
Resize settings drawer,调整设置抽屉大小
"Results for ""${keyword}""",“${keyword}”的搜索结果
Revert all pages to saved state,将所有页面还原为已保存状态
Revert everything,全部还原
Revert this page,还原此页面
Revert this page only,仅还原此页面
Revert to saved state?,还原为已保存状态？
Reverting…,正在还原…
Rich text,富文本
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,回滚自上次保存此发布以来所做的更改。线上店面不受影响——它已反映已保存的状态。
SEO,SEO
SEO Information,SEO 信息
SKU is required,SKU 为必填项
Sale,促销
Sandbox,沙盒
Save Settings,保存设置
Save as rollout plan,保存为发布计划
Save as rollout plan and leave,保存为发布计划并离开
Save changes,保存更改
Save failed,保存失败
Save method,保存方式
Save rate,保存费率
Saving…,正在保存…
Schedule failed,排程失败
Scheduled,已排程
Search engine optimize,搜索引擎优化
Search widgets,搜索小部件
Secret Key,私钥
Select Category,选择分类
Select Parent Category,选择父级分类
Select Products by SKU,按 SKU 选择产品
Select a provider first,请先选择服务商
Select a provider…,选择服务商…
Select an option,选择一个选项
Select category,选择分类
Select countries,选择国家/地区
Select operator,选择运算符
Select options,选择选项
Select page,选择页面
Select products to add to this collection.,选择要添加到此系列的产品。
Select the list of attribute,选择属性列表
Select this option if the product is a digital product or service that does not require shipping.,如果该产品是无需配送的数字产品或服务，请选择此选项。
Set a start time to schedule.,设置开始时间以进行排程。
Set the status and visibility of the product.,设置产品的状态和可见性。
Share,分享
Shipping Cost,运费
Shipping Providers,配送服务商
Shipping address,配送地址
Shipping cost is required,运费为必填项
Shipping provider setting saved,配送服务商设置已保存
Shipping tax class,运费税类
Short text,短文本
Show global areas,显示全局区域
Show on routes,在指定路由上显示
Show products?,显示产品？
Show this widget on every page,在每个页面上显示此小部件
Size (L × W × H),尺寸（长 × 宽 × 高）
Sort,排序
Sort order is required,排序顺序为必填项
Sort order must be a positive number,排序顺序必须为正数
Start,开始
Start a page-builder session,开始页面构建会话
Start date,开始日期
Start new changeset,开始新的变更集
Start time is invalid.,开始时间无效。
State Date,开始日期
Status is required,状态为必填项
Stay,留在此页
Stay on this page,留在此页面
Stock Availability,库存可用情况
Stop highlighting global areas,停止高亮全局区域
Store Address,店铺地址
Store Description,店铺描述
Store Email,店铺邮箱
Store Name,店铺名称
Store Phone Number,店铺电话号码
Store Setting,店铺设置
Store Settings,店铺设置
Store address,店铺地址
Storefront,店面
Stripe Payment,Stripe 支付
Tablet,平板
Take our survey,参与我们的调查
Target Products,目标产品
Tax Class,税类
Tax calculation configuration,税费计算配置
Tax class name,税类名称
Tax class name is required,税类名称为必填项
Tax classes,税类
Tax rate has been saved successfully!,税率已成功保存！
Tax setting has been saved successfully!,税费设置已成功保存！
The box or envelope this product ships in. Applies to all variants of this product.,此产品配送时使用的箱子或信封。适用于该产品的所有变体。
The boxes and envelopes you ship with. Every shippable product references one — its dimensions and empty weight drive shipping quotes and labels.,您用于配送的箱子和信封。每个可配送产品都会引用其中一个——其尺寸和空重决定运费报价和标签。
The conditions related to the customer for the coupon to be applied.,应用优惠券所需的与客户相关的条件。
The conditions related to the order for the coupon to be applied.,应用优惠券所需的与订单相关的条件。
The default package cannot be deleted,默认包装无法删除
The draft holds ${count} saved changes you can publish later.,草稿中保存了 ${count} 项更改，您可以稍后发布。
The draft holds 1 saved change you can publish later.,草稿中保存了 1 项更改，您可以稍后发布。
The draft is deleted.,草稿已删除。
The draft itself is deleted.,草稿本身已删除。
The general information about the coupon.,有关优惠券的基本信息。
"The language of the admin panel, independent of the storefront.",管理面板的语言，与店面无关。
The method will no longer apply to this zone.,该方式将不再适用于此区域。
The minimum quantity of items required in the order to qualify for this coupon.,订单中符合此优惠券条件所需的最小商品数量。
The minimum total amount required for the order to qualify for this coupon.,订单符合此优惠券条件所需的最低总金额。
The rollout plan,发布计划
The storefront's primary language. Pages in this language have no URL prefix.,店面的主要语言。使用此语言的页面没有 URL 前缀。
The type of discount applied by the coupon.,优惠券所应用的折扣类型。
The zone this rate applies to.,此费率适用的区域。
"There is no ""Select"" attribute available.",没有可用的“Select”属性。
There is no attribute to display,没有可显示的属性
There is no category to display,没有可显示的分类
There is no collections to display,没有可显示的系列
There is no coupon to display,没有可显示的优惠券
There is no customer to display,没有可显示的客户
There is no order to display,没有可显示的订单
There is no page to display,没有可显示的页面
There is no widget to display,没有可显示的小部件
There was an error fetching attribute groups.,获取属性组时出错。
There was an error fetching categories.,获取分类时出错。
There was an error fetching collections.,获取系列时出错。
There was an error fetching file browser APIs.,获取文件浏览器 API 时出错。
There was an error fetching products.,获取产品时出错。
This cannot be undone. Packages still assigned to products can't be removed.,此操作无法撤销。仍分配给产品的包装无法删除。
This changeset has no operations yet.,此变更集尚无任何操作。
This field is required,此字段为必填项
This is the URL path for the CMS page.,这是 CMS 页面的 URL 路径。
This is the address used to calculate tax rates.,这是用于计算税率的地址。
This is the meta title for the CMS page.,这是 CMS 页面的 Meta 标题。
This is the name of the CMS page that will be displayed in the admin panel.,这是将在管理面板中显示的 CMS 页面名称。
This is the tax class applied to shipping costs.,这是适用于运费的税类。
This product has some variants like color or size?,此产品是否有颜色或尺寸等变体？
This provider has no per-zone configuration. Methods and per-zone rates are managed in the provider's own admin area.,此服务商没有按区域的配置。方式和按区域费率在该服务商自己的管理区域中管理。
This removes the zone along with its provider attachments and rates. This cannot be undone.,这将删除该区域及其服务商关联和费率。此操作无法撤销。
This route has unpublished changes in your draft,此路由在您的草稿中有未发布的更改
This will be saved as a pending change you can publish or discard.,这将保存为待处理更改，您可以发布或放弃。
Tiered,分级
Type is required,类型为必填项
URL Key,URL 键
URL Key is required,URL 键为必填项
"URL Key must be lowercase and can only contain letters, numbers, and hyphens",URL 键必须为小写，且只能包含字母、数字和连字符
URL key,URL 键
URL key is required,URL 键为必填项
URL key must be lowercase and can only contain alphanumeric characters and hyphens,URL 键必须为小写，且只能包含字母数字字符和连字符
Unassign,取消分配
Undo (⌘Z) — undoes your last edit on this page,撤销 (⌘Z) — 撤销您在此页面上的上一次编辑
Undo / Redo,撤销 / 重做
Undo last change on this page,撤销此页面上的上一次更改
Unknown,未知
Unlink,取消链接
Unpin drawer,取消固定抽屉
Unpin — drawer will close when you click empty canvas,取消固定 — 点击空白画布时抽屉将关闭
Unpublished changes,未发布的更改
Unsaved changes,未保存的更改
Update the name and active window for this rollout plan. Content edits are managed separately in the editor.,更新此发布计划的名称和生效时间窗口。内容编辑在编辑器中单独管理。
Update the variant details and attributes here.,在此更新变体详情和属性。
Updated,已更新
Upload an image for the category.,为该分类上传图片。
Used Times,使用次数
Value is required,值为必填项
Variant Group,变体组
Variant created successfully,变体创建成功
Variant updated successfully,变体更新成功
Version ${version},版本 ${version}
Visibility,可见性
Visibility determines where the product appears in the store. It does not affect the saleability of the product.,可见性决定商品在商店中显示的位置，不影响商品的可售性。
Visitors will see the new layout on their next page load.,访客将在下次加载页面时看到新布局。
Webhook Secret Key,Webhook 密钥
Weight,重量
Weight must be 0 or greater,重量必须大于或等于 0
Weight must be a positive number,重量必须为正数
Weight-based tiers,基于重量的档位
Widget Settings,组件设置
Widget created successfully!,组件创建成功！
Widgets,组件
Width,宽度
Width is required,宽度为必填项
Width must be greater than 0,宽度必须大于 0
Will roll out automatically: ${range},将自动发布：${range}
Working…,处理中…
Worldwide,全球
X,X
Y,Y
You have ${count} changes in this draft that haven’t been published yet.,您在此草稿中有 ${count} 项更改尚未发布。
You have ${count} changes still saving.,您有 ${count} 项更改仍在保存中。
You have 1 change in this draft that hasn’t been published yet.,您在此草稿中有 1 项更改尚未发布。
You have 1 change still saving.,您有 1 项更改仍在保存中。
Your draft is safe on the server — you can come back and publish it any time.,您的草稿已安全保存在服务器上 — 您可以随时回来发布。
Your edits on other pages stay in the draft.,您在其他页面上的编辑将保留在草稿中。
Your webhook url should be: https://yourdomain.com/api/stripe/webhook,您的 webhook 网址应为：https://yourdomain.com/api/stripe/webhook
Zone,区域
Zone Name,区域名称
Zone Rates,区域费率
Zone created,区域已创建
Zone is required,区域为必填项
Zone name is required,区域名称为必填项
Zone removed,区域已移除
Zone updated,区域已更新
Zones served,服务区域
and ${count} more,以及另外 ${count} 项
container will also hide,容器也将被隐藏
current page,当前页面
e.g. Small Box,例如：小盒子
e.g. Summer Sale 2026,例如：2026 夏季促销
e.g. content,例如：content
"e.g., 10.00",例如：10.00
"e.g., EU, US-West",例如：EU、US-West
"e.g., Express",例如：快递
"e.g., FEDEX_GROUND, usps_priority",例如：FEDEX_GROUND、usps_priority
every page,每个页面
indefinite,无限期
open,打开
"publishing is immediate and can’t be undone from this screen. To stage instead, cancel and choose “Schedule a rollout”.",发布将立即生效，且无法从此界面撤销。如需暂存，请取消并选择“安排发布”。
quantity of products are matched bellow conditions(All),符合以下所有条件的商品数量
subtotal,小计
to a storefront route's,到店面路由的
to make it appear here.,以使其显示在此处。
weight,重量
widget? This will be saved as a pending change you can publish or discard.,组件？这将保存为一项待处理的更改，您可以发布或放弃。
will be removed and the live storefront will stop applying its edits. The underlying changeset and its pending content edits are preserved.,将被移除，实时店面将停止应用其编辑。底层变更集及其待处理的内容编辑将被保留。
— None —,— 无 —
Cash On Delivery,货到付款
Please select a valid payment method,请选择有效的付款方式
Show ${label} width,显示 ${label} 宽度
Column ${index},列 ${index}
Switch page,切换页面
Search pages…,搜索页面…
Search pages,搜索页面
Save your pending edits — the live storefront will catch up,保存您的待处理编辑 — 实时店面将随之更新
No changes to save — the rollout matches the editor,没有需要保存的更改 — 发布内容与编辑器一致
More rollout actions,更多发布操作
Revert to saved state…,还原到已保存状态…
Roll back the editor to what the rollout currently shows on the storefront,将编辑器回滚到发布内容当前在店面上显示的状态
Nothing to revert — the editor matches the saved state,无需还原 — 编辑器与已保存状态一致
Cancel rollout plan…,取消发布计划…
Remove the schedule — the changeset is preserved,移除计划安排 — 变更集将被保留
Publish,发布
More publish options,更多发布选项
Apply all edits to the live storefront immediately,立即将所有编辑应用到实时店面
Save as rollout plan…,另存为发布计划…
Schedule these edits to roll out at a future time,安排这些编辑在未来某个时间发布
Discard pending changes…,放弃待处理的更改…
Choose between discarding the whole draft or just this page,选择放弃整个草稿或仅放弃此页面
Switch session,切换会话
New changeset,新建变更集
Rollout: ${name},发布：${name}
Click or drag to add,点击或拖动以添加
Background color,背景颜色
Text color,文字颜色
Dwell time,停留时间
Time each announcement stays visible (in addition to the 400ms slide transition).,每条公告保持可见的时间（在 400ms 滑动过渡之外）。
Announcements,公告
Add announcement,添加公告
Untitled,无标题
Free shipping on orders over $50,订单满 $50 免运费
Optional. Makes the entire row a clickable link.,可选。使整行成为可点击的链接。
Link label,链接标签
Optional. Displayed after the content; defaults to the content itself.,可选。显示在内容之后；默认为内容本身。
Shop now,立即购买
Dark,深色
Light,浅色
Gradient,渐变
Left,左对齐
Center,居中
Right,右对齐
Selected image,已选图片
No image selected,未选择图片
Replace,替换
Clear,清除
Reflects the alignment below.,反映下方的对齐方式。
Banner Image,横幅图片
Mobile image,移动端图片
Optional. Swapped in below the 768px breakpoint. Falls back to the image above when empty — typical use is a portrait crop of the same scene.,可选。在 768px 断点以下时替换显示。为空时回退到上方图片 — 常用于同一场景的竖向裁剪图。
Alignment,对齐方式
Overlay copy,叠加文案
Eyebrow,眉标
"Small all-caps label above the heading. E.g. ""LIMITED EDITION"".",标题上方的小号全大写标签。例如“LIMITED EDITION”。
LIMITED EDITION,限量版
Heading,标题
The Summer Edit,夏季精选
Sub-text,副文本
One short supporting sentence.,一句简短的辅助说明。
Overlay placement,叠加位置
Content position,内容位置
Where the overlay text sits on the image.,叠加文字在图片上的位置。
Tint,色调蒙层
A scrim behind the overlay text for legibility. Dark / gradient flip the text to white automatically.,叠加文字后方的遮罩层，以提高可读性。深色 / 渐变会自动将文字变为白色。
Tint opacity,蒙层不透明度
Call to actions,行动号召
Remove primary CTA,移除主 CTA
+ Add a primary CTA,+ 添加主 CTA
Secondary,次要
Remove secondary CTA,移除次 CTA
Learn more,了解更多
+ Add a secondary CTA,+ 添加次 CTA
Details,详情
Alt text,替代文本
Describes the banner for screen readers and SEO.,为屏幕阅读器和 SEO 描述横幅。
"e.g. ""Summer sale promotional banner""","例如""夏季促销横幅"""
Banner link,横幅链接
Optional. Clicking the banner navigates here.,可选。点击横幅将跳转至此。
Display name,显示名称
Shop,商店
Target,目标
"Page, category, product, or a custom URL.",页面、分类、商品或自定义 URL。
Nofollow,Nofollow
SEO: don't pass ranking credit to this link (rel=nofollow).,SEO：不向此链接传递排名权重（rel=nofollow）。
No referrer,无来源页
Privacy: drop the referring URL (rel=noreferrer). New-tab links always include this.,隐私：丢弃来源页 URL（rel=noreferrer）。新标签页链接始终包含此项。
Menu items,菜单项
Add menu item,添加菜单项
Sub-items,子菜单项
Optional dropdown links (1 level).,可选的下拉链接（1 级）。
Add sub-item,添加子菜单项
Options,选项
Use as main menu,用作主菜单
"Primary navigation — on mobile it collapses into a hamburger menu. Turn off for a simple link list (e.g. a footer), which stays inline on mobile.",主导航——在移动端会收起为汉堡菜单。关闭后可作为简单链接列表（如页脚），在移动端保持内联显示。
Custom CSS classes,自定义 CSS 类
Applied to the rendered menu element.,应用于渲染后的菜单元素。
e.g. main-nav font-semibold,例如 main-nav font-semibold
S,S
M,M
L,L
Tiles,图块
Add tile,添加图块
Hero · ,主视觉 · 
Used when no image is set.,未设置图片时使用。
Small label above the heading.,标题上方的小标签。
THE SUMMER EDIT,夏季精选
New Arrivals,新品上架
Body,正文
Big card — the headline of the grid.,大卡片——网格的标题。
Link URL,链接 URL
Gap,间距
Minimum block height,最小区块高度
Image left,图片居左
Image right,图片居右
Centered,居中
Pull quote,引文
Variant,样式变体
Image column size,图片列宽
Describe the image,描述图片
Copy,文案
"Small all-caps label. E.g. ""OUR STORY"".","小号全大写标签。例如""OUR STORY""。"
Our story,我们的故事
"Made by hand, in small batches",手工制作，小批量生产
"Required for the pull-quote variant. Displayed large, styled as a blockquote.",引文变体必填。以大号显示，样式为引用块。
"A short, quotable line.",一句简短、可引用的话。
Three or four sentences of brand narrative.,三到四句品牌叙述。
Second body paragraph (optional),第二段正文（可选）
A second short paragraph if the story needs it.,如有需要，可添加第二段简短文字。
Read more link,阅读更多链接
Read more,阅读更多
URL,URL
Remove read-more link,移除阅读更多链接
+ Add a read-more link,+ 添加阅读更多链接
Square,正方形
Landscape,横向
Portrait,纵向
Overlay,叠加
Below,下方
New category,新分类
Section heading,区块标题
Optional. Shown above the grid.,可选。显示在网格上方。
Shop by category,按分类购物
Women,女士
Columns,列数
Auto,自动
Asymmetric makes the first tile span 2 columns.,非对称布局会让第一个图块横跨 2 列。
Uniform,均匀
Asymmetric,非对称
Image aspect,图片比例
Label position,标签位置
Blush,浅粉
XL,XL
Position ${c},位置 ${c}
Column layout,列布局
Drag widgets into each column. Children re-flow when you change the ratio.,将小组件拖入各列。更改比例时子元素会自动重排。
Space between columns.,列之间的间距。
Where content sits within each column. Applied uniformly to every column.,内容在每列中的位置。统一应用于所有列。
Row appearance,行外观
Background,背景
Custom color,自定义颜色
"Any CSS color (e.g. ""#0a0a0a"" or ""rgb(10,10,10)""). Leave empty to use the swatch above.","任意 CSS 颜色（例如""#0a0a0a""或""rgb(10,10,10)""）。留空则使用上方的色块。"
Padding,内边距
Outer spacing around the row. Scales down on mobile.,行周围的外部间距。在移动端会缩小。
Solid,实线
Dashed,虚线
Already expired,已过期
Expires in ${days}d ${hours}h,${days}天 ${hours}小时后过期
Expires in ${hours}h ${minutes}m,${hours}小时 ${minutes}分钟后过期
Offer,优惠
"Urgency line. Optional. E.g. ""Limited · Ends Sunday"".","紧迫提示语。可选。例如""限量 · 周日截止""。"
Limited · Ends Sunday,限量 · 周日截止
Headline,标题
Take 20% off your order,订单立减 20%
Optional. One short instructional line.,可选。一句简短的说明文字。
Use code at checkout,结账时使用优惠码
Promo code,优惠码
Displayed in uppercase to shoppers.,向顾客以大写形式显示。
Expires,过期时间
Optional. The block auto-hides after this time for live visitors.,可选。到此时间后，该区块对在线访客自动隐藏。
Call to action,行动号召
Button label,按钮文字
Shop now →,立即购买 →
Button link,按钮链接
Appearance,外观
Border,边框
Narrow,窄
Normal,正常
Wide,宽
Shown above all content. Optional.,显示在所有内容上方。可选。
e.g. Frequently asked,例如 常见问题
Prose,文本
FAQ group · ${count} items,FAQ 分组 · ${count} 项
Group heading,分组标题
Optional sub-heading.,可选的副标题。
e.g. Shipping,例如 配送
Add question,添加问题
Question,问题
e.g. How long does shipping take?,例如 配送需要多长时间？
Answer,答案
"Supports **bold**, _italic_, and line breaks.",支持 **粗体**、_斜体_ 和换行。
e.g. Orders ship within 24 hours…,例如 订单在 24 小时内发货…
Add prose,添加文本
Add FAQ group,添加 FAQ 分组
Max width,最大宽度
Content column width.,内容列宽度。
Allow multiple open,允许同时展开多项
"When off, opening one FAQ item closes the others in the same group.",关闭后，展开一个 FAQ 项会收起同组的其他项。
New link,新链接
New column,新列
Add column,添加列
${title} · ${count} links,${title} · ${count} 个链接
Column title,列标题
Links,链接
"Min 1, max 12.",最少 1 个，最多 12 个。
Add link,添加链接
New arrivals,新品上架
Boxed,盒式
Wide (full bleed),宽幅（满屏）
Boxed stays inside the page's container (theme decides the max-width). Wide breaks out edge-to-edge.,盒式保持在页面容器内（最大宽度由主题决定）。宽幅则铺满整个屏幕。
Scales down on mobile.,在移动端会缩小。
Optional. Painted behind content. Combine with a tint below for legibility.,可选。绘制在内容后方。可与下方的色调搭配以提高可读性。
XS,XS
Spacing,间距
Size,尺寸
Mobile scales down ~⅔ automatically.,移动端会自动缩小约 ⅔。
Divider line,分隔线
Show divider line,显示分隔线
A horizontal rule centred in the spacing band.,在间距区域中居中的水平分隔线。
Line color,线条颜色
Default uses the theme's divider color.,默认使用主题的分隔线颜色。
Sides,两侧
Bottom,底部
Dots,圆点
Bars,线条
Mobile image (optional),移动端图片（可选）
Used at ≤ 767 px. Falls back to the main image.,在 ≤ 767 px 时使用。否则回退到主图片。
e.g. New collection,例如：新系列
e.g. Summer Sale,例如：夏季促销
Sub text,副文本
Check out our latest products with special discounts.,查看我们享有特别折扣的最新产品。
Primary button,主按钮
Secondary button,次按钮
+ Add secondary button,+ 添加次按钮
Overrides,覆盖设置
Leaves slide-specific anchor; falls back to the slideshow's default.,保留幻灯片专属锚点；否则回退到幻灯片的默认设置。
Overlay tint,叠加色调
Overlay opacity,叠加不透明度
Make whole slide clickable,使整张幻灯片可点击
Behavior,行为
Transition,过渡效果
Slide,滑动
Fade,淡入淡出
Transition speed,过渡速度
Autoplay,自动播放
Autoplay delay,自动播放延迟
${seconds} s between slides,幻灯片间隔 ${seconds} 秒
Pause on hover,悬停时暂停
Pause for 20 s after user nav,用户操作后暂停 20 秒
Arrows,箭头
Aspect ratio,宽高比
`Auto` matches the natural image height (jumps between slides).,`Auto` 匹配图片的自然高度（幻灯片之间会跳动）。
Default content position,默认内容位置
Per-slide overrides win.,以单张幻灯片的覆盖设置为准。
Default overlay tint,默认叠加色调
