Welcome Back!,خوش آمدید!
Add products to this category by selecting them from the list below.,با انتخاب محصولات از فهرست زیر، آن‌ها را به این دسته‌بندی اضافه کنید.
Add rate,افزودن نرخ
Added,افزوده شد
Adding to Column ${number},افزودن به ستون ${number}
Additional languages,زبان‌های اضافی
Admin panel language,زبان پنل مدیریت
Affects ${count} pages,بر ${count} صفحه تأثیر می‌گذارد
Affects 1 page,بر ۱ صفحه تأثیر می‌گذارد
All pages,همه صفحات
All registered providers are already attached to this zone.,همه ارائه‌دهندگان ثبت‌شده از قبل به این منطقه متصل شده‌اند.
All routes,همه مسیرها
Also shown on ${routes},همچنین در ${routes} نمایش داده می‌شود
Also shown on ${routes} +${count},همچنین در ${routes} +${count} نمایش داده می‌شود
Amount must be greater than or equal to 0,مبلغ باید بزرگ‌تر یا مساوی ۰ باشد
Amount must be less than or equal to ${value} ${currency},مبلغ باید کوچک‌تر یا مساوی ${value} ${currency} باشد
Apply a condition?,یک شرط اعمال شود؟
Area,ناحیه
Area is required,ناحیه الزامی است
At least one country is required,حداقل یک کشور الزامی است
Attach,اتصال
Attach Provider to ${zone},اتصال ارائه‌دهنده به ${zone}
Attached Providers,ارائه‌دهندگان متصل‌شده
Attribute Name,نام ویژگی
Attribute code is required,کد ویژگی الزامی است
Attribute created successfully!,ویژگی با موفقیت ایجاد شد!
Attribute group,گروه ویژگی
Attribute name is required,نام ویژگی الزامی است
Authorize only,فقط مجوزدهی
Auto-saves while you edit,هنگام ویرایش به‌طور خودکار ذخیره می‌شود
Back To Dashboard,بازگشت به داشبورد
Base calculation address,آدرس مبنای محاسبه
Based on cart subtotal,بر اساس جمع جزء سبد خرید
Based on cart weight,بر اساس وزن سبد خرید
Basic configuration,پیکربندی پایه
Boolean,بولین
Built-in shipping methods with per-zone rates. Attach Core to a zone first under Settings → Shipping; then add methods here and configure their rates per zone.,روش‌های حمل‌ونقل داخلی با نرخ‌های هر منطقه. ابتدا Core را در بخش تنظیمات → حمل‌ونقل به یک منطقه متصل کنید؛ سپس روش‌ها را اینجا اضافه کرده و نرخ آن‌ها را برای هر منطقه پیکربندی کنید.
Buy X get Y,X بخر Y بگیر
CMS,CMS
Calculation type,نوع محاسبه
Can not change the attribute group of a product that is already in a variant group.,نمی‌توان گروه ویژگی محصولی را که از قبل در یک گروه واریانت قرار دارد تغییر داد.
Cancel rollout,لغو انتشار
Cancel rollout plan?,طرح انتشار لغو شود؟
Canvas device width,عرض دستگاه بوم
Capture,دریافت وجه
Capture Payment,دریافت پرداخت
Carrier hint for fulfillment — never shown at checkout. NewShipmentDialog uses this to pre-select the carrier.,راهنمای حامل برای انجام سفارش — هرگز در تسویه‌حساب نمایش داده نمی‌شود. NewShipmentDialog از این برای پیش‌انتخاب حامل استفاده می‌کند.
Carrier-specific service code used when buying a label (CreateLabelInput.serviceCode). Free-form — verify the exact token in the carrier's API docs. Leave blank to let the carrier pick its default service.,کد سرویس مخصوص حامل که هنگام خرید برچسب استفاده می‌شود (CreateLabelInput.serviceCode). آزاد — توکن دقیق را در مستندات API حامل بررسی کنید. برای اینکه حامل سرویس پیش‌فرض خود را انتخاب کند، خالی بگذارید.
Cash On Delivery Payment,پرداخت در محل تحویل
"Catalog, Search",کاتالوگ، جستجو
Category Image,تصویر دسته‌بندی
Category Name,نام دسته‌بندی
Category created successfully!,دسته‌بندی با موفقیت ایجاد شد!
Category name is required,نام دسته‌بندی الزامی است
Choose Attribute Groups,انتخاب گروه‌های ویژگی
Choose Categories,انتخاب دسته‌بندی‌ها
Choose Collections,انتخاب مجموعه‌ها
Choose SKUs,انتخاب SKUها
Choose how much of your unpublished work to discard. The published storefront is not affected.,انتخاب کنید چه مقدار از کار منتشرنشده خود را دور بریزید. فروشگاه منتشرشده تحت تأثیر قرار نمی‌گیرد.
Choose where you ship and how much you charge for shipping.,انتخاب کنید به کجا ارسال می‌کنید و چه مبلغی برای حمل‌ونقل دریافت می‌کنید.
Clear filter,پاک کردن فیلتر
Clear filters,پاک کردن فیلترها
Client ID,Client ID
Client Secret,Client Secret
Close,بستن
Close settings,بستن تنظیمات
Close — continue draft,بستن — ادامه پیش‌نویس
Cms Pages,صفحات CMS
Collapse left rail,جمع کردن نوار سمت چپ
Collapse panel,جمع کردن پنل
Collection Code,کد مجموعه
Collection Name,نام مجموعه
Collection code is required,کد مجموعه الزامی است
Collection code must be alphanumeric and can include underscores or dashes.,کد مجموعه باید عددی-حرفی باشد و می‌تواند شامل خط زیر یا خط تیره باشد.
Collection created successfully!,مجموعه با موفقیت ایجاد شد!
Color,رنگ
Commerce,تجارت
Compound,مرکب
Condition,شرط
Configure,پیکربندی
Configure cost and conditions per zone. Zones without a rate don't offer this method.,هزینه و شرایط را برای هر منطقه پیکربندی کنید. مناطق بدون نرخ این روش را ارائه نمی‌دهند.
Configure rate,پیکربندی نرخ
Configure the available payment methods,پیکربندی روش‌های پرداخت موجود
Configure the settings for the ${name} widget.,تنظیمات ویجت ${name} را پیکربندی کنید.
Configure the tax classes that will be available to your customers at checkout.,کلاس‌های مالیاتی را که در تسویه‌حساب برای مشتریان شما در دسترس خواهد بود پیکربندی کنید.
Configure your Cash On Delivery payment gateway settings,تنظیمات درگاه پرداخت در محل تحویل خود را پیکربندی کنید
Configure your Paypal payment gateway settings,تنظیمات درگاه پرداخت Paypal خود را پیکربندی کنید
Configure your Stripe payment gateway settings,تنظیمات درگاه پرداخت Stripe خود را پیکربندی کنید
Configure your store information,اطلاعات فروشگاه خود را پیکربندی کنید
"Conflicts with ${plan1}, ${plan2}",تداخل با ${plan1}، ${plan2}
Conflicts with ${plan},تداخل با ${plan}
Conflicts with ${plan} +${count},تداخل با ${plan} +${count}
Conflicts with:,تداخل با:
Content,محتوا
Continue a saved rollout plan,ادامه یک طرح انتشار ذخیره‌شده
Continue your draft,ادامه پیش‌نویس خود
Core Shipping,حمل‌ونقل Core
Core isn't attached to any zone yet. Attach it under Settings → Shipping first.,Core هنوز به هیچ منطقه‌ای متصل نشده است. ابتدا آن را در بخش تنظیمات → حمل‌ونقل متصل کنید.
Cost,هزینه
Cost is required,هزینه الزامی است
Could not start fresh,شروع از نو ممکن نشد
Countries,کشورها
"Country code (e.g., ""US""). Use ""*"" for all countries.",کد کشور (مثلاً «US»). برای همه کشورها از «*» استفاده کنید.
Coupon Code,کد کوپن
"Coupon code can only contain letters, numbers, underscores, and hyphens",کد کوپن فقط می‌تواند شامل حروف، اعداد، خط زیر و خط تیره باشد
Coupon created successfully!,کوپن با موفقیت ایجاد شد!
Coupons,کوپن‌ها
Create A New Customer,ایجاد مشتری جدید
Create New Package,ایجاد بسته جدید
Create New Tax Class,ایجاد کلاس مالیاتی جدید
Create New Zone,ایجاد منطقه جدید
Create a new category,ایجاد دسته‌بندی جدید
Create a new collection,ایجاد مجموعه جدید
Create a new coupon,ایجاد کوپن جدید
Create a new page,ایجاد صفحه جدید
Create a new product,ایجاد محصول جدید
Create a new variant for this product.,ایجاد واریانت جدید برای این محصول.
Create a new widget,ایجاد ویجت جدید
Create a variant group,ایجاد گروه واریانت
Create method,ایجاد روش
Create new tax class,ایجاد کلاس مالیاتی جدید
Create rollout plan,ایجاد طرح انتشار
Created At,ایجاد شده در
Current,فعلی
Customer,مشتری
Customer Email,ایمیل مشتری
Customer conditions,شرایط مشتری
Customer emails,ایمیل‌های مشتری
Customer groups,گروه‌های مشتری
Customer's purchase,خرید مشتری
Customers,مشتریان
Customers (${count}),مشتریان (${count})
Customers in ${zone} will no longer see ${name}'s methods at checkout. You can re-attach it later.,مشتریان در ${zone} دیگر روش‌های ${name} را در تسویه‌حساب نخواهند دید. می‌توانید بعداً دوباره آن را متصل کنید.
Dashboard,داشبورد
Date,تاریخ
Decrease,کاهش
Default carrier,حامل پیش‌فرض
Default language,زبان پیش‌فرض
Default package,بسته پیش‌فرض
Default service code,کد سرویس پیش‌فرض
"Delete ""${name}""?",حذف «${name}»؟
Delete ${count} attributes,حذف ${count} ویژگی
Delete ${count} categories,حذف ${count} دسته‌بندی
Delete ${count} collections,حذف ${count} مجموعه
Delete ${count} pages,حذف ${count} صفحه
Delete ${count} widgets,حذف ${count} ویجت
Delete container widget?,حذف ویجت محفظه؟
Delete image,حذف تصویر
"Delete package ""${name}""?",حذف بسته «${name}»؟
Delete this,حذف این
Delete this widget? This will be saved as a pending change you can publish or discard.,این ویجت حذف شود؟ این به‌عنوان یک تغییر در انتظار ذخیره می‌شود که می‌توانید منتشر یا لغو کنید.
Delete widget?,حذف ویجت؟
Delete zone,حذف منطقه
"Delete zone ""${name}""?",حذف منطقه «${name}»؟
Deleted ${name},${name} حذف شد
Deleting this,حذف این
Deleting this container will also hide,حذف این محفظه همچنین پنهان می‌کند
Description is required,توضیحات الزامی است
Desktop,دسکتاپ
Detach,جدا کردن
Detach ${name}?,جدا کردن ${name}؟
Disable ${count} pages,غیرفعال کردن ${count} صفحه
Disable ${count} widgets,غیرفعال کردن ${count} ویجت
Disabled products will not be visible in the store and cannot be purchased.,محصولات غیرفعال در فروشگاه نمایش داده نمی‌شوند و قابل خرید نیستند.
Discard changes on this page only,لغو تغییرات فقط در این صفحه
Discard everything,لغو همه چیز
Discard everything in this draft,لغو همه چیز در این پیش‌نویس
Discard failed,لغو ناموفق بود
Discard pending changes?,لغو تغییرات در انتظار؟
Discard this page,لغو این صفحه
Discarding…,در حال لغو…
Discount Type,نوع تخفیف
Discount amount,مقدار تخفیف
Discount amount is required,مقدار تخفیف الزامی است
Discount type is required,نوع تخفیف الزامی است
Dislay Name,نام نمایشی
Display Name,نام نمایشی
Draft,پیش‌نویس
Draft — not scheduled,پیش‌نویس — زمان‌بندی نشده
Drag to resize,برای تغییر اندازه بکشید
"Each row places this widget on one page, in one area, with its own sort order. Lower numbers appear first.",هر ردیف این ویجت را در یک صفحه، در یک ناحیه و با ترتیب مرتب‌سازی خاص خود قرار می‌دهد. اعداد کوچک‌تر ابتدا نمایش داده می‌شوند.
Edit ${name},ویرایش ${name}
Edit Shipping Zone,ویرایش منطقه ارسال
Edit Tax Rate,ویرایش نرخ مالیات
Edit Variant,ویرایش گونه
Edit Zone,ویرایش منطقه
Edit against the live storefront. Publish immediately or save as a rollout plan.,ویرایش بر اساس فروشگاه زنده. بلافاصله منتشر کنید یا به‌عنوان طرح انتشار ذخیره کنید.
Edit rollout schedule,ویرایش زمان‌بندی انتشار
Editable routes,مسیرهای قابل ویرایش
Editing ${coupon},در حال ویرایش ${coupon}
Editing ${fullName},در حال ویرایش ${fullName}
Editing widget ${name},در حال ویرایش ویجت ${name}
Edits to a shared widget update every route it appears on.,ویرایش یک ویجت مشترک، تمام مسیرهایی که در آن‌ها ظاهر می‌شود را به‌روزرسانی می‌کند.
Empty package weight,وزن بسته خالی
Empty weight,وزن خالی
Enable ${count} pages,فعال کردن ${count} صفحه
Enable ${count} widgets,فعال کردن ${count} ویجت
Enable this page to make it visible on the frontend.,این صفحه را فعال کنید تا در بخش نمایشی قابل مشاهده شود.
Enable?,فعال شود؟
End,پایان
End Date,تاریخ پایان
End date,تاریخ پایان
End time is invalid.,زمان پایان نامعتبر است.
End time must be after start time.,زمان پایان باید بعد از زمان شروع باشد.
Enter Category Name,نام دسته‌بندی را وارد کنید
Enter Collection Name,نام مجموعه را وارد کنید
Enter Meta Description,توضیحات Meta را وارد کنید
Enter Meta Title,عنوان Meta را وارد کنید
Enter Meta description,توضیحات Meta را وارد کنید
Enter Meta title,عنوان Meta را وارد کنید
Enter SKU,SKU را وارد کنید
Enter URL Key,کلید URL را وارد کنید
Enter URL key,کلید URL را وارد کنید
Enter customer emails,ایمیل‌های مشتری را وارد کنید
Enter description,توضیحات را وارد کنید
Enter group name,نام گروه را وارد کنید
Enter meta description,توضیحات Meta را وارد کنید
Enter meta title,عنوان Meta را وارد کنید
Enter page name,نام صفحه را وارد کنید
Enter price,قیمت را وارد کنید
Enter product name,نام محصول را وارد کنید
Enter purchased amount,مقدار خریداری‌شده را وارد کنید
Enter quantity,تعداد را وارد کنید
Enter tax class name,نام طبقه مالیاتی را وارد کنید
Enter the quantity,تعداد را وارد کنید
Enter weight,وزن را وارد کنید
Environment,محیط
Error loading countries,خطا در بارگذاری کشورها
Error loading methods,خطا در بارگذاری روش‌ها
Error loading packages,خطا در بارگذاری بسته‌ها
Error loading providers,خطا در بارگذاری ارائه‌دهندگان
Error loading zones,خطا در بارگذاری مناطق
EverShop · Back to page builder,EverShop · بازگشت به سازنده صفحه
Every page rolls back to the rollout’s saved state.,هر صفحه به وضعیت ذخیره‌شده انتشار بازمی‌گردد.
Every page rolls back to what the rollout had saved.,هر صفحه به آنچه انتشار ذخیره کرده بود بازمی‌گردد.
Existing rollout plan: ${plan},طرح انتشار موجود: ${plan}
Expand,گسترش
Expand left rail,گسترش نوار سمت چپ
"Extra languages shoppers can switch to, on top of the default. The default language is always available — you don't add it here.",زبان‌های اضافی که خریداران می‌توانند علاوه بر زبان پیش‌فرض به آن‌ها تغییر دهند. زبان پیش‌فرض همیشه در دسترس است — آن را اینجا اضافه نمی‌کنید.
Failed to attach provider,اتصال ارائه‌دهنده ناموفق بود
Failed to delete ${name},حذف ${name} ناموفق بود
Failed to detach ${name},جدا کردن ${name} ناموفق بود
Failed to remove rate,حذف نرخ ناموفق بود
Failed to remove zone,حذف منطقه ناموفق بود
Failed to save change,ذخیره تغییر ناموفق بود
Failed to save rate,ذخیره نرخ ناموفق بود
Failed to save zone,ذخیره منطقه ناموفق بود
Failed to update rollout schedule,به‌روزرسانی زمان‌بندی انتشار ناموفق بود
Fixed discount to entire order,تخفیف ثابت برای کل سفارش
Fixed discount to specific products,تخفیف ثابت برای محصولات مشخص
Flat rate,نرخ ثابت
"Flat rate in cart currency, tax-exclusive.",نرخ ثابت به ارز سبد خرید، بدون احتساب مالیات.
Free shipping?,ارسال رایگان؟
General Information,اطلاعات کلی
Give Feedback,ارسال بازخورد
Global,سراسری
Globals,موارد سراسری
Group,گروه
Group Name,نام گروه
Group name is required,نام گروه الزامی است
Groups,گروه‌ها
Half-open interval — a cart at exactly Max is excluded (the next tier's Min owns that point).,بازه نیمه‌باز — سبد خریدی که دقیقاً برابر با حداکثر باشد مستثنی می‌شود (حداقل سطح بعدی مالک آن نقطه است).
Has conflicts,دارای تعارض
Heads up — ,توجه — 
Height,ارتفاع
Height is required (0 for envelopes),ارتفاع الزامی است (۰ برای پاکت‌نامه‌ها)
Height must be 0 or greater,ارتفاع باید ۰ یا بیشتر باشد
Hide global areas,پنهان کردن نواحی سراسری
Higest tax rate based on cart items,بالاترین نرخ مالیات بر اساس اقلام سبد خرید
Highlight global areas on canvas,برجسته‌سازی نواحی سراسری روی بوم
Image,تصویر
Include In Menu,گنجاندن در منو
Include in Store Menu?,در منوی فروشگاه گنجانده شود؟
Increase,افزایش
Insert image,درج تصویر
Integer,عدد صحیح
Invalid folder name,نام پوشه نامعتبر است
Invalid start,شروع نامعتبر
Invalid window,بازه نامعتبر
Inventory,موجودی
Is compound,مرکب است
Its rates will be removed too. This cannot be undone.,نرخ‌های آن نیز حذف خواهند شد. این عمل قابل بازگشت نیست.
Languages,زبان‌ها
Layers,لایه‌ها
Layout,چیدمان
Leave,خروج
Leave a country's list empty to cover the whole country. Add provinces to restrict shipping to specific regions.,فهرست یک کشور را خالی بگذارید تا کل کشور را پوشش دهد. برای محدود کردن ارسال به مناطق مشخص، استان‌ها را اضافه کنید.
Leaving now may drop the most recent edits that haven’t reached the server yet.,خروج در این لحظه ممکن است جدیدترین ویرایش‌هایی را که هنوز به سرور نرسیده‌اند حذف کند.
Length,طول
Length is required,طول الزامی است
Length must be greater than 0,طول باید بیشتر از ۰ باشد
Live,زنده
Loading...,در حال بارگذاری...
Long text,متن بلند
Lower values appear first.,مقادیر کوچک‌تر ابتدا نمایش داده می‌شوند.
Manage Stock,مدیریت موجودی انبار
Manage general information about the collection.,مدیریت اطلاعات کلی درباره مجموعه.
Manage product images and gallery. Drag and drop to reorder images.,مدیریت تصاویر و گالری محصول. برای تغییر ترتیب تصاویر، بکشید و رها کنید.
"Manage shipping integrations and their methods (Core, USPS, FedEx, …)","مدیریت یکپارچه‌سازی‌های ارسال و روش‌های آن‌ها (Core, USPS, FedEx, …)"
Manage tax classes and tax rates for different regions.,مدیریت طبقات مالیاتی و نرخ‌های مالیات برای مناطق مختلف.
Manage the SEO settings of the category.,مدیریت تنظیمات SEO دسته‌بندی.
Manage the SEO settings.,مدیریت تنظیمات SEO.
Manage the attributes.,مدیریت ویژگی‌ها.
Manage the collections associated with this product.,مدیریت مجموعه‌های مرتبط با این محصول.
Manage the general information of the category.,مدیریت اطلاعات کلی دسته‌بندی.
Manage the general information of the product.,مدیریت اطلاعات کلی محصول.
Manage the inventory settings of the product.,مدیریت تنظیمات موجودی محصول.
Manage the products assigned to this category.,مدیریت محصولات اختصاص‌یافته به این دسته‌بندی.
Manage the products assigned to this collection.,مدیریت محصولات اختصاص‌یافته به این مجموعه.
Manage the shipping settings of the product.,مدیریت تنظیمات ارسال محصول.
Manage the status settings of the category.,تنظیمات وضعیت دسته‌بندی را مدیریت کنید.
Manage the variant group of the product.,گروه تنوع محصول را مدیریت کنید.
Marketing,بازاریابی
Max ${unit},حداکثر ${unit}
Max is required,حداکثر الزامی است
Maximum,حداکثر
Maximum amount is ${value} ${currency},حداکثر مبلغ ${value} ${currency} است
Maximum quantity is required,تعداد حداکثر الزامی است
Maximum quantity must be greater than or equal to 0,تعداد حداکثر باید بزرگ‌تر یا مساوی ۰ باشد
Media,رسانه
Meta Description,توضیحات متا
Meta Title,عنوان متا
Meta Title is required,عنوان متا الزامی است
Meta description,توضیحات متا
Meta description is required,توضیحات متا الزامی است
Meta title,عنوان متا
Meta title is required,عنوان متا الزامی است
Method,روش
Method created,روش ایجاد شد
Method name,نام روش
Method name is required,نام روش الزامی است
Method updated,روش به‌روزرسانی شد
Methods →,روش‌ها →
Min ${unit},حداقل ${unit}
Min Price,حداقل قیمت
Min Weight,حداقل وزن
Min is required,حداقل الزامی است
Min price is required,حداقل قیمت الزامی است
Min weight is required,حداقل وزن الزامی است
Minimum purchase amount,حداقل مبلغ خرید
Minimum purchase qty,حداقل تعداد خرید
Minimum purchase quantity,حداقل تعداد خرید
Minimum purchased amount. This only applies to registered customers.,حداقل مبلغ خریداری‌شده. این فقط برای مشتریان ثبت‌نام‌شده اعمال می‌شود.
Minimum quantity is required,تعداد حداقل الزامی است
Missing name,نام موجود نیست
Money,پول
Name is required.,نام الزامی است.
Navigation,ناوبری
New Attribute,ویژگی جدید
New Category,دسته‌بندی جدید
New Collection,مجموعه جدید
New Coupon,کوپن جدید
New Page,صفحه جدید
New Variant,تنوع جدید
New coupon,کوپن جدید
New rate,نرخ جدید
No collections,بدون مجموعه
No editable routes.,مسیر قابل ویرایشی وجود ندارد.
No file selected,فایلی انتخاب نشده است
No methods yet — add one to start offering Core shipping.,هنوز روشی وجود ندارد — یکی اضافه کنید تا ارائه ارسال Core را آغاز کنید.
No packages yet. Create one — shippable products require a package.,هنوز بسته‌ای وجود ندارد. یکی ایجاد کنید — محصولات قابل ارسال به یک بسته نیاز دارند.
No product to display.,محصولی برای نمایش وجود ندارد.
"No providers attached. Click ""Attach Provider"" to add one.",هیچ ارائه‌دهنده‌ای متصل نشده است. برای افزودن روی «اتصال ارائه‌دهنده» کلیک کنید.
"No rates yet — click ""Add Rate"" to offer this method in a zone.",هنوز نرخی وجود ندارد — برای ارائه این روش در یک منطقه روی «افزودن نرخ» کلیک کنید.
"No results for ""${keyword}""",نتیجه‌ای برای «${keyword}» یافت نشد
No routes have opted into page-builder editing yet.,هنوز هیچ مسیری ویرایش با صفحه‌ساز را فعال نکرده است.
No shipping required?,ارسال لازم نیست؟
No subdivisions available — whole country is covered.,هیچ زیرمجموعه‌ای موجود نیست — کل کشور پوشش داده شده است.
No widgets available.,هیچ ویجتی موجود نیست.
"No widgets match ""${query}"".",هیچ ویجتی با «${query}» مطابقت ندارد.
No widgets on this route yet.,هنوز هیچ ویجتی در این مسیر وجود ندارد.
No zones,بدون منطقه
No zones found,هیچ منطقه‌ای یافت نشد
Not visible individually,به‌صورت جداگانه قابل مشاهده نیست
Nothing to publish,چیزی برای انتشار وجود ندارد
Nothing to redo on this page,چیزی برای انجام مجدد در این صفحه وجود ندارد
Nothing to undo on this page,چیزی برای لغو در این صفحه وجود ندارد
Number,عدد
Option text is required,متن گزینه الزامی است
Optional. Added to the shipping weight for quotes and labels.,اختیاری. به وزن ارسال برای برآوردها و برچسب‌ها افزوده می‌شود.
Order Number,شماره سفارش
Order conditions,شرایط سفارش
Orders (${count}),سفارش‌ها (${count})
Other,سایر
Other pages keep their pending changes.,سایر صفحات تغییرات در انتظار خود را حفظ می‌کنند.
Overlaps with existing rollout: ${plans}.,با عرضه موجود همپوشانی دارد: ${plans}.
Overlaps with existing rollouts: ${plans}.,با عرضه‌های موجود همپوشانی دارد: ${plans}.
Package,بسته
Package created,بسته ایجاد شد
Package deleted,بسته حذف شد
Package saved,بسته ذخیره شد
Packages,بسته‌ها
Page Name,نام صفحه
Page Not Found,صفحه یافت نشد
Page builder,صفحه‌ساز
Page builder canvas,بوم صفحه‌ساز
Page created successfully!,صفحه با موفقیت ایجاد شد!
Page is required,صفحه الزامی است
Page name is required,نام صفحه الزامی است
Pages,صفحات
Parent category,دسته‌بندی والد
Payment Setting,تنظیمات پرداخت
Payment mode,حالت پرداخت
Payment setting saved,تنظیمات پرداخت ذخیره شد
Paypal Payment,پرداخت پی‌پال
Pending start time,زمان شروع در انتظار
Percentage discount to entire order,تخفیف درصدی برای کل سفارش
Percentage discount to specific products,تخفیف درصدی برای محصولات خاص
Phone,تلفن
Pick a start time to schedule this rollout.,برای زمان‌بندی این عرضه یک زمان شروع انتخاب کنید.
Pick a widget below to insert as a child.,یک ویجت از پایین انتخاب کنید تا به‌عنوان فرزند درج شود.
Pick up where you left off — ${count} pending changes,از همان‌جا که متوقف شدید ادامه دهید — ${count} تغییر در انتظار
Pick up where you left off — 1 pending change,از همان‌جا که متوقف شدید ادامه دهید — ۱ تغییر در انتظار
Pin drawer open,کشو را باز نگه دارید
Pin — keep drawer open across canvas clicks,سنجاق — کشو را هنگام کلیک روی بوم باز نگه دارید
Placed on: ${routes},قرار گرفته در: ${routes}
Placements,جایگاه‌ها
Postal Code,کد پستی
"Postcode (e.g., ""90210""). Empty for all postcodes.",کد پستی (مثلاً «90210»). برای همه کدهای پستی خالی بگذارید.
Preselected for new products. Exactly one package is the default.,از پیش برای محصولات جدید انتخاب شده. دقیقاً یک بسته پیش‌فرض است.
Preview,پیش‌نمایش
Price-based tiers,سطوح مبتنی بر قیمت
Priority,اولویت
Priority is required,اولویت الزامی است
Product Name,نام محصول
Product Status,وضعیت محصول
Product created successfully,محصول با موفقیت ایجاد شد
Product updated successfully,محصول با موفقیت به‌روزرسانی شد
Products (${count}),محصولات (${count})
Promotion,تبلیغات
Proportional allocation based on cart items,تخصیص متناسب بر اساس اقلام سبد خرید
Provide the SEO details for the CMS page.,جزئیات SEO صفحه CMS را وارد کنید.
Provide the basic information for the CMS page.,اطلاعات پایه صفحه CMS را وارد کنید.
Provider,ارائه‌دهنده
Province Restrictions,محدودیت‌های استان
"Province code (e.g., ""CA""). Use ""*"" for all provinces.",کد استان (مثلاً «CA»). برای همه استان‌ها از «*» استفاده کنید.
Provinces,استان‌ها
Provinces is required,استان‌ها الزامی است
Provinces:,استان‌ها:
Publish failed,انتشار ناموفق بود
Publish now,اکنون منتشر کنید
Publish to the live storefront,انتشار در فروشگاه زنده
Publishable Key,کلید قابل انتشار
Publishing…,در حال انتشار…
Qty is required,تعداد الزامی است
Quick links,پیوندهای سریع
Rate,نرخ
Rate added,نرخ افزوده شد
Rate is required,نرخ الزامی است
Rate removed,نرخ حذف شد
Rate status,وضعیت نرخ
Rate updated,نرخ به‌روزرسانی شد
Redo (⇧⌘Z) — re-applies the last undone edit on this page,انجام مجدد (⇧⌘Z) — آخرین ویرایش لغوشده در این صفحه را دوباره اعمال می‌کند
Redo last undone change on this page,انجام مجدد آخرین تغییر لغوشده در این صفحه
Reference,مرجع
Refund,بازپرداخت
Refund amount,مبلغ بازپرداخت
Remove Zone,حذف منطقه
Remove placement,حذف جایگاه
Remove rate,حذف نرخ
Remove this rate?,این نرخ حذف شود؟
Removed,حذف شد
Resize settings drawer,تغییر اندازه کشوی تنظیمات
"Results for ""${keyword}""",نتایج برای «${keyword}»
Revert all pages to saved state,بازگرداندن همه صفحات به حالت ذخیره‌شده
Revert everything,بازگرداندن همه چیز
Revert this page,بازگرداندن این صفحه
Revert this page only,بازگرداندن فقط این صفحه
Revert to saved state?,بازگشت به حالت ذخیره‌شده؟
Reverting…,در حال بازگرداندن…
Rich text,متن غنی
Roll back the changes you have made since this rollout was last saved. The live storefront is unaffected — it already reflects the saved state.,تغییراتی را که از آخرین ذخیره این انتشار اعمال کرده‌اید، بازمی‌گرداند. فروشگاه زنده تحت تأثیر قرار نمی‌گیرد — هم‌اکنون حالت ذخیره‌شده را نمایش می‌دهد.
SEO,SEO
SEO Information,اطلاعات SEO
SKU is required,SKU الزامی است
Sale,حراج
Sandbox,محیط آزمایشی
Save Settings,ذخیره تنظیمات
Save as rollout plan,ذخیره به‌عنوان طرح انتشار
Save as rollout plan and leave,ذخیره به‌عنوان طرح انتشار و خروج
Save changes,ذخیره تغییرات
Save failed,ذخیره ناموفق بود
Save method,ذخیره روش
Save rate,ذخیره نرخ
Saving…,در حال ذخیره…
Schedule failed,زمان‌بندی ناموفق بود
Scheduled,زمان‌بندی‌شده
Search engine optimize,بهینه‌سازی موتور جستجو
Search widgets,جستجوی ویجت‌ها
Secret Key,کلید مخفی
Select Category,انتخاب دسته‌بندی
Select Parent Category,انتخاب دسته‌بندی والد
Select Products by SKU,انتخاب محصولات بر اساس SKU
Select a provider first,ابتدا یک ارائه‌دهنده انتخاب کنید
Select a provider…,یک ارائه‌دهنده انتخاب کنید…
Select an option,یک گزینه انتخاب کنید
Select category,انتخاب دسته‌بندی
Select countries,انتخاب کشورها
Select operator,انتخاب عملگر
Select options,انتخاب گزینه‌ها
Select page,انتخاب صفحه
Select products to add to this collection.,محصولاتی را برای افزودن به این مجموعه انتخاب کنید.
Select the list of attribute,فهرست ویژگی‌ها را انتخاب کنید
Select this option if the product is a digital product or service that does not require shipping.,اگر محصول، یک محصول یا خدمت دیجیتالی است که نیازی به ارسال ندارد، این گزینه را انتخاب کنید.
Set a start time to schedule.,برای زمان‌بندی، یک زمان شروع تعیین کنید.
Set the status and visibility of the product.,وضعیت و قابلیت نمایش محصول را تنظیم کنید.
Share,اشتراک‌گذاری
Shipping Cost,هزینه ارسال
Shipping Providers,ارائه‌دهندگان ارسال
Shipping address,آدرس ارسال
Shipping cost is required,هزینه ارسال الزامی است
Shipping provider setting saved,تنظیمات ارائه‌دهنده ارسال ذخیره شد
Shipping tax class,کلاس مالیاتی ارسال
Short text,متن کوتاه
Show global areas,نمایش نواحی سراسری
Show on routes,نمایش در مسیرها
Show products?,محصولات نمایش داده شوند؟
Show this widget on every page,نمایش این ویجت در همه صفحات
Size (L × W × H),اندازه (طول × عرض × ارتفاع)
Sort,مرتب‌سازی
Sort order is required,ترتیب مرتب‌سازی الزامی است
Sort order must be a positive number,ترتیب مرتب‌سازی باید یک عدد مثبت باشد
Start,شروع
Start a page-builder session,شروع یک نشست صفحه‌ساز
Start date,تاریخ شروع
Start new changeset,شروع مجموعه تغییرات جدید
Start time is invalid.,زمان شروع نامعتبر است.
State Date,تاریخ شروع
Status is required,وضعیت الزامی است
Stay,ماندن
Stay on this page,ماندن در این صفحه
Stock Availability,موجودی انبار
Stop highlighting global areas,توقف برجسته‌سازی نواحی سراسری
