"Blog category","دسته‌بندی وبلاگ"
"Optional CDN (e.g. CloudFront) serving the bucket — lets the bucket stay private. Without it, objects must be publicly readable via a bucket policy. Example: https://cdn.mystore.com or https://d111abcdef8.cloudfront.net, a CloudFront distribution with this bucket as its origin. Files are served as <this URL>/<file path>, so the domain must point at the bucket root.",CDN اختیاری (مثلاً CloudFront) که Bucket را ارائه می‌کند — اجازه می‌دهد Bucket خصوصی بماند. بدون آن، اشیاء باید از طریق bucket policy به‌صورت عمومی قابل خواندن باشند. مثال: https://cdn.mystore.com یا https://d111abcdef8.cloudfront.net، یک توزیع CloudFront با این Bucket به‌عنوان مبدأ. فایل‌ها به‌صورت <این نشانی>/<مسیر فایل> ارائه می‌شوند، بنابراین دامنه باید به ریشه Bucket اشاره کند.
Connection string,رشته اتصال
Connection string is required,رشته اتصال الزامی است
"Copy it from the Azure portal: sign in, open your storage account, then Security + networking → Access keys → Connection string.",آن را از پورتال Azure کپی کنید: وارد شوید، حساب ذخیره‌سازی خود را باز کنید، سپس Security + networking → Access keys → Connection string.
Container,Container
Container access,دسترسی Container
Private (recommended),خصوصی (توصیه‌شده)
Public read for blobs,خواندن عمومی برای blobها
"Public read requires ""Allow blob anonymous access"" on the storage account — disallowed by default on new accounts. Prefer a private container with a public base URL (CDN).",خواندن عمومی نیازمند فعال بودن «Allow blob anonymous access» در حساب ذخیره‌سازی است — در حساب‌های جدید به‌صورت پیش‌فرض غیرمجاز است. ترجیحاً از Container خصوصی به همراه نشانی پایه عمومی (CDN) استفاده کنید.
"Optional CDN (e.g. Azure CDN / Front Door) serving the container — lets the container stay private. Files are served as <this URL>/<file path> with no container segment added, so either set the CDN origin path to /<container> (example: https://mystore.azureedge.net) or include the container here (example: https://mystore.azureedge.net/media).",CDN اختیاری (مثلاً Azure CDN / Front Door) که Container را ارائه می‌کند — اجازه می‌دهد Container خصوصی بماند. فایل‌ها به‌صورت <این نشانی>/<مسیر فایل> و بدون افزودن بخش Container ارائه می‌شوند؛ بنابراین یا مسیر مبدأ CDN را روی /<container> تنظیم کنید (مثال: https://mystore.azureedge.net) یا Container را همین‌جا بگنجانید (مثال: https://mystore.azureedge.net/media).
Service account key,کلید حساب سرویس
Paste the entire content of the downloaded JSON key file,کل محتوای فایل کلید JSON دانلودشده را جای‌گذاری کنید
Create a key in the Google Cloud Console: IAM & Admin → Service Accounts → create or pick an account with the Storage Object Admin role on the bucket → Keys → Add key → JSON. Paste the whole downloaded file here.,در Google Cloud Console یک کلید بسازید: IAM & Admin → Service Accounts → حسابی با نقش Storage Object Admin روی Bucket بسازید یا انتخاب کنید → Keys → Add key → JSON. کل فایل دانلودشده را اینجا جای‌گذاری کنید.
"Don't have keys? If EverShop runs on a server that already has access to the bucket — for example an AWS IAM role, or AWS keys set up as environment variables on the server — leave both fields empty and the server's own credentials are used automatically. The connection is tested when you save, so a wrong or missing setup cannot be saved.",کلید ندارید؟ اگر EverShop روی سروری اجرا می‌شود که از قبل به Bucket دسترسی دارد — مثلاً یک نقش AWS IAM یا کلیدهای AWS که به‌صورت متغیر محیطی روی سرور تنظیم شده‌اند — هر دو فیلد را خالی بگذارید تا اطلاعات اعتبارسنجی خود سرور به‌طور خودکار استفاده شود. هنگام ذخیره، اتصال آزمایش می‌شود؛ بنابراین پیکربندی نادرست یا ناقص ذخیره نخواهد شد.
"Don't have a key? If EverShop runs on Google Cloud (Compute Engine, GKE, Cloud Run) with a service account attached, or the GOOGLE_APPLICATION_CREDENTIALS environment variable is set on the server, leave this field empty and the server's own credentials are used automatically. The connection is tested when you save, so a wrong or missing setup cannot be saved.",کلید ندارید؟ اگر EverShop روی Google Cloud اجرا می‌شود (Compute Engine، GKE، Cloud Run) و یک حساب سرویس به آن متصل است، یا متغیر محیطی GOOGLE_APPLICATION_CREDENTIALS روی سرور تنظیم شده است، این فیلد را خالی بگذارید تا اطلاعات اعتبارسنجی خود سرور به‌طور خودکار استفاده شود. هنگام ذخیره، اتصال آزمایش می‌شود؛ بنابراین پیکربندی نادرست یا ناقص ذخیره نخواهد شد.
"Optional CDN (e.g. Cloud CDN) serving the bucket — lets the bucket stay private. Without it, objects must be publicly readable: grant ""allUsers"" the Storage Object Viewer role on the bucket (blocked when Public Access Prevention is enforced on your organization). Example: https://cdn.mystore.com, a load balancer domain with this bucket as its backend bucket.",CDN اختیاری (مثلاً Cloud CDN) که Bucket را ارائه می‌کند — اجازه می‌دهد Bucket خصوصی بماند. بدون آن، اشیاء باید به‌صورت عمومی قابل خواندن باشند: به «allUsers» نقش Storage Object Viewer را روی Bucket بدهید (در صورت اعمال Public Access Prevention در سازمان شما مسدود است). مثال: https://cdn.mystore.com، دامنه یک load balancer با این Bucket به‌عنوان backend bucket.
Local storage is not recommended for production,ذخیره‌سازی محلی برای محیط عملیاتی توصیه نمی‌شود
"Files stored on this server can be lost when it is updated, moved, or fails. For a live store, use S3 or Azure Blob Storage instead.",فایل‌های ذخیره‌شده روی این سرور ممکن است هنگام به‌روزرسانی، جابه‌جایی یا خرابی آن از بین بروند. برای فروشگاه زنده به‌جای آن از S3 یا Azure Blob Storage استفاده کنید.
Upload rules,قوانین بارگذاری
What can be uploaded and how big it can be — applies on every storage provider.,چه چیزی می‌تواند بارگذاری شود و با چه اندازه‌ای — برای همه ارائه‌دهندگان ذخیره‌سازی اعمال می‌شود.
Allowed file types,انواع فایل مجاز
Select at least one file type,حداقل یک نوع فایل انتخاب کنید
Files with other types are rejected at upload. SVG is not offered on purpose — SVG files can contain scripts and are a security risk when served.,فایل‌هایی با انواع دیگر هنگام بارگذاری رد می‌شوند. SVG عمداً ارائه نشده است — فایل‌های SVG می‌توانند اسکریپت داشته باشند و هنگام ارائه خطر امنیتی ایجاد می‌کنند.
Also allowed via server configuration: ${types},همچنین از طریق پیکربندی سرور مجاز است: ${types}
Maximum file size,بیشینه اندازه فایل
"Per file, in megabytes (MB). Leave empty for the default of 10 MB. Applies to every upload in the admin panel — product images, banners, media.",به ازای هر فایل، برحسب مگابایت (MB). برای مقدار پیش‌فرض ۱۰ مگابایت خالی بگذارید. برای همه بارگذاری‌ها در پنل مدیریت اعمال می‌شود — تصاویر محصول، بنرها، رسانه.
Per-type overrides,بازنویسی به تفکیک نوع
"Overrides the maximum size for matching file types — for example a smaller limit for images and a bigger one for videos. An exact type (video/mp4) wins over a family (video/*); anything without a match uses the maximum file size above. Overrides do not allow new types: the file type itself must be enabled in ""Allowed file types"".",بیشینه اندازه را برای انواع فایل منطبق بازنویسی می‌کند — مثلاً محدودیت کوچک‌تر برای تصاویر و بزرگ‌تر برای ویدیوها. نوع دقیق (video/mp4) بر خانواده (video/*) اولویت دارد؛ هر چیزی که منطبق نباشد از بیشینه اندازه بالا استفاده می‌کند. بازنویسی‌ها انواع جدید را مجاز نمی‌کنند: خود نوع فایل باید در «انواع فایل مجاز» فعال باشد.
Every product in the store,همه محصولات فروشگاه
